#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:52:21 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 07239450 North Canadian River near Calumet, OK
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	07239450	1	1988-07-22 11:52:00	CDT	Yes	GLY	USGS	9.70	754				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	754	86.0	362	2.08	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07239450	2	1988-08-08 14:15:00	CDT	Yes	LAA	USGS	6.42	64.8				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	64.8	63.0	71.6	0.90	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07239450	3	1988-09-07 13:00:00	CDT	Yes	LAA	USGS	5.91	16.6				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	16.6	60.0	39.9	0.41	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07239450	4	1988-09-19 13:00:00	CDT	Yes	JRH/TEC	USGS	11.81	2150				Good	0.05	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2150	93.0	462	4.65	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07239450	5	1988-11-30 11:15:00	CST	Yes	LAA/JRH	USGS	6.20	37.6				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	37.6	67.0	70.4	0.53	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07239450	6	1989-01-17 12:25:00	CST	Yes	LAA/GDG	USGS	6.10	28.8				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	28.8	67.0	62.3	0.46	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07239450	8	1989-03-28 11:30:00	CST	Yes	LDM/JEN	USGS	10.94	2040				Good	0.10	0.90	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2040	89.0	468	4.35	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07239450	9	1989-03-29 11:53:00	CST	Yes	LDM/JEN	USGS	9.46	903				Good	-0.05	1.30	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	903	84.0	293	3.08	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07239450	10	1989-03-30 14:35:00	CST	Yes	JRH/SDS	USGS	8.25	440				Good	-0.05	1.20	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	440	80.5	238	1.87	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07239450	11	1989-04-12 10:13:00	CDT	Yes	SDS	USGS	7.22	125				Good	-0.01	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	125	65.0	120	1.04	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07239450	12	1989-05-10 11:32:00	CDT	Yes	JEN/GDG	USGS	7.06	140				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	140	64.0	108	1.29	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07239450	13	1989-06-08 14:15:00	CDT	Yes	JRH/RDR	USGS	12.82	2990				Good	-0.03	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2990	94.0	677	4.42	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07239450	14	1989-07-05 13:10:00	CDT	Yes	JEN/PAW	USGS	9.98	877				Good	0.00	1.20	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	877	86.0	317	2.77	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07239450	15	1989-10-02 14:30:00	CDT	Yes	JEN	USGS	6.79	117				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	117	67.0	108	1.08	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07239450	16	1989-12-04 13:48:00	CST	Yes	JEN	USGS	6.91	127				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	127	66.0	99.9	1.28	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07239450	17	1990-01-30 11:30:00	CST	Yes	LDM	USGS	7.60	306				Good	0.00	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	306	76.0	158	1.94	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07239450	18	1990-03-11 11:01:00	CST	Yes	PEC/CRB	USGS	12.86	2930				Fair	0.06	0.70	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2930	98.0	626	4.68	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07239450	19	1990-06-12 09:20:00	CDT	Yes	SDS	USGS	7.07	178				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	178	77.0	123	1.45	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
