#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:52:29 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 07242000 North Canadian River near Wetumka, OK
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	07242000	1497	1980-09-17		Yes	SAP	USGS	1.98	39.3				Good	-0.01	1.00		MEAS	1	Imported Channel 1	WADE	unspe	unkno	39.3	84.0	64.2	0.61	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07242000	1498	1980-11-13		Yes	RDG/SAP	USGS	2.32	62.6				Fair	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	62.6	100	88.1	0.71	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07242000	1499	1981-01-14		Yes	SAP	USGS	2.40	86.7				Fair	0.00	0.80		MEAS	1	Imported Channel 1	WADE	unspe	unkno	86.7	125	79.1	1.10	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07242000	1500	1981-03-02		Yes	SAP/MJ	USGS	2.63	132				Fair	0.00	0.60		MEAS	1	Imported Channel 1	WADE	unspe	unkno	132	151	113	1.16	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07242000	1501	1981-04-14		Yes	SAP	USGS	2.41	116				Fair	0.00	1.00		MEAS	1	Imported Channel 1	WADE	unspe	unkno	116			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07242000	1502	1981-05-27		Yes	SAP	USGS	2.40	120				Fair	0.00	1.10		MEAS	1	Imported Channel 1	WADE	unspe	unkno	120			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07242000	1503	1981-06-16		Yes	SAP	USGS	4.51	939				Fair	0.30	1.40		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	939	140	387	2.43	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07242000	1504	1981-07-29		Yes	???	USGS	2.34	117				Fair	0.00	0.70		MEAS	1	Imported Channel 1	WADE	unspe	unkno	117	130	92.3	1.27	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07242000	1505	1981-08-20		Yes	RDG	USGS	2.57	194				Good	0.02	0.60		MEAS	1	Imported Channel 1	WADE	unspe	unkno	194	129	134	1.45	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07242000	1506	1981-09-16		Yes	SAP	USGS	2.39	116				Fair	-0.02	0.70		MEAS	1	Imported Channel 1	WADE	unspe	unkno	116	127	110	1.06	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07242000	1507	1981-10-08		Yes	SAP	USGS	2.48	146				Good	0.01	1.00		MEAS	1	Imported Channel 1	WADE	unspe	unkno	146	128	117	1.25	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07242000	1508	1981-10-14		Yes	LDM/RB	USGS	7.38	3350				Good	-0.03	1.80		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	3350	157	915	3.66	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07242000	1509	1981-12-09		Yes	SAP	USGS	2.73	218				Good	-0.01	0.60		MEAS	1	Imported Channel 1	WADE	unspe	unkno	218	115	135	1.61	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07242000	1510	1982-01-19		Yes	SAP	USGS	2.72	152				Poor	0.00	0.90	IceShore	MEAS	1	Imported Channel 1	WADE	unspe	unkno	152	116	136	1.12	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07242000	1511	1982-02-02		Yes	LAA/LDM	USGS	6.66	2800				Good	0.11	1.20		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2800	142	742	3.77	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07242000	1512	1982-02-03		Yes	LAA/LDM	USGS	6.89	3030				Good	-0.05	1.10		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	3030	142	807	3.75	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07242000	1513	1982-02-04		Yes	LAA/LDM	USGS	4.84	1290				Good	-0.02	0.60		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1290	142	610	2.11	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07242000	1514	1982-02-05		Yes	LAA/LDM	USGS	4.33	939				Fair	-0.01	0.70		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	939	137	464	2.02	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07242000	1515	1982-04-13		Yes	SAP	USGS	2.67	195				Good	0.00	0.60		MEAS	1	Imported Channel 1	WADE	unspe	unkno	195	116	138	1.41	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07242000	1516	1982-05-07		Yes	CRB/SAP	USGS	7.27	3300				Good	-0.22	1.90		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	3300	159	921	3.58	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07242000	1517	1982-06-09		Yes	SAP/KC	USGS	5.89	1900				Good	0.00	1.80		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1900	135	826	2.30	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07242000	1518	1982-08-18		Yes	SAP	USGS	2.71	217				Fair	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	217	151	167	1.30	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07242000	1519	1982-10-18		Yes	SAP	USGS	2.38	121				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	121	158	107	1.13	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07242000	1520	1982-11-16		Yes	SAP	USGS	2.56	164				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	164	161	130	1.26	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07242000	1521	1983-01-25		Yes	SAP	USGS	2.62	203				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	203	142	141	1.44	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07242000	1522	1983-02-14		Yes	SAP	USGS	3.20	533				Fair	0.00	0.90	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	533	177	286	1.86	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07242000	1523	1983-03-14		Yes	SAP	USGS	3.00	439				Good	0.00	0.90	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	439	176	245	1.79	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07242000	1524	1983-04-12		Yes	SAP/DLA	USGS	3.36	598				Fair	-0.01	0.80	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	598	130	283	2.11	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07242000	1525	1983-05-13		Yes	RDG/DMF	USGS	10.16	7740				Good	0.07	1.40	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	7740	146	1330	5.81	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07242000	1526	1983-05-14		Yes	RWC/C B	USGS	12.16	15200				Poor	0.04	2.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	15200	608	2990	5.07	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07242000	1527	1983-06-21		Yes	SAP	USGS	4.08	967				Good	0.10	1.50	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	967	140	399	2.50	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07242000	1528	1983-07-18		Yes	SAP	USGS	2.86	358				Good	0.02	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	358	155	201	1.78	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07242000	1529	1983-08-15		Yes	SAP	USGS	2.62	163				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	163	156	144	1.13	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07242000	1530	1983-08-31		Yes	SAP	USGS	2.50	167				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	167	151	124	1.35	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07242000	1531	1983-10-17		Yes	SAP	USGS	2.33	151				Fair	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	151	150	111	1.36	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07242000	1532	1983-10-20		Yes	SAP/GPA	USGS	12.01	12300				Fair	0.54	3.00	DebrisHeavy	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	12300	525	2460	5.01	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07242000	1533	1983-10-22		Yes	TEC/CRB	USGS	13.97	17300				Good	0.07	2.00	DebrisHeavy	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	17300	675	3880	4.47	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
