#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:52:50 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06620000 NORTH PLATTE RIVER NEAR NORTHGATE, CO
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06620000	258	1981-09-14		Yes	HIK	USGS	2.29	122				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	122	134	134	0.91	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06620000	259	1981-10-19		Yes	HIK	USGS	2.33	139				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	139	134	139	1.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06620000	260	1981-11-17		Yes	HIK	USGS	2.39	131				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	131	135	124	1.06	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06620000	261	1982-01-05		Yes	HIK	USGS	2.89	78.2				Fair	0.00	0.70	IceCover	MEAS	1	Imported Channel 1	ICE	QSCMM	unkno	78.2	105	114	0.69	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06620000	262	1982-02-17		Yes	DJP/HIK	USGS	3.31	58.0				Fair	0.00	0.60	IceCover	MEAS	1	Imported Channel 1	ICE	QSCMM	unkno	58.0	92.0	46.9	1.24	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06620000	263	1982-03-29		Yes	HIK	USGS		273				Fair	0.03	0.50	IceCover	MEAS	1	Imported Channel 1	ICE	QSCMM	unkno	273	65.0	106	2.58	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06620000	264	1982-05-05		Yes	HIK	USGS		1470				Fair	0.02		Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	1470	128	416	3.53	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06620000	265	1982-06-17		Yes	HIK	USGS		1200				Fair	-0.01	1.00	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	1200	121	385	3.12	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06620000	266	1982-07-20		Yes	HIK	USGS		907				Fair	0.00	1.00	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	907	117	361	2.51	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06620000	267	1982-09-08		Yes	HIK	USGS		209				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	209	135	172	1.22	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06620000	268	1982-10-20		Yes	HIK	USGS	2.70	224				Good	0.01	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	224	141	178	1.26	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06620000	269	1982-11-30		Yes	HIK	USGS	3.22	144				Fair	0.00	0.50	IceCover	MEAS	1	Imported Channel 1	ICE	QSCMM	unkno	144	140	140	1.03	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06620000	270	1983-01-12		Yes	HIK/TMH	USGS	3.41	89.5				Poor			IceCover	MEAS	1	Imported Channel 1	ICE	QSCMM	unkno	89.5	1160	95.6	0.94	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06620000	271	1983-02-22		Yes	HIK	USGS	3.69	98.7				Fair			IceCover	MEAS	1	Imported Channel 1	ICE	QSCMM	unkno	98.7	107	62.0	1.59	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06620000	272	1983-04-25		Yes	HIK	USGS	4.26	1250				Good	0.00	1.00	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	1250	121	388	3.22	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06620000	273	1983-05-25		Yes	HIK	USGS	4.35	1360				Good	0.00	1.30	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	1360	121	394	3.45	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06620000	274	1983-06-10		Yes	HIK	USGS	5.51	2630				Good	0.01	1.30	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	2630	131	570	4.61	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06620000	275	1983-06-14		Yes	HIK	USGS	6.42	3840				Good	0.00	1.00		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	3840	132	689	5.57	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06620000	276	1983-06-21		Yes	HIK	USGS	6.03	3230				Good	0.01	1.30		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	3230	131	629	5.14	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06620000	277	1983-07-21		Yes	WRG	USGS	4.66	1580				Good	0.01	1.00	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	1580	126	437	3.62	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06620000	278	1983-08-16		Yes	TAR/WRG	USGS	3.54	671				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	671	149	300	2.24	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06620000	279	1983-09-13		Yes	TJL/HIK	USGS	2.61	204				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	204	103	187	1.09	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06620000	280	1983-10-25		Yes	TJL	USGS	2.63	208				Fair	-0.01	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	208	141	177	1.18	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06620000	281	1983-12-21		Yes	GJM/TJL	USGS	3.29	191				Fair	-0.01	0.40	IceCover	MEAS	1	Imported Channel 1	ICE	QSCMM	unkno	191	155	160	1.20	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06620000	282	1984-02-01		Yes	TJL/JFM	USGS	3.73	153				Fair	0.00	1.50	IceCover	MEAS	1	Imported Channel 1	ICE	QSCMM	unkno	153	154	116	1.32	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06620000	283	1984-03-06		Yes	TJL/JFM	USGS	3.99	120				Fair	0.00	0.40	IceCover	MEAS	1	Imported Channel 1	ICE	QSCMM	unkno	120	153	105	1.14	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06620000	284	1984-04-17		Yes	TJL	USGS	4.98	330				Fair	0.03	1.60	IceCover	MEAS	1	Imported Channel 1	ICE	QSCMM	unkno	330	164	222	1.49	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06620000	285	1984-05-15		Yes	TJL/GJM	USGS	7.45	5620				Good	0.13	2.50	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	5620	342	1020	5.56	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06620000	286	1984-05-17		Yes	GJM/TJL	USGS	7.76	6290				Good	0.04	2.00	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	6290	422	1180	5.33	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06620000	287	1984-06-06		Yes	WRG/DEH	USGS	6.02	3240				Unspecified	0.00	1.00		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	3240	134	638	5.08	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06620000	288	1984-06-15		Yes	TJL	USGS	4.43	1430				Good	0.00	1.00	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	1430	124	438	3.26	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06620000	289	1984-07-11		Yes	TJL	USGS	5.37	2380				Fair	-0.01	1.10	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	2380	131	556	4.28	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06620000	290	1984-08-17		Yes	TJL	USGS	3.41	591				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	591	159	284	2.08	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06620000	291	1984-10-03		Yes	TJL/DEH	USGS	2.75	299				Poor	0.02	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	299	156	206	1.45	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06620000	292	1984-11-14		Yes	TJL	USGS	2.93	384				Fair	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	384	148	235	1.64	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06620000	293	1984-12-19		Yes	GJM/JFM	USGS	3.19	153				Fair	0.00	0.70	IceCover	MEAS	1	Imported Channel 1	ICE	QSCMM	unkno	153	153	119	1.29	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06620000	294	1985-01-29		Yes	TJL	USGS	3.48	139				Fair	0.00	0.50	IceCover	MEAS	1	Imported Channel 1	ICE	QSCMM	unkno	139	143	143	0.97	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06620000	295	1985-03-12		Yes	TJL	USGS	3.78	158				Fair	0.01	0.70	IceCover	MEAS	1	Imported Channel 1	ICE	QSCMM	unkno	158	156	155	1.02	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06620000	296	1985-04-19		Yes	WRG/LGS	USGS	4.65	1880				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	1880	128	472	3.98	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06620000	297	1985-05-10		Yes	TJL	USGS	4.96	2200				Fair	-0.02	1.00	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	2200	131	530	4.16	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06620000	298	1985-06-13		Yes	TJL	USGS	4.33	1500				Good	-0.02	1.00	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	1500	125	437	3.43	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06620000	299	1985-07-16		Yes	TJL	USGS	3.18	546				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	546	155	277	1.97	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
