#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:53:00 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06656000 NORTH PLATTE RIVER BELOW GUERNSEY RESERVOIR, WY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06656000	729	1980-10-29		Yes	HIK	USGS	3.15	846				Good	0.08	1.00	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	846	232	1240	0.68	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06656000	730	1980-11-06		Yes	DJP	USGS	1.30	5.76				Fair	0.00	0.60		MEAS	1	Imported Channel 1	WADE	unspe	unkno	5.76	16.0	9.56	0.60	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06656000	731	1980-12-03		Yes	HIK	USGS	1.25	3.86				Fair	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	3.86	40.0	18.3	0.21	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06656000	732	1981-01-02		Yes	DJP	USGS	1.19	2.16				Poor	0.00	0.50	IceCover	MEAS	1	Imported Channel 1	WADE	unspe	unkno	2.16	17.0	7.05	0.31	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06656000	733	1981-02-12		Yes	HIK	USGS	1.19	2.58				Fair	0.00	0.40	IceCover	MEAS	1	Imported Channel 1	WADE	unspe	unkno	2.58	15.0	10.6	0.24	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06656000	734	1981-03-25		Yes	HIK	USGS	1.21	2.70				Poor				MEAS	1	Imported Channel 1	WADE	unspe	unkno	2.70	18.0	11.5	0.23	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06656000	735	1981-04-08		Yes	DJP	USGS	1.31	5.60				Fair	0.00	0.40		MEAS	1	Imported Channel 1	WADE	unspe	unkno	5.60	18.5	6.20	0.90	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06656000	736	1981-05-07		Yes	HIK	USGS	3.35	1020				Good	0.00	1.30	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	1020	233	1280	0.80	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06656000	737	1981-06-02		Yes	DJP	USGS	3.53	1230				Fair	0.01	1.20	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	1230	240	1370	0.90	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
