#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:53:53 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02200120 OGEECHEE RIVER AT GA 88, NEAR GRANGE, GA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02200120	1	1981-06-11 12:10:00	EDT	Yes	MEP/AJB	USGS	2.35	294.0		0.00		GOOD	-0.09	0.80	CLER	MEAS	1	Unspecified	CRAN	QUNSP		294.0	84.0	740	0.400	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02200120	2	1981-06-30 17:20:00	EDT	Yes	MEP	USGS	-1.76	32.9		0.00		POOR	-0.01	1.20	CLER	MEAS	1	Unspecified	CRAN	QUNSP		32.9	72.0	413	0.080	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02200120	3	1981-09-23 11:25:00	EDT	Yes	GAB	USGS	1.19	9.29		0.00		FAIR	0.00	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		9.29	31.0	38.8	0.240	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02200120	4	1981-12-16 11:45:00	EST	Yes	CHL/BC	USGS	6.10	365.0		0.00		FAIR	0.04	1.00	CLER	MEAS	1	Unspecified	CRAN	QUNSP		365.0	88.0	786	0.460	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02200120	5	1998-02-23 15:35:00	EST	Yes	del	USGS	8.30	905.0		0.00		FAIR	0.01	0.80	CLER	MEAS	1	Unspecified	CWAY	QUNSP		905.0	100	1020	0.880	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02200120	6	1998-04-01 13:50:00	EST	Yes	jhs	USGS	6.96	578.0		0.00		FAIR	-0.01	3.30	CLER	MEAS	1	Unspecified	CWAY	QUNSP		578.0	93.0	883	0.650	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02200120	7	1998-07-11 15:45:00	EDT	Yes	deb	USGS	2.10	51.7		0.00		POOR	0.00	0.50	CLER	MEAS	1	Unspecified	CWAY	QUNSP		51.7	80.0	436	0.110	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02200120	8	2002-05-14 10:45:00	EDT	Yes	JJG/GBD	USGS	2.29	46.2		0.00		UNSP	0.00			MEAS	1	Unspecified	CRAN	QUNSP		46.2	85.0	468	0.100	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02200120	9	2007-08-29 18:15:00	EDT	Yes	CDC	USGS	6.12	13.7				POOR	0.00	1.25	MDDB	MEAS	1	Unspecified	CRAN	QUNSP		13.7	74.0	293	0.050	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
