#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:53:54 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02201230 OGEECHEE RIVER AT MIDVILLE, GA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02201230	1	1991-03-06 09:20:00	EST	Yes	BTW/WLS	USGS	6.74	9630		0.00		GOOD	-0.01	2.10	CLER	MEAS	1	Unspecified	CRAN	QUNSP		9630	1470	6180	1.56	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02201230	2	1998-02-25 10:40:00	EST	Yes	DEL	USGS	6.06	4620		0.00		GOOD	0.00	2.80	CLER	MEAS	1	Unspecified	CRAN	QUNSP		4620	775	3570	1.29	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02201230	3	1998-04-01 09:45:00	EST	Yes	WKK	USGS	5.14	3330		0.00		GOOD	0.00	2.10	CLER	MEAS	1	Unspecified	CRAN	QUNSP		3330	275	2420	1.38	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02201230	4	1998-05-21 12:40:00	EDT	Yes	TDP	USGS	4.16	832.0		0.00		FAIR	-0.03	1.00	CLER	MEAS	1	Unspecified	CRAN	QUNSP		832.0	230	2240	0.370	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02201230	5	1998-07-17 10:30:00	EDT	Yes	WKK	USGS	0.75	259.0		0.00		GOOD	0.00	1.20	CLER	MEAS	1	Unspecified	CRAN	QUNSP		259.0	200	1470	0.180	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02201230	6	2000-08-01 08:45:00	EDT	Yes	PDA/SRS	USGS	0.41	174.0		0.00		POOR	0.00	1.75	CLER	MEAS	1	Unspecified	CRAN	QUNSP		174.0	170	1310	0.130	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02201230	7	2002-05-15 10:20:00	EDT	Yes	MSR/LFJ	USGS	-1.20	216.0		0.00		UNSP	0.01	1.50	CLER	MEAS	1	Unspecified	BOAT	QUNSP		216.0	143	1070	0.200	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02201230	8	2003-03-10 14:09:00	EST	Yes	CAS/CEC	USGS	5.52	2510	 3.0	0.00	-5.30	FAIR	-0.01	0.45	CLER	MEAS	1	Unspecified	UNSP	QADCP	VADCP	2510	526	2840	0.88	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02201230	9	2003-03-11 11:13:00	EST	Yes	DJV/TMB	USGS	5.45	2380	 3.0	0.00	-4.80	FAIR	0.00		CLER	MEAS	1	Unspecified	CRAN	QUNSP		2380	530	2710	0.850	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02201230	10	2003-04-14 12:00:00	EDT	Yes	CAS	USGS	7.36	8990	 3.0	0.00	-2.40	FAIR	-0.01	2.78	CLER	MEAS	1	Unspecified	CRAN	QUNSP		8990	1150	5220	1.72	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02201230	11	2003-06-17 15:45:00	EDT	Yes	CAS/LJW	USGS	5.90	3620	 3.0	0.00	0.300	GOOD	-0.01	0.50	CLER	MEAS	1	Unspecified	UNSP	QADCP	VADCP	3620	506	2350	1.54	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02201230	12	2003-09-24 10:51:00	EDT	Yes	CAS	USGS	1.03	244.0	 3.0	0.00	0.800	POOR	0.00	0.45	CLER	MEAS	1	Unspecified	UNSP	QADCP	VADCP	244.0	137	1350	0.18	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02201230	13	2003-10-21 12:40:00	EDT	Yes	CAS/LJW	USGS	1.15	258.0	 3.0	0.00	-1.50	POOR	0.00	0.33	CLER	MEAS	1	Unspecified	UNSP	QADCP	VADCP	258.0	144	1400	0.18	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02201230	14	2004-01-13 15:27:00	EST	Yes	CAS/CEC	USGS	2.76	565.0	 3.0	0.00	1.10	FAIR	0.00	0.12	CLER	UNSP	1	Unspecified	UNSP	QADCP	VADCP	565.0	201	1850	0.31	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02201230	15	2004-02-26 11:29:00	EST	Yes	CAS/JWE	USGS	4.87	1780	 3.0	0.00	5.90	FAIR	0.02	0.25	CLER	MEAS	1	Unspecified	UNSP	QADCP	VADCP	1780	174	1280	1.39	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02201230	16	2004-04-27 16:36:00	EDT	Yes	CAS/ACD	USGS	1.21	268.0	 3.0	0.00	-0.400	POOR	0.00	0.26	CLER	MEAS	1	Unspecified	UNSP	QADCP	VADCP	268.0	143	1090	0.24	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02201230	17	2004-06-07 14:40:00	EDT	Yes	ACD/TJN	USGS	-0.99	90.4	 3.0	-0.450	-7.90	POOR	0.00	0.38	CLER	MEAS	1	Unspecified	UNSP	QADCP	VADCP	90.4	141	1120	0.08	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02201230	18	2004-11-02 17:15:00	EST	Yes	CAS/JKJ	USGS	2.13	387.0	 3.0	0.00	-4.70	POOR	1.13		CLER	MEAS	1	Unspecified	UNSP	QADCP	VADCP	387.0	167	1660	0.23	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02201230	19	2005-02-24 11:09:00	EST	Yes	CAS/MVT	USGS	4.86	1600	 3.0	0.00	-4.80	GOOD	0.00	0.30	CLER	BYPS	1	Unspecified	UNSP	QADCP	VADCP	1600	185	2030	0.75	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02201230	20	2005-04-13 14:06:00	EDT	Yes	MVT	USGS	5.50	2840	 3.0	0.00	8.00	FAIR	-0.01	1.23	CLER	MEAS	1	Unspecified	CRAN	QUNSP		2840	270	2720	1.04	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02201230	21	2005-05-18 17:25:00	EDT	Yes	MVT/TJN	USGS	1.66	329.0	 3.0		0.00	FAIR	-0.01	0.50	CLER	MEAS	1	Unspecified	UNSP	QADCP	VADCP	329.0	160	1530	0.26	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02201230	22	2005-10-13 11:23:00	EDT	Yes	MVT/LJW	USGS	5.63	2730	 3.0		-5.50	FAIR	0.00	0.45	CLER	BYPS	1	Unspecified	UNSP	QADCP	VADCP	2730	231	2280	1.13	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02201230	23	2006-01-20 12:13:00	EST	Yes	MVT/LJW	USGS	4.47	1280	 3.0	0.00	-6.60	FAIR	0.00	0.40	CLER	BYPS	1	Unspecified	UNSP	QADCP	VADCP	1280	210			UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02201230	24	2006-04-14 14:10:00	EDT	Yes	MVT/LJW	USGS	3.78	905.0	 3.0	0.00	-0.700	FAIR	0.01	0.15	CLER	MEAS	1	Unspecified	UNSP	QADCP	VADCP	905.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02201230	25	2006-06-20 10:12:00	EDT	Yes	.3	USGS	-0.30	128.0	 3.0	-0.440	0.00	FAIR	0.00	0.16	CLER	MEAS	1	Unspecified	UNSP	QADCP	VADCP	128.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02201230	26	2006-09-08 14:21:00	EDT	Yes	MVT/LJW	USGS	-0.20	161.0	 3.0	0.00	1.90	FAIR	-0.01	0.30	CLER	MEAS	1	Unspecified	UNSP	QADCP	VADCP	161.0	139	1200	0.13	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02201230	27	2006-10-26 15:05:00	EDT	Yes	MVT/LJW	USGS	-0.17	149.0	 3.0	-0.190	0.00	FAIR	0.00	0.20	CLER	MEAS	1	Unspecified	UNSP	QADCP	VADCP	149.0	138	1180	0.13	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02201230	28	2007-02-09 13:05:00	EST	Yes	MVT/LJW	USGS	4.79	1560	 3.0	0.00	-3.50	FAIR	-0.01	0.30	CLER	BYPS	1	Unspecified	UNSP	QADCP	VADCP	1560	220	2190	0.68	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02201230	29	2007-06-06 14:16:00	EDT	Yes	MVT/LJW	USGS	4.58	1410	 4.0	0.00	-2.70	FAIR	0.00	0.30	CLER	MEAS	1	Unspecified	UNSP	QADCP	VADCP	1410	212	2140	0.66	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02201230	30	2007-08-01 11:57:00	EDT	Yes	MVT/LJW	USGS	1.82	393.0	 4.0	0.080	3.80	POOR	0.00	0.30	CLER	MEAS	1	Unspecified	UNSP	QADCP	VADCP	393.0	161	1600	0.25	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02201230	31	2007-10-11 13:26:00	EDT	Yes	MVT/LJW	USGS	-0.96	103.0	 4.0	-0.330	-1.90	POOR	0.00	0.20	CLER	MEAS	1	Unspecified	UNSP	QADCP	VADCP	103.0	148	805	0.13	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02201230	32	2008-03-05 09:26:00	EST	Yes	MVT/WLS	USGS	4.60	1430	 4.0	-0.05	0.2	FAIR	0.00	0.25	CLER	MEAS	1	Unspecified	CRAN	QUNSP		1430	207	2130	0.670	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02201230	33	2008-06-03 12:46:00	EDT	Yes	MVT/LJW	USGS	0.39	207.0	 4.0		2.7	FAIR	0.00	0.20	CLER	MEAS	1	Unspecified	UNSP	QADCP	VADCP	207.0	141	1320	0.16	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02201230	34	2008-09-16 13:06:00	EDT	Yes	MVT/LJW	USGS	0.71	237.0	 4.0		2.4	FAIR	0.00	0.20	CLER	MEAS	1	Unspecified	UNSP	QADCP	VADCP	237.0	138	1330	0.18	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02201230	35	2008-12-04 11:02:00	EST	Yes	MVT/LJW	USGS	4.58	1350	 5.0		0.7	FAIR	0.00	0.20	CLER	UNSP	1		BRDS	QADCP	VADCP	1350	199	2130	0.63	SOFT	SAND	UNEV	STDY	EVEN	UNSP	DNST	20
USGS	02201230	36	2009-02-11 13:04:36	EST	Yes	MVT/LJW	USGS	2.29	458	 5.0		-1.9	FAIR	0.00	0.22	CLER	MEAS	1		MBOT	QADCP	VADCP	458	169	1620	0.28	SOFT	SAND	UNEV	STDY	EVEN	UNSP	DNST	200
