#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:53:58 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02202190 OGEECHEE RIVER AT GA 24, NEAR OLIVER, GA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02202190	1	1974-09-17 13:40:00	EDT	Yes	JLP	USGS	9.58	1310		0.00		GOOD	0.02	0.80	CLER	MEAS	1	Unspecified	CRAN	QUNSP		1310	210	1240	1.06	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02202190	2	1974-10-21 13:55:00	EDT	Yes	JLP	USGS	6.18	371.0		0.00		GOOD	-0.01	0.70	CLER	MEAS	1	Unspecified	CRAN	QUNSP		371.0	150	610	0.610	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02202190	3	1974-12-10 12:45:00	EST	Yes	JLP	USGS	8.00	739.0		0.00		GOOD	-0.02	0.80	CLER	MEAS	1	Unspecified	CRAN	QUNSP		739.0	190	897	0.820	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02202190	4	1975-01-22 07:15:00	EST	Yes	JLP	USGS	12.93	3870		0.00		GOOD	0.04	2.00	CLER	MEAS	1	Unspecified	CRAN	QUNSP		3870	730	3240	1.19	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02202190	5	1975-04-01 14:45:00	EDT	Yes	JLP	USGS	14.78	8550		0.00		GOOD	-0.02	2.10	CLER	MEAS	1	Unspecified	CRAN	QUNSP		8550	1260	5740	1.49	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02202190	6	1976-04-12 17:50:00	EST	Yes	RTN	USGS	10.40	1560		0.00		GOOD	0.00	0.60	CLER	MEAS	1	Unspecified	CRAN	QUNSP		1560	215	1400	1.11	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02202190	7	1976-06-15 09:30:00	EDT	Yes	AEH	USGS	10.56	1540		0.00		GOOD	-0.03	0.80	CLER	MEAS	1	Unspecified	BOAT	QUNSP		1540	155	1180	1.30	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02202190	8	1976-07-21 09:40:00	EDT	Yes	AEH	USGS	11.83	2600		0.00		GOOD	-0.03	1.70	CLER	MEAS	1	Unspecified	CRAN	QUNSP		2600	566	2270	1.15	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02202190	9	1976-08-24 08:35:00	EDT	Yes	WRW	USGS	7.11	523.0		0.00		GOOD	0.00	0.90	CLER	MEAS	1	Unspecified	CRAN	QUNSP		523.0	148	704	0.740	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02202190	10	1976-12-16 08:00:00	EST	Yes	CMH	USGS	14.35	6070		0.00		GOOD	0.01	1.30	CLER	MEAS	1	Unspecified	CRAN	QUNSP		6070	771	4250	1.43	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02202190	11	1977-01-12 08:45:00	EST	Yes	CMH	USGS	13.86	5030		0.00		GOOD	-0.03	1.20	CLER	MEAS	1	Unspecified	CRAN	QUNSP		5030	781	4090	1.23	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02202190	12	1977-02-22 10:40:00	EST	Yes	CMH	USGS	11.33	1970		0.00		GOOD	0.00	0.70	CLER	MEAS	1	Unspecified	CRAN	QUNSP		1970	216	1640	1.20	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02202190	13	1977-06-01 08:30:00	EDT	Yes	RTN	USGS	8.26	821.0		0.00		GOOD	0.00	0.90	CLER	MEAS	1	Unspecified	CRAN	QUNSP		821.0	153	1020	0.800	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02202190	14	1977-08-01 17:40:00	EDT	Yes	WRW	USGS	5.95	313.0		0.00		GOOD	0.02	0.60	CLER	MEAS	1	Unspecified	BOAT	QUNSP		313.0	91.0	261	1.20	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02202190	15	1977-08-01 19:00:00	EDT	Yes	WRW	USGS	5.96	283.0		0.00		GOOD	0.00	0.80	CLER	MEAS	1	Unspecified	BOAT	QUNSP		283.0	138	757	0.370	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02202190	16	1977-09-08 12:10:00	EDT	Yes	WRW	USGS	8.70	826.0		0.00		GOOD	0.01	0.80	CLER	MEAS	1	Unspecified	CRAN	QUNSP		826.0	153	1060	0.780	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02202190	17	1978-01-12 07:45:00	EST	Yes	WRW	USGS	11.48	2180		0.00		GOOD	0.00	1.00	CLER	MEAS	1	Unspecified	CRAN	QUNSP		2180	315	1950	1.25	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
