#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:54:00 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02203536 OGEECHEE RIVER AT US 17, NEAR RICHMOND HILL, GA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02203536	1	2010-07-08 07:19:00	EDT	Yes	MVT/TCS	USGS	6.31	-5200	 1.0		-14.2	GOOD			UNSP	MEAS	1		MBOT	QADCP	VADCP	-5200	634	7850	0.66	SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	400
USGS	02203536	2	2010-07-08 07:23:00	EDT	Yes	MVT/TCS	USGS	6.32	-4780	 1.0		89.7	GOOD			UNSP	MEAS	1		MBOT	QADCP	VADCP	-4780	641	8020	0.60	SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	400
USGS	02203536	3	2010-07-08 07:28:00	EDT	Yes	MVT/TCS	USGS	6.32	-4260	 1.0		63.2	GOOD			UNSP	MEAS	1		MBOT	QADCP	VADCP	-4260	640	7890	0.54	SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	400
USGS	02203536	4	2010-07-08 07:43:00	EDT	Yes	MVT/TCS	USGS	6.32	-2290	 1.0		-1.7	GOOD			UNSP	MEAS	1		MBOT	QADCP	VADCP	-2290	651	8120	0.28	SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	400
USGS	02203536	5	2010-07-08 07:58:00	EDT	Yes	MVT/TCS	USGS	6.25	213	 1.0		15.1	GOOD			UNSP	MEAS	1		MBOT	QADCP	VADCP	213	648	7890	0.03	SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	400
USGS	02203536	6	2010-07-08 08:28:00	EDT	Yes	MVT/TCS	USGS	5.95	6620	 1.0		-1.3	GOOD			UNSP	MEAS	1		MBOT	QADCP	VADCP	6620	655	7960	0.83	SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	400
USGS	02203536	7	2010-07-08 08:43:00	EDT	Yes	MVT/TCS	USGS	5.80	8090	 1.0		2.5	GOOD			UNSP	MEAS	1		MBOT	QADCP	VADCP	8090	653	7740	1.04	SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	400
USGS	02203536	8	2010-07-08 08:58:00	EDT	Yes	MVT/TCS	USGS	5.64	8620	 1.0		-1.7	GOOD			UNSP	MEAS	1		MBOT	QADCP	VADCP	8620	648	7750	1.11	SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	400
USGS	02203536	9	2010-07-08 09:04:00	EDT	Yes	MVT/TCS	USGS	5.57	8630	 1.0		-3.0	GOOD			UNSP	MEAS	1		MBOT	QADCP	VADCP	8630	652	7680	1.13	SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	400
USGS	02203536	10	2010-07-08 09:08:00	EDT	Yes	MVT/TCS	USGS	5.50	8510	 1.0		7.9	GOOD			UNSP	MEAS	1		MBOT	QADCP	VADCP	8510	644	7660	1.11	SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	400
USGS	02203536	11	2010-07-08 09:13:00	EDT	Yes	MVT/TCS	USGS	5.44	8540	 1.0		-0.1	GOOD			UNSP	MEAS	1		MBOT	QADCP	VADCP	8540	644	7540	1.13	SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	400
USGS	02203536	12	2010-07-08 09:18:00	EDT	Yes	MVT/TCS	USGS	5.38	8680	 1.0		5.2	GOOD			UNSP	MEAS	1		MBOT	QADCP	VADCP	8680	652	7650	1.14	SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	400
USGS	02203536	13	2010-07-08 09:23:00	EDT	Yes	MVT/TCS	USGS	5.32	8550	 1.0		2.0	GOOD			UNSP	MEAS	1		MBOT	QADCP	VADCP	8550	648	7490	1.14	SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	400
USGS	02203536	14	2010-07-08 09:28:00	EDT	Yes	MVT/TCS	USGS	5.26	8300	 1.0		6.0	GOOD			UNSP	MEAS	1		MBOT	QADCP	VADCP	8300	642	7410	1.12	SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	400
USGS	02203536	15	2010-07-08 09:33:00	EDT	Yes	MVT/TCS	USGS	5.19	8660	 1.0		1.3	GOOD			UNSP	MEAS	1		MBOT	QADCP	VADCP	8660	651	7440	1.16	SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	400
USGS	02203536	16	2010-07-08 09:38:00	EDT	Yes	MVT/TCS	USGS	5.14	8620	 1.0		5.4	GOOD			UNSP	MEAS	1		MBOT	QADCP	VADCP	8620	642	7380	1.17	SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	400
USGS	02203536	17	2010-07-08 09:43:00	EDT	Yes	MVT/TCS	USGS	5.07	8660	 1.0		5.4	GOOD			UNSP	MEAS	1		MBOT	QADCP	VADCP	8660	649	7380	1.17	SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	400
USGS	02203536	18	2010-07-08 09:48:00	EDT	Yes	MVT/TCS	USGS	4.99	8650	 1.0		-2.1	GOOD			UNSP	MEAS	1		MBOT	QADCP	VADCP	8650	679	7510	1.15	SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	400
USGS	02203536	19	2010-07-08 09:53:00	EDT	Yes	MVT/TCS	USGS	4.93	8440	 1.0		-5.0	GOOD			UNSP	MEAS	1		MBOT	QADCP	VADCP	8440	646	7320	1.15	SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	400
USGS	02203536	20	2010-07-08 09:58:00	EDT	Yes	MVT/TCS	USGS	4.87	8440	 1.0		0.2	GOOD			UNSP	MEAS	1		MBOT	QADCP	VADCP	8440	653	7280	1.16	SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	400
USGS	02203536	21	2010-07-08 10:03:00	EDT	Yes	MVT/TCS	USGS	4.78	8500	 1.0		-2.2	GOOD			UNSP	MEAS	1		MBOT	QADCP	VADCP	8500	648	7180	1.18	SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	400
USGS	02203536	22	2010-07-08 10:08:00	EDT	Yes	MVT/TCS	USGS	4.73	8400	 1.0		2.9	GOOD			UNSP	MEAS	1		MBOT	QADCP	VADCP	8400	653	7190	1.17	SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	400
USGS	02203536	23	2010-07-08 10:13:00	EDT	Yes	MVT/TCS	USGS	4.66	8450	 1.0		9.7	GOOD			UNSP	MEAS	1		MBOT	QADCP	VADCP	8450	646	7100	1.19	SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	400
USGS	02203536	24	2010-07-08 10:18:00	EDT	Yes	MVT/TCS	USGS	4.59	8510	 1.0		0.5	GOOD			UNSP	MEAS	1		MBOT	QADCP	VADCP	8510	645	7050	1.21	SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	400
USGS	02203536	25	2010-07-08 10:23:00	EDT	Yes	MVT/TCS	USGS	4.52	8260	 1.0		0.0	GOOD			UNSP	MEAS	1		MBOT	QADCP	VADCP	8260	651	7060	1.17	SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	400
USGS	02203536	26	2010-07-08 10:28:00	EDT	Yes	MVT/TCS	USGS	4.45	8260	 1.0		-3.2	GOOD			UNSP	MEAS	1		MBOT	QADCP	VADCP	8260	653	7000	1.18	SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	400
USGS	02203536	27	2010-07-08 10:33:00	EDT	Yes	MVT/TCS	USGS	4.38	8010	 1.0		-1.8	GOOD			UNSP	MEAS	1		MBOT	QADCP	VADCP	8010	660	6980	1.15	SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	400
USGS	02203536	28	2010-07-08 10:38:00	EDT	Yes	MVT/TCS	USGS	4.31	7960	 1.0		0.0	GOOD			UNSP	MEAS	1		MBOT	QADCP	VADCP	7960	652	6910	1.15	SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	400
USGS	02203536	29	2010-07-08 10:58:00	EDT	Yes	MVT/TCS	USGS	4.03	7900	 1.0		-1.2	GOOD			UNSP	MEAS	1		MBOT	QADCP	VADCP	7900	662	6860	1.15	SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	400
USGS	02203536	30	2010-07-08 11:28:00	EDT	Yes	MVT/TCS	USGS	3.62	7330	 1.0		-5.1	GOOD			UNSP	MEAS	1		MBOT	QADCP	VADCP	7330	644	6490	1.13	SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	400
USGS	02203536	31	2010-07-08 11:58:00	EDT	Yes	MVT/TCS	USGS	3.22	6990	 1.0		-7.9	GOOD			UNSP	MEAS	1		MBOT	QADCP	VADCP	6990	647	6320	1.11	SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	400
USGS	02203536	32	2010-07-08 12:58:00	EDT	Yes	MVT/TCS	USGS	2.45	6060	 1.0		-2.9	GOOD			UNSP	MEAS	1		MBOT	QADCP	VADCP	6060	645	5830	1.04	SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	400
USGS	02203536	33	2010-07-08 13:58:00	EDT	Yes	MVT/TCS	USGS	1.75	4720	 1.0		-9.1	GOOD			UNSP	MEAS	1		MBOT	QADCP	VADCP	4720	639	5280	0.89	SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	400
USGS	02203536	34	2010-07-08 14:58:00	EDT	Yes	MVT/TCS	USGS	1.39	1880	 1.0		15.3	GOOD			UNSP	MEAS	1		MBOT	QADCP	VADCP	1880	633	5020	0.37	SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	400
USGS	02203536	35	2010-07-08 15:29:00	EDT	Yes	MVT/TCS	USGS	1.95	-4880	 1.0		-16.0	GOOD			UNSP	MEAS	1		MBOT	QADCP	VADCP	-4880	633	5200	0.94	SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	400
USGS	02203536	36	2010-07-08 15:43:00	EDT	Yes	MVT/TCS	USGS	2.22	-5100	 1.0		-7.4	GOOD			UNSP	MEAS	1		MBOT	QADCP	VADCP	-5100	633	5480	0.93	SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	400
USGS	02203536	37	2010-07-08 15:58:00	EDT	Yes	MVT/TCS	USGS	2.52	-6040	 1.0		7.7	GOOD			UNSP	MEAS	1		MBOT	QADCP	VADCP	-6040	643	5660	1.07	SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	400
USGS	02203536	38	2010-07-08 16:03:00	EDT	Yes	MVT/TCS	USGS	2.63	-6060	 1.0		13.7	GOOD			UNSP	MEAS	1		MBOT	QADCP	VADCP	-6060	641	5780	1.05	SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	400
USGS	02203536	39	2010-07-08 16:08:00	EDT	Yes	MVT/TCS	USGS	2.74	-6070	 1.0		-10.3	GOOD			UNSP	MEAS	1		MBOT	QADCP	VADCP	-6070	646	5770	1.05	SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	400
USGS	02203536	40	2010-07-08 16:13:00	EDT	Yes	MVT/TCS	USGS	2.84	-6800	 1.0		-3.4	GOOD			UNSP	MEAS	1		MBOT	QADCP	VADCP	-6800	648	5950	1.14	SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	400
USGS	02203536	41	2010-07-08 16:18:00	EDT	Yes	MVT/TCS	USGS	2.95	-7130	 1.0		-4.6	GOOD			UNSP	MEAS	1		MBOT	QADCP	VADCP	-7130	650	5960	1.19	SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	400
USGS	02203536	42	2010-07-08 16:23:00	EDT	Yes	MVT/TCS	USGS	3.06	-7370	 1.0		-3.3	GOOD			UNSP	MEAS	1		MBOT	QADCP	VADCP	-7370	652	6100	1.21	SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	400
USGS	02203536	43	2010-07-08 16:28:00	EDT	Yes	MVT/TCS	USGS	3.17	-7570	 1.0		-0.7	GOOD			UNSP	MEAS	1		MBOT	QADCP	VADCP	-7570	647	6080	1.24	SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	400
USGS	02203536	44	2010-07-08 16:33:00	EDT	Yes	MVT/TCS	USGS	3.28	-7960	 1.0		3.4	GOOD			UNSP	MEAS	1		MBOT	QADCP	VADCP	-7960	650	6220	1.28	SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	400
USGS	02203536	45	2010-07-08 16:39:00	EDT	Yes	MVT/TCS	USGS	3.40	-8530	 1.0		0.9	GOOD			UNSP	MEAS	1		MBOT	QADCP	VADCP	-8530	651	6230	1.37	SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	400
USGS	02203536	46	2010-07-08 16:44:00	EDT	Yes	MVT/TCS	USGS	3.52	-8860	 1.0		5.6	GOOD			UNSP	MEAS	1		MBOT	QADCP	VADCP	-8860	655	6440	1.37	SOFT	SILT	UNEV	STDY	EVEN	UNSP	DNST	400
USGS	02203536	47	2010-11-09 10:23:00	EST	Yes	MVT/ACC	USGS	5.58	-11800	 1.0	-0.18	-2.5	GOOD	0.30	0.17	CLER	MEAS	1		MBOT	QADCP	VADCP	-11800	645	7630	-1.54	SOFT	SAND	EVEN	STDY	EVEN	UNKN	DNST	300.00
USGS	02203536	48	2011-03-01 12:35:00	EST	Yes	MVT/ACC	USGS	3.79	9080	 1.0	-0.18	5.6	GOOD	-0.14	0.20	CLER	MEAS	1		MBOT	QADCP	VADCP	9080	639	6380	1.42	SOFT	SAND	EVEN	STDY	EVEN	STND	DNST	200.00
USGS	02203536	49	2011-06-21 13:40:00	EDT	Yes	MVT/ACC	USGS	5.56	-10900	 1.0	-0.18	-3.5	GOOD	0.18	0.13	CLER	MEAS	1		MBOT	QADCP	VADCP	-10900	638	7400	1.48	SOFT	SAND	EVEN	STDY	EVEN	STND	DNST	200.00
USGS	02203536	50	2011-10-12 10:27:30	EDT	Yes	MVT/ACC	USGS	7.10	-8260	 1.0	-0.18		GOOD	0.09	0.32	CLER	MEAS	1		MBOT	QADCP	VADCP	-8260	646	8420	0.98	SOFT	SAND	EVEN	STDY	EVEN	STND	DNST	200.00
USGS	02203536	51	2012-02-22 08:25:00	EST	Yes	MVT/LJW	USGS	5.11	-10800	 1.0			GOOD	0.00	0.03	CLER	MEAS	1		MBOT	QADCP	VADCP	-10800	639	7180	-1.51	SOFT	SAND	UNEV	STDY	EVEN	STND	DNST	200.00
