#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:55:06 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 07358501 Ouachita Riv at Carpenter Dam nr Hot Springs, AR
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	07358501	6	2015-12-02 14:38:00	CST	Yes	BKM	USGS	16.50	118				Poor				MEAS	1	main	WADE	QSCMM	VADV	118	78.0	149	0.80	FIRM	CBLS	UNEV	unkn	UNEV	NSTD	ATGA	
USGS	07358501	7	2015-12-03 14:38:30	CST	Yes	jtm	USGS	16.48	157				Fair	-0.18	0.90		MEAS	1	main	WADE	QSCMM	VADV	157	76.0	141	1.11	FIRM	BLDR	EVEN	unkn	EVEN	UNKN	ATGA	
USGS	07358501	9	2015-12-05 16:28:00	CST	Yes	JEW	USGS	16.47	140				Fair	16.47	1.30		MEAS	1	Main Channel	WADE	QSCMM	VADV	140	66.0	98.0	1.43	FIRM	CBLS	UNEV	unkn	UNEV	UNKN	UPST	150.00
USGS	07358501	10	2015-12-06 14:34:00	CST	Yes	JEW	USGS	16.47	124				Fair	0.00	1.50		MEAS	1	Main Channel	WADE	QSCMM	VADV	124	66.0	106	1.17	FIRM	CBLS	UNEV	unkn	UNEV	UNKN	UPST	150.00
USGS	07358501	11	2016-02-09 15:18:30	CST	Yes	jtf	USGS	16.48	131				Fair	0.00	1.10	Clear	MEAS	1	Main	WADE	QSCMM	VADV	131	80.0	103	1.27	FIRM	GRVL	EVEN	unkn	EVEN	STND	ATGA	
USGS	07358501	11	2016-02-09 15:18:30	CST	Yes	jtf	USGS	16.48	131				Fair	0.00	1.10	Clear	MEAS	2	Side Chanal	WADE	QSCMM	VADV	0.20	15.0	13.2	0.02	FIRM	GRVL	EVEN	unkn	EVEN	NSTD	ATGA	
USGS	07358501	12	2017-02-01 12:59:00	CST	Yes	BGC	USGS	16.60	167				Fair		1.00	Clear	MEAS	1	Ouachita River at Carpenter Dam	WADE	QSCMM	VADV	167	125	150	1.12	FIRM	BLDR	UNEV	unkn	UNSP	UNKN	UPST	200.00
USGS	07358501	13	2017-02-01 14:04:00	CST	Yes	BGC	USGS	16.90	130				Fair		1.00	Clear	MEAS	1	Ouachita River at Carpenter Dam	WADE	QSCMM	VADV	130	102	151	0.86	FIRM	BLDR	UNEV	unkn	UNSP	UNKN	UPST	200.00
USGS	07358501	14	2017-02-02 09:21:49	CST	Yes	BGC/BKM	USGS	18.10	4040				Fair	0.00	0.50	Clear	MEAS	1	Ouachita River at Carpenter Dam	MBOT	QADCP	VADCP	4040	335	2190	1.85	FIRM	BLDR	EVEN	unkn	UNSP	UNKN	DNST	750.00
