#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:55:34 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 01379000 Passaic River near Millington NJ
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	01379000	303	1961-02-27 13:05:00	EST	Yes	RTM	USGS	7.54	886.0	18.0	0.00	-2.00	GOOD	-0.04	1.50	CLER	MEAS	1	Unspecified	UNSP			886.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01379000	385	1968-05-29 16:10:00	EDT	Yes	EWM	USGS	7.80	1040		0.00		GOOD	0.12	0.70	SUBM	MEAS	1	Unspecified	CRAN	QUNSP		1040	85.0	299	3.49	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01379000	419	1972-11-09 11:20:00	EST	Yes	TPS	USGS	8.12	1073	22.0	0.00	-3.00	GOOD	0.02	1.00	SUBM	MEAS	1	Unspecified	CRAN	QUNSP		1073	85.0	305	3.52	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01379000	447	1976-10-07		Yes	RSC	USGS	4.59	24.2		0.00		GOOD			LGDB	MEAS	1	Unspecified	WADE	QUNSP		24.2	34.0	31.4	0.770	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01379000	448	1976-11-19		Yes	RSC	USGS	4.53	18.6		0.00		GOOD			CLER	MEAS	1	Unspecified	WADE	QUNSP		18.6	38.0	31.0	0.600	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01379000	449	1977-01-20		Yes	JBC	USGS	4.38	12.6		0.00		FAIR			CICE	MEAS	1	Unspecified	WADE	QUNSP		12.6	32.0	19.4	0.650	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01379000	450	1977-03-08		Yes	RSC	USGS	5.74	230.0		0.00		GOOD			CLER	MEAS	1	Unspecified	WADE	QUNSP		230.0	62.0	96.6	2.38	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01379000	451	1977-04-27		Yes	RSC	USGS	5.34	126.5		0.00		GOOD			HVDB	MEAS	1	Unspecified	WADE	QUNSP		126.5	48.0	72.1	1.75	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01379000	452	1977-05-25		Yes	RSC	USGS	4.47	17.5		0.00		GOOD			CLER	MEAS	1	Unspecified	WADE	QUNSP		17.5	30.0	26.0	0.670	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01379000	453	1977-07-20		Yes	DWJ	USGS	4.29	8.80		0.00		GOOD			CLER	MEAS	1	Unspecified	WADE	QUNSP		8.80	29.8	20.6	0.430	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01379000	454	1977-08-16		Yes	TVF	USGS	4.42	14.2		0.00		GOOD			LGDB	MEAS	1	Unspecified	WADE	QUNSP		14.2	36.5	28.7	4.42	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01379000	455	1977-10-05		Yes	JBC	USGS	4.72	30.7	26.0	0.00	-4.10	GOOD			HVDB	MEAS	1	Unspecified	WADE	QUNSP		30.7	49.0	43.9	0.700	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01379000	456	1977-12-07		Yes	EWM	USGS	5.54	162.0	26.0	-0.040	-1.80	GOOD			MDDB	MEAS	1	Unspecified	WADE	QUNSP		162.0	46.0	81.1	2.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01379000	457	1977-12-29		Yes	JBC	USGS	5.20	103.0	26.0	0.00	3.00	GOOD			MDDB	MEAS	1	Unspecified	WADE	QUNSP		103.0	46.0	70.4	1.46	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01379000	458	1978-02-10		Yes	JBC	USGS	5.00	73.6	26.0	0.00	0.800	GOOD			CLER	MEAS	1	Unspecified	WADE	QUNSP		73.6	44.0	55.0	1.34	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01379000	459	1978-04-03		Yes	JBC	USGS	5.46	169.0	26.0	0.00	-3.40	GOOD			CLER	MEAS	1	Unspecified	WADE	QUNSP		169.0	58.0	86.8	1.95	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01379000	460	1978-05-23		Yes	JBC	USGS	5.26	120.0	26.0	0.00	-3.20	GOOD			CLER	MEAS	1	Unspecified	WADE	QUNSP		120.0	57.0	75.2	1.60	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01379000	461	1978-07-03		Yes	JBC	USGS	4.49	16.7	26.0	0.00	-1.80	GOOD			LGDB	MEAS	1	Unspecified	WADE	QUNSP		16.7	37.5	34.0	0.490	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
