#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:55:35 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 01379500 Passaic River near Chatham NJ
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	01379500	188	1975-09-27 11:45:00	EDT	Yes	RSC	USGS	7.46	2120	11.0	0.00	3.00	GOOD	-0.03	1.20	CLER	MEAS	1	Unspecified	CRAN	QUNSP		2120	80.0	418	5.07	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01379500	195	1976-07-08		Yes	RSC	USGS	3.59	59.0		0.00		GOOD			MDDB	MEAS	1	Unspecified	WADE	QUNSP		59.0	81.0	77.6	0.760	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01379500	196	1976-09-09		Yes	BP	USGS	3.14	15.8		0.00		POOR			LGDB	MEAS	1	Unspecified	WADE	QUNSP		15.8	64.0	34.1	0.460	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01379500	197	1976-10-08		Yes	RSC	USGS	3.43	39.5		0.00		GOOD			LGDB	MEAS	1	Unspecified	WADE	QUNSP		39.5	82.0	71.5	0.550	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01379500	198	1976-12-09		Yes	RSC	USGS	4.16	180.0		0.00		GOOD			SICE	MEAS	1	Unspecified	WADE	QUNSP		180.0	87.0	165	1.09	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01379500	199	1977-01-06		Yes	JBC	USGS	3.30	30.6		0.00		FAIR			CICE	MEAS	1	Unspecified	WADE	QUNSP		30.6	54.5	48.1	0.640	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01379500	200	1977-03-08		Yes	RSC	USGS	4.75	426.0		0.00		GOOD			CLER	MEAS	1	Unspecified	WADE	QUNSP		426.0	93.0	248	1.72	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01379500	201	1977-04-27		Yes	RSC	USGS	4.20	200.0		0.00		GOOD			CLER	MEAS	1	Unspecified	WADE	QUNSP		200.0	87.0	167	1.20	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01379500	202	1977-05-25		Yes	RSC	USGS	3.40	33.5		0.00		GOOD			LGDB	MEAS	1	Unspecified	WADE	QUNSP		33.5	78.0	69.9	0.480	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01379500	203	1977-07-20		Yes	DWJ	USGS	3.34	32.5		0.00		FAIR			CLER	MEAS	1	Unspecified	WADE	QUNSP		32.5	69.0	75.1	0.430	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01379500	204	1977-08-17		Yes	TVF	USGS	3.33	29.7		0.00		GOOD			CLER	MEAS	1	Unspecified	WADE	QUNSP		29.7	77.3	67.8	0.440	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01379500	205	1977-10-25		Yes	DWJ	USGS	3.78	90.2	11.0	0.00	-1.00	GOOD			MDDB	MEAS	1	Unspecified	WADE	QUNSP		90.2	70.0	86.2	1.05	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01379500	206	1977-12-09		Yes	DWJ	USGS	4.17	188.0	11.0	0.00	-1.00	GOOD			CLER	MEAS	1	Unspecified	WADE	QUNSP		188.0	73.5	127	1.47	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01379500	207	1978-01-30		Yes	DWJ	USGS	5.41	880.0	11.0	0.00	-1.00	GOOD			CLER	MEAS	1	Unspecified	WADE	QUNSP		880.0	86.0	280	3.14	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01379500	208	1978-03-06		Yes	DWJ	USGS	3.68	75.1	11.0	0.00	2.90	GOOD			CLER	MEAS	1	Unspecified	WADE	QUNSP		75.1	64.0	59.0	1.26	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01379500	209	1978-04-25		Yes	SAT/EWM	USGS	4.04	151.0	11.0	0.00	0.00	GOOD			HVDB	MEAS	1	Unspecified	WADE	QUNSP		151.0	71.0	107	1.41	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01379500	210	1978-05-31		Yes	SAT	USGS	4.18	185.0	11.0	0.00	-4.60	GOOD			HVDB	MEAS	1	Unspecified	WADE	QUNSP		185.0	73.0	119	1.55	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01379500	211	1978-07-06		Yes	JTF	USGS	3.58	56.5	11.0	0.00	-1.00	FAIR			HVDB	MEAS	1	Unspecified	WADE	QUNSP		56.5	78.0	70.5	0.800	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01379500	212	1978-09-05		Yes	JTF/PJC	USGS	3.66	68.4	11.0	0.00	-1.00	FAIR			LGDB	MEAS	1	Unspecified	WADE	QUNSP		68.4	82.0	83.2	0.820	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01379500	213	1978-09-27		Yes	GLC	USGS	3.52	50.4	11.0	0.00	1.00	GOOD			CLER	MEAS	1	Unspecified	WADE	QUNSP		50.4	66.0	61.1	0.820	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01379500	214	1978-10-24		Yes	GLC	USGS	3.31	27.2	11.0	0.00	-2.90	FAIR			LGDB	MEAS	1	Unspecified	WADE	QUNSP		27.2	65.1	46.4	0.590	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01379500	215	1978-12-29		Yes	PJC	USGS	4.38	248.0	11.0	0.00	-6.40	FAIR			SICE	MEAS	1	Unspecified	WADE	QUNSP		248.0	86.0	198	1.25	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01379500	216	1979-02-02		Yes	PJC	USGS	4.67	229.0	11.0	0.00	-42.0	FAIR			SICE	MEAS	1	Unspecified	WADE	QUNSP		229.0	75.0	145	1.58	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01379500	217	1979-03-12		Yes	JTF/MJD	USGS	5.08	657.0	11.0	0.040	1.70	FAIR			CLER	MEAS	1	Unspecified	CWAY	QUNSP		657.0	81.0	230	2.86	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01379500	218	1979-04-25		Yes	MJD/JTF	USGS	3.76	99.4	11.0	0.040	4.60	POOR			CICE	MEAS	1	Unspecified	WADE	QUNSP		99.4	70.0	81.2	1.22	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
