#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:55:41 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 01389492 Passaic River abv Beatties Dam at Little Falls NJ
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	01389492	1	1947-11-17 12:30:00	EST	Yes	gsh	USGS	9.45	1805		0.00		EXCL	-0.01	1.80	CLER	MEAS	1	Unspecified	UNSP			1805				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01389492	2	1948-02-27 12:00:00	EST	Yes	gsh	USGS	9.07	1175		0.00		EXCL	0.01	1.40	LGDB	MEAS	1	Unspecified	UNSP			1175				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01389492	3	1948-03-10 12:25:00	EST	Yes	gsh	USGS	8.95	1010		0.00		EXCL	0.02	1.50	CLER	MEAS	1	Unspecified	UNSP			1010				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01389492	4	1948-04-05 11:55:00	EST	Yes	gsh	USGS	9.42	1859		0.00		GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	UNSP			1859				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01389492	5	1948-04-07 12:35:00	EST	Yes	gsh/dbc	USGS	9.11	1297		0.00		GOOD	0.00	1.40	CLER	MEAS	1	Unspecified	UNSP			1297				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01389492	6	1948-04-13 12:25:00	EST	Yes	gsh/dbc	USGS	8.75	759.0		0.00		FAIR	0.00	1.20	CLER	MEAS	1	Unspecified	UNSP			759.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01389492	7	1948-05-11 11:25:00	EST	Yes	gsh/dbc	USGS	8.20	253.0		0.00		GOOD	0.00	1.60	CLER	MEAS	1	Unspecified	UNSP			253.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01389492	8	1948-05-17 14:10:00	EST	Yes	gph/dbc	USGS	9.93	2851		0.00		GOOD	-0.01	1.50	CLER	MEAS	1	Unspecified	UNSP			2851				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01389492	9	1948-08-03 11:45:00	EST	Yes	gph/rna	USGS	7.73	226.0		0.00		GOOD			CLER	MEAS	1	Unspecified	BOAT	QUNSP		226.0	113	451	0.500	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01389492	10	1948-08-03 13:10:00	EST	Yes	gph/rna	USGS	7.70	225.0		0.00		FAIR			CLER	MEAS	1	Unspecified	BOAT	QUNSP		225.0	120	562	0.400	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01389492	11	1949-01-08 13:15:00	EST	Yes	gph	USGS	10.80	5290		0.00		GOOD			CLER	MEAS	1	Unspecified	UNSP			5290				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01389492	12	1950-07-11 12:20:00	EST	Yes	hpg	USGS	9.07	1154		0.00		GOOD	0.03	1.60	CLER	MEAS	1	Unspecified	UNSP			1154				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01389492	13	1950-07-12 08:10:00	EST	Yes	hpg	USGS	9.23	1456		0.00		GOOD	0.00	1.30	CLER	MEAS	1	Unspecified	UNSP			1456				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01389492	14	1951-04-15 12:50:00	EST	Yes	gsh	USGS	11.24	6476		0.00		GOOD	-0.04	1.90	CLER	MEAS	1	Unspecified	UNSP			6476				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01389492	15	1951-04-25 11:45:00	EST	Yes	gsh	USGS	8.47	531.0		0.00		GOOD	0.00	1.50	CLER	MEAS	1	Unspecified	UNSP			531.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01389492	16	1951-07-31 12:30:00	EST	Yes	gsh/ ws	USGS	8.60	615.0		0.00		GOOD	-0.01	1.40	LGDB	MEAS	1	Unspecified	UNSP			615.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01389492	17	1951-12-06 11:25:00	EST	Yes	gsh	USGS	8.70	767.0		0.00		GOOD	0.01	1.30	CLER	MEAS	1	Unspecified	UNSP			767.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01389492	18	1952-02-13 12:00:00	EST	Yes	fem	USGS	8.71	844.0		0.00		FAIR	-0.02	2.00	CLER	MEAS	1	Unspecified	UNSP			844.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01389492	19	1952-03-12 14:15:00	EST	Yes	fem	USGS	10.97	5792		0.00		FAIR	0.08	3.00	CLER	MEAS	1	Unspecified	UNSP			5792				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01389492	20	1952-03-18 10:25:00	EST	Yes	fem	USGS	9.66	2409		0.00		FAIR	-0.04	2.30	CLER	MEAS	1	Unspecified	UNSP			2409				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01389492	21	1952-04-09 15:25:00	EST	Yes	fem	USGS	9.96	3009		0.00		FAIR	-0.03	1.80	CLER	MEAS	1	Unspecified	UNSP			3009				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01389492	22	1952-06-03 11:10:00	EST	Yes	fem	USGS	12.24	10670		0.00		GOOD	0.01	2.80	CLER	MEAS	1	Unspecified	UNSP			10670				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01389492	23	1953-04-04 13:30:00	EST	Yes	fem	USGS	8.63	656.0		0.00		FAIR	0.01	1.60		MEAS	1	Unspecified	UNSP			656.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01389492	24	1955-10-18 11:00:00	EST	Yes	gsh	USGS	12.14	10540		0.00		GOOD				MEAS	1	Unspecified	UNSP			10540				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01389492	25	1990-10-03 13:26:00	EDT	Yes	TJR/RDS	USGS	8.11	149.0	 2.0	0.00	0.00	GOOD	0.00	1.00	LGDB	MEAS	1	Unspecified	WADE	QUNSP		149.0	68.0	153	0.974	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01389492	26	1991-06-10 13:45:00	EDT	Yes	TJR/DSK	USGS	8.18	172.0	 3.0	0.00	4.20	GOOD	0.00	0.78	LGDB	MEAS	1	Unspecified	WADE	QUNSP		172.0	70.0	155	1.11	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
