#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:56:03 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02294898 PEACE RIVER AT FORT MEADE FL
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02294898	1A	1931-05-18		Yes	A/W	USGS	17.89	261				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		261				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02294898	1B	1938-04-25		Yes	BPS	USGS	20.26	77.1				Fair				MEAS	1	Imported Channel 1	UNSP	other		77.1				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02294898	1C	1939-05-13		Yes	B	USGS	13.11	76.5				Unspecified				MEAS	1	Imported Channel 1	WADE	unspe	unkno	76.5	74.0	90.4	0.86	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02294898	1D	1947-04-09		Yes	H	USGS	17.78	296				Good	0.01	0.80		MEAS	1	Imported Channel 1	UNSP	other		296				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02294898	1E	1947-06-19		Yes	H	USGS	13.22	1600				Fair	0.00	1.40		MEAS	1	Imported Channel 1	UNSP	other		1600				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02294898	1F	1947-08-26		Yes	H	USGS	14.86	837				Good	-0.02	1.20		MEAS	1	Imported Channel 1	UNSP	other		837				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02294898	1G	1949-03-31		Yes	RAB	USGS		174				Fair	-0.01	1.00		MEAS	1	Imported Channel 1	WADE	unspe	unkno	174	58.0	141	1.23	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02294898	1	1967-05-31		Yes	GAC	USGS	70.86	52.4				Good	0.00	0.60		MEAS	1	Imported Channel 1	WADE	unspe	unkno	52.4	47.0	46.8	1.12	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02294898	2	1967-06-28		Yes	GAC	USGS	71.57	121				Good	-0.02	1.00		MEAS	1	Imported Channel 1	WADE	unspe	unkno	121	56.0	111	1.09	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02294898	3	1967-08-23		Yes	GAC	USGS	74.46	480				Fair	0.00	1.00		MEAS	1	Imported Channel 1	UNSP	other		480				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02294898	4	1967-10-12		Yes	GAC	USGS	72.30	195				Fair	-0.10	1.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	195	64.0	158	1.23	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02294898	5	1968-05-15		Yes	WLF	USGS	70.92	36.3				Good	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	36.3	40.0	60.4	0.60	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02294898	6	1968-06-06		Yes	DMM	USGS	75.51	551				Good	-0.02	1.00		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	551	95.0	431	1.28	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02294898	7	1968-07-23		Yes	CAL/MCK	USGS	76.34	813				Fair	0.01	1.00		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	813	175	541	1.50	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02294898	8	1969-05-28		Yes	DMM	USGS	70.72	38.3				Good	0.00	0.70		MEAS	1	Imported Channel 1	WADE	unspe	unkno	38.3	53.0	60.0	0.64	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02294898	9	1972-01-26		Yes	HCR	USGS	71.37	87.0				Good	0.02	0.70		UNSP	1	Imported Channel 1	WADE	unspe	unkno	87.0	58.0	91.3	0.95	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02294898	10	1972-03-30		Yes	MKB	USGS	71.19	65.7				Fair	0.00	1.10		MEAS	1	Imported Channel 1	WADE	unspe	unkno	65.7	68.0	77.8	0.84	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02294898	11	1972-07-18		Yes	HCR	USGS	72.16	142				Good	-0.01	0.70		MEAS	1	Imported Channel 1	WADE	unspe	unkno	142	65.0	134	1.06	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02294898	12	1972-09-11		Yes	HCR	USGS	71.48	94.3				Good	0.00	0.80		MEAS	1	Imported Channel 1	WADE	unspe	unkno	94.3	61.0	91.2	1.03	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02294898	13	1972-11-06		Yes	HCR	USGS	71.14	68.0				Good	-0.01	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	68.0	59.0	75.6	0.90	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02294898	14	1973-01-03		Yes	MKB	USGS	71.43	75.7				Unspecified	0.00	1.00		MEAS	1	Imported Channel 1	WADE	unspe	unkno	75.7	57.0	83.2	0.91	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02294898	15	1973-03-01		Yes	HCR	USGS	72.26	156				Good	-0.02	0.70		MEAS	1	Imported Channel 1	WADE	unspe	unkno	156	64.0	128	1.22	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02294898	16	1973-04-24		Yes	HCR	USGS	72.07	126				Good	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	126	63.0	120	1.05	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02294898	17	1973-06-18		Yes	PFL	USGS	71.41	52.1				Good	0.00	0.90		MEAS	1	Imported Channel 1	WADE	unspe	unkno	52.1	46.0	71.4	0.73	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02294898	18	1973-08-15		Yes	HCR/KRH	USGS	73.32	235				Good	0.01	0.90		MEAS	1	Imported Channel 1	WADE	unspe	unkno	235	69.0	211	1.11	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02294898	19	1973-10-04		Yes	PFL	USGS	74.08	316				Good	0.00	0.80		MEAS	1	Imported Channel 1	BOAT	unspe	unkno	316	67.0	299	1.06	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02294898	20	1973-11-26		Yes	HCR	USGS	71.34	78.1				Good	0.00	0.60		MEAS	1	Imported Channel 1	WADE	unspe	unkno	78.1	56.0	70.8	1.10	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02294898	21	1974-01-21		Yes	JKO	USGS	71.26	64.6				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	64.6	56.0	75.1	0.86	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02294898	22	1974-03-20		Yes	PFL	USGS	70.85	34.4				Good	0.00	0.40		MEAS	1	Imported Channel 1	WADE	unspe	unkno	34.4	46.0	37.3	0.92	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02294898	23	1974-05-21		Yes	WLF/RWW	USGS	71.03	39.1				Good	0.00	0.70		MEAS	1	Imported Channel 1	WADE	unspe	unkno	39.1	43.0	44.5	0.88	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
