#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:56:06 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02295637 PEACE RIVER AT ZOLFO SPRINGS FL
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02295637	85	1919-10-05		Yes	HLB	USGS	7.98	630				Unspecified	-0.01	1.50		UNSP	1	Imported Channel 1	UNSP	other		630				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	1	1931-05-18		Yes	ALE/WAL	USGS	7.46	315				Unspecified	0.00	0.60		UNSP	1	Imported Channel 1	UNSP	other		315				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	2	1931-05-28		Yes	VA	USGS	9.04	635				Unspecified	-0.01	1.10		UNSP	1	Imported Channel 1	UNSP	other		635				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	4	1932-06-10		Yes	VA	USGS	6.60	216				Unspecified	-0.01	0.70		UNSP	1	Imported Channel 1	UNSP	other		216				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	5	1932-07-08		Yes	VA	USGS	6.39	200				Unspecified	0.00	1.00		UNSP	1	Imported Channel 1	UNSP	other		200				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	6	1932-08-03		Yes	VA	USGS	7.45	365				Unspecified	-0.03	1.10		UNSP	1	Imported Channel 1	UNSP	other		365				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	7	1932-09-08		Yes	VA	USGS	7.38	395				Unspecified	0.00	1.00		UNSP	1	Imported Channel 1	UNSP	other		395				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	3	1932-11-11		Yes	VA	USGS	6.25	121				Unspecified	0.00	1.30		UNSP	1	Imported Channel 1	UNSP	other		121				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	9	1933-05-03		Yes	VA	USGS	5.62	79.0				Unspecified	0.00	1.00		UNSP	1	Imported Channel 1	UNSP	other		79.0				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	10	1933-06-07		Yes	RPM	USGS	5.88	122				Unspecified	-0.01	0.70		UNSP	1	Imported Channel 1	UNSP	other		122				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	11	1933-07-10		Yes	VA	USGS	13.54	2180				Unspecified	-0.05	1.10		UNSP	1	Imported Channel 1	UNSP	other		2180				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	12	1933-07-11		Yes	VA	USGS	12.80	1680				Unspecified	-0.05	1.30		UNSP	1	Imported Channel 1	UNSP	other		1680				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	19	1933-07-11		Yes	VA	USGS	21.05	11100				Unspecified	-0.09	1.80		UNSP	1	Imported Channel 1	UNSP	other		11100				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	13	1933-07-14		Yes	VA	USGS	11.50	1440				Unspecified	0.00	1.30		UNSP	1	Imported Channel 1	UNSP	other		1440				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	14	1933-07-15		Yes	VA	USGS	11.64	1480				Unspecified	0.01	1.30		UNSP	1	Imported Channel 1	UNSP	other		1480				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	15	1933-08-03		Yes	VA	USGS	9.22	527				Unspecified	0.01	1.00		UNSP	1	Imported Channel 1	UNSP	other		527				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	16	1933-08-25		Yes	RPM	USGS	11.34	786				Unspecified	-0.03	0.60		UNSP	1	Imported Channel 1	UNSP	other		786				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	17	1933-09-07		Yes	RPM	USGS	24.42	22500				Unspecified	0.05	1.30		UNSP	1	Imported Channel 1	UNSP	other		22500				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	18	1933-09-10		Yes	RPM	USGS	21.75	12400				Unspecified	-0.03	1.30		UNSP	1	Imported Channel 1	UNSP	other		12400				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	20	1933-09-12		Yes	VA	USGS	20.40	9890				Unspecified	-0.09	1.80		UNSP	1	Imported Channel 1	UNSP	other		9890				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	21	1933-09-13		Yes	VA	USGS	19.80	8250				Unspecified	-0.04	1.30		UNSP	1	Imported Channel 1	UNSP	other		8250				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	22	1933-09-14		Yes	VA	USGS	19.22	7590				Unspecified	-0.05	1.20		UNSP	1	Imported Channel 1	UNSP	other		7590				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	23	1933-09-20		Yes	RPM	USGS	15.04	3160				Unspecified	-0.02	1.00		UNSP	1	Imported Channel 1	UNSP	other		3160				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	24	1933-09-22		Yes	RPM	USGS	14.17	2530				Unspecified	-0.02	1.00		UNSP	1	Imported Channel 1	UNSP	other		2530				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	8	1933-10-05		Yes	RPM	USGS	6.40	188				Unspecified	0.00	0.80		UNSP	1	Imported Channel 1	UNSP	other		188				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	25	1933-10-10		Yes	RPM	USGS	10.34	919				Unspecified	-0.01	0.80		UNSP	1	Imported Channel 1	UNSP	other		919				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	26	1933-11-16		Yes	RPM	USGS	7.92	352				Unspecified	0.00	0.40		UNSP	1	Imported Channel 1	UNSP	other		352				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	27	1933-12-05		Yes	RPM	USGS	7.56	278				Unspecified	0.00	0.40		UNSP	1	Imported Channel 1	UNSP	other		278				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	29	1934-01-15		Yes	RPM	USGS	6.99	208				Unspecified	0.00	0.30		UNSP	1	Imported Channel 1	UNSP	other		208				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	28	1934-01-15		Yes	RPM	USGS	6.96	185				Unspecified	0.01	0.60		UNSP	1	Imported Channel 1	UNSP	other		185				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	30	1934-03-20		Yes	RPM	USGS	7.77	7.77				Unspecified	0.00	0.40		UNSP	1	Imported Channel 1	UNSP	other		7.77				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	31	1934-04-17		Yes	VA	USGS	8.70	672				Unspecified	0.11	0.90		UNSP	1	Imported Channel 1	UNSP	other		672				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	32	1934-05-03		Yes	D,B/VA	USGS	8.82	632				Unspecified	0.00	1.00		UNSP	1	Imported Channel 1	UNSP	other		632				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	33	1934-05-12		Yes	VA	USGS	8.52	566				Unspecified	-0.01	0.70		UNSP	1	Imported Channel 1	UNSP	other		566				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	34	1934-07-13		Yes	RPM	USGS	11.62	1400				Unspecified	-0.01	0.60		UNSP	1	Imported Channel 1	UNSP	other		1400				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	35	1934-08-17		Yes	RPM	USGS	12.34	1860				Unspecified	0.00	0.90		UNSP	1	Imported Channel 1	UNSP	other		1860				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	36	1934-09-13		Yes	RPM	USGS	9.67	913				Unspecified	0.00	0.50		UNSP	1	Imported Channel 1	UNSP	other		913				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	37	1934-10-19		Yes	HAT	USGS	7.92	425				Unspecified	0.00	0.80		UNSP	1	Imported Channel 1	UNSP	other		425				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	38	1934-11-15		Yes	HAT	USGS	6.70	189				Unspecified	0.00	0.80		UNSP	1	Imported Channel 1	UNSP	other		189				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	39	1934-12-14		Yes	JWK/HAT	USGS	6.34	135				Unspecified	0.02	2.00		UNSP	1	Imported Channel 1	UNSP	other		135				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	40	1935-01-21		Yes	JWK	USGS	6.24	125				Unspecified	0.00	1.50		UNSP	1	Imported Channel 1	UNSP	other		125				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	41	1935-02-14		Yes	JWK	USGS	6.10	110				Unspecified	0.00	1.30		UNSP	1	Imported Channel 1	UNSP	other		110				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	42	1935-03-16		Yes	JWK	USGS	5.95	89.3				Unspecified	0.00	1.20		UNSP	1	Imported Channel 1	UNSP	other		89.3				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	44	1935-05-18		Yes	JWK	USGS	5.75	85.3				Unspecified	0.02	1.30		UNSP	1	Imported Channel 1	UNSP	other		85.3				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	43	1935-06-02		Yes	HAT	USGS	5.83	72.8				Unspecified	0.04	0.80		UNSP	1	Imported Channel 1	UNSP	other		72.8				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	45	1935-06-18		Yes	JWK	USGS	5.69	80.5				Unspecified	0.00	1.30		UNSP	1	Imported Channel 1	UNSP	other		80.5				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	46	1935-07-16		Yes	JWK	USGS	7.93	435				Unspecified	0.00	1.00		UNSP	1	Imported Channel 1	UNSP	other		435				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	47	1935-08-09		Yes	JWK	USGS	6.76	251				Unspecified	0.00	1.00		UNSP	1	Imported Channel 1	UNSP	other		251				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	48	1935-09-08		Yes	JWK	USGS	17.56	5690				Unspecified	2.25	0.10		UNSP	1	Imported Channel 1	UNSP	other		5690				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	49	1935-10-08		Yes	JWK	USGS	9.80	842				Unspecified	1.20			UNSP	1	Imported Channel 1	UNSP	other		842				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	50	1935-11-12		Yes	JWK	USGS	6.69	289				Unspecified	0.00	1.00		UNSP	1	Imported Channel 1	UNSP	other		289				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	51	1935-12-13		Yes	ELH	USGS	7.62	487				Unspecified	0.00	0.70		UNSP	1	Imported Channel 1	UNSP	other		487				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	52	1936-01-10		Yes	ELH	USGS	9.38	909				Unspecified	-0.01	0.60		UNSP	1	Imported Channel 1	UNSP	other		909				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	53	1936-02-08		Yes	JWK	USGS	9.58	992				Unspecified	-0.01	1.00		UNSP	1	Imported Channel 1	UNSP	other		992				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	54	1936-03-06		Yes	JWK	USGS	10.62	1270				Unspecified	-0.01	1.10		UNSP	1	Imported Channel 1	UNSP	other		1270				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	55	1936-04-14		Yes	ELH	USGS	7.42	370				Unspecified	0.00	0.70		UNSP	1	Imported Channel 1	UNSP	other		370				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	56	1936-05-13		Yes	JWK	USGS	6.10	158				Unspecified	0.00	0.90		UNSP	1	Imported Channel 1	UNSP	other		158				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	57	1936-06-09		Yes	ELH	USGS	6.56	239				Unspecified	-0.01	0.70		UNSP	1	Imported Channel 1	UNSP	other		239				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	58	1936-07-07		Yes	ELH	USGS	7.62	452				Unspecified	-0.01	0.60		UNSP	1	Imported Channel 1	UNSP	other		452				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	59	1936-08-14		Yes	ELH	USGS	8.18	597				Unspecified	-0.01	0.70		UNSP	1	Imported Channel 1	UNSP	other		597				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	60	1936-09-13		Yes	HAT	USGS	11.22	1720				Unspecified	0.14	1.30		UNSP	1	Imported Channel 1	UNSP	other		1720				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	61	1936-10-10		Yes	HAT	USGS	8.57	772				Good	0.03	0.60		UNSP	1	Imported Channel 1	UNSP	other		772				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	62	1936-11-07		Yes	ELH	USGS	6.56	275				Good	0.00	1.00		UNSP	1	Imported Channel 1	UNSP	other		275				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02295637	63	1936-12-15		Yes	ELH	USGS	6.31	233				Good	-0.02	1.30		UNSP	1	Imported Channel 1	UNSP	other		233				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
