#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:56:20 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02485601 PEARL RIVER AT ROSS BARNETT RESERVOIR, MS
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02485601	1	1962-11-17		Yes	JDS	USGS	54.64	223				Good	0.01	1.30	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	223	127	373	0.60	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02485601	2	1962-11-21		Yes	HWH/JDS	USGS	54.95	179				Good	-0.05	1.10	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	179	139	379	0.47	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02485601	3	1962-11-23		Yes	JDS/ILT	USGS	54.80	245				Good	0.05	1.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	245	142	405	0.60	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02485601	4	1962-11-29		Yes	JDS/CAD	USGS	55.12	305				Good	0.01	1.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	305	143	441	0.69	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02485601	5	1962-12-11		Yes	JDS/JWH	USGS	54.79	194				Good	0.00	0.90	Clear	MEAS	1	Imported Channel 1	UNSP	other		194				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02485601	6	1962-12-21		Yes	SK	USGS	54.65	179				Good	0.01	1.00		MEAS	1	Imported Channel 1	WADE	unspe	unkno	179	140	376	0.45	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02485601	7	1962-12-31		Yes	JDS/JWH	USGS	54.73	202				Good	0.06	1.80		MEAS	1	Imported Channel 1	WADE	unspe	unkno	202	136	379	0.53	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02485601	8	1963-01-02		Yes	JWH/RFS	USGS	54.78	364				Good	0.03	1.10		MEAS	1	Imported Channel 1	WADE	unspe	unkno	364	142	469	0.78	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02485601	9	1963-04-02		Yes	JWH/RFS	USGS	58.77	1830				Good	0.07	1.30		MEAS	1	Imported Channel 1	BOAT	unspe	unkno	1830	184	1290	1.42	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02485601	10	1963-09-23		Yes	RFS/TEA	USGS	53.54	84.6				Good	0.00	1.30		MEAS	1	Imported Channel 1	WADE	unspe	unkno	84.6	110	227	0.37	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02485601	11	1963-11-04		Yes	RFS	USGS	53.63	73.0				Good	0.00	1.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	73.0	109	217	0.34	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02485601	12	1966-01-05		Yes	JWH/FCW	USGS	58.91	1610				Good	-0.08	1.20		MEAS	1	Imported Channel 1	BOAT	unspe	unkno	1610	178	1320	1.22	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
