#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:56:20 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02486000 PEARL RIVER AT JACKSON, MS
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02486000	35	1929-03-27 09:45:00	CST	Yes	WME	USGS	32.18	30300				Unspecified	0.01	6.30		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	30300	1440	19300	1.43	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02486000	64	1932-12-17 13:30:00	CST	Yes	PRI/LIT	USGS	34.41	54500				Unspecified				MEAS	1	Imported Channel 1	CRAN	unspe	unkno	54500			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02486000	65	1932-12-20 09:00:00	CST	Yes	CHP	USGS	34.36	44800				Unspecified	-0.14	6.30		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	44800			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02486000	66	1933-01-03 12:30:00	CST	Yes	CHP/TLM	USGS	31.00	27500				Unspecified	-0.01	3.00		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	27500	1220	16800	1.64	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02486000	90	1935-03-11 10:15:00	CST	Yes	DDL	USGS	33.87	44000				Unspecified	0.34	4.50		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	44000			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02486000	91	1935-03-12 14:45:00	CST	Yes	DDL	USGS	35.16	56200				Unspecified	0.03	3.80		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	56200			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02486000	92	1935-03-14 08:30:00	CST	Yes	DDL	USGS	34.63	42500				Unspecified	-0.09	4.80		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	42500			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02486000	93	1935-03-17 12:30:00	CST	Yes	DDL	USGS	32.36	33600				Unspecified	-0.08	2.50		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	33600			0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	02486000	119	1936-02-11 09:35:00	CST	Yes	SCM	USGS	32.24	34700				Good	0.11	7.50		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	34700	1280	18300	1.90	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
