#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:56:37 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 08379500 PECOS RIVER NEAR ANTON CHICO, NM
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	08379500	891	1969-01-24		Yes	DEW/TRI	USGS	3.16	11.8	16.0	-999		FAIR	0.02	0.33		MEAS	1	Unspecified	UNSP			11.8				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08379500	892	1969-02-17		Yes	DEW	USGS	3.14	23.9	16.0	-0.250	0.00	GOOD	0.00	0.40		MEAS	1	Unspecified	UNSP			23.9				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08379500	893	1969-03-06		Yes	DEW	USGS	3.22	37.3	16.0	-0.200	2.50	GOOD	0.04	0.40		MEAS	1	Unspecified	UNSP			37.3				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08379500	894	1969-03-26		Yes	DEW	USGS	3.20	29.2	16.0	-0.240	-3.90	GOOD	0.00	0.40		MEAS	1	Unspecified	UNSP			29.2				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08379500	895	1969-04-17		Yes	DEW	USGS	4.11	241.0	16.0	0.030	0.800	GOOD	0.00	0.50		MEAS	1	Unspecified	UNSP			241.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08379500	896	1969-05-08		Yes	DEW	USGS	4.43	356.0	16.0	0.060	0.300	UNSP	0.00	0.50		MEAS	1	Unspecified	UNSP			356.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08379500	897	1969-05-28		Yes	DEW	USGS	4.49	393.0	16.0	0.090	0.00	GOOD	0.01	0.50		MEAS	1	Unspecified	UNSP			393.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08379500	898	1969-06-11		Yes	DEW	USGS	4.16	262.0	16.0	0.060	0.00	GOOD	0.00	0.33		MEAS	1	Unspecified	UNSP			262.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08379500	899	1969-07-01		Yes	DEW	USGS	2.85	12.9	16.0	-0.110	-2.30	GOOD	-0.01	0.40		MEAS	1	Unspecified	UNSP			12.9				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08379500	900	1969-07-17		Yes	DEW	USGS	3.58	107.0	16.0	-0.050	1.90	GOOD	-0.02	0.40		MEAS	1	Unspecified	UNSP			107.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08379500	901	1969-08-06		Yes	PER/STE	USGS	4.03	196.0	16.0	-0.050	-0.500	FAIR	0.00	0.50		MEAS	1	Unspecified	UNSP			196.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08379500	902	1969-08-12		Yes	DEW	USGS	3.24	53.1	16.0	-0.070	-0.600	GOOD	-0.01	0.40		MEAS	1	Unspecified	UNSP			53.1				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08379500	903	1969-09-09		Yes	DEW	USGS	5.12	527.0	16.0	-0.250	-0.600	GOOD	-0.02	0.50		MEAS	1	Unspecified	UNSP			527.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08379500	904	1969-09-26		Yes	DEW	USGS	3.66	121.0	16.0	-0.040	0.00	GOOD	0.00	0.50		MEAS	1	Unspecified	UNSP			121.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08379500	905	1969-10-10		Yes	ROG	USGS	2.84	17.1	16.0	-0.040	1.80	FAIR	0.00	0.33		MEAS	1	Unspecified	UNSP			17.1				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08379500	906	1969-10-15		Yes	DEW	USGS	2.85	18.9	16.0	-0.030	2.70	GOOD	0.00	0.40		MEAS	1	Unspecified	UNSP			18.9				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08379500	907	1969-11-05		Yes	DEW	USGS	3.40	90.9	16.0	0.040	0.600	GOOD	0.00	0.40		MEAS	1	Unspecified	UNSP			90.9				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08379500	908	1969-11-26		Yes	DEW	USGS	3.16	49.7	16.0	-0.020	-0.200	GOOD	0.00	0.33		MEAS	1	Unspecified	UNSP			49.7				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08379500	909	1969-12-15		Yes	DEW	USGS	3.16	49.5	16.0	-0.020	-0.600	GOOD	0.00	0.33		MEAS	1	Unspecified	UNSP			49.5				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08379500	910	1970-01-14		Yes	DEW	USGS	3.37	84.4	16.0	0.030	0.500	UNSP	-0.09	0.40		MEAS	1	Unspecified	UNSP			84.4				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08379500	911	1970-02-11		Yes	DEW	USGS	2.92	23.6	16.0	-0.030	-1.30	GOOD	0.00	0.33		MEAS	1	Unspecified	UNSP			23.6				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08379500	912	1970-03-13		Yes	DEW	USGS	3.01	31.2	16.0	-0.040	-0.600	UNSP	0.00	0.40		MEAS	1	Unspecified	UNSP			31.2				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08379500	913	1970-04-09		Yes	DEW/PER	USGS	2.84	16.6	16.0	-0.040	-1.20	UNSP	0.00	0.33		MEAS	1	Unspecified	UNSP			16.6				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08379500	914	1970-04-28		Yes	DEW	USGS	2.88	22.1	16.0	-0.020	2.80	GOOD	-0.01	0.50		MEAS	1	Unspecified	UNSP			22.1				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08379500	915	1970-05-19		Yes	DEW	USGS	3.90	2.51	16.0	0.160	3.70	UNSP	0.00	0.40		MEAS	1	Unspecified	UNSP			2.51				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08379500	916	1970-05-24		Yes	DEW/CRA	USGS	3.88	202.0	16.0	0.140	-2.40	UNSP	0.00	0.40		MEAS	1	Unspecified	UNSP			202.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08379500	917	1970-06-03		Yes	DEW	USGS	3.48	93.3	16.0	-0.020	-0.300	GOOD	0.00	0.50		MEAS	1	Unspecified	UNSP			93.3				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08379500	918	1970-06-23		Yes	DEW	USGS	2.88	21.4	16.0	-0.020	-0.500	GOOD	0.00	0.33		MEAS	1	Unspecified	UNSP			21.4				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08379500	919	1970-07-22		Yes	DEW	USGS	3.73	106.0	16.0	-0.200	1.00	GOOD	-0.02	0.40		MEAS	1	Unspecified	UNSP			106.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08379500	920	1970-07-29		Yes	DEW	USGS	5.02	470.0	16.0	-0.270	0.00	GOOD	-0.02	0.50		MEAS	1	Unspecified	UNSP			470.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08379500	921	1970-08-11		Yes	DEW	USGS	3.89	144.0	16.0	-0.150	0.00	GOOD	0.00	0.40		MEAS	1	Unspecified	UNSP			144.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
