#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:56:40 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 08382830 PECOS RIVER BELOW SANTA ROSA DAM, NM
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	08382830	1	1980-02-07		Yes	ROG	USGS	1.34	12.1		-32.0	-0.200	GOOD	0.00	0.33		MEAS	1	Unspecified	UNSP			12.1				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	2	1980-03-06		Yes	SIM	USGS	0.64	11.8		36.0	0.100	FAIR	0.00	0.40		MEAS	1	Unspecified	UNSP			11.8				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	3	1980-03-26		Yes	KUC	USGS	0.74	0.781		6.00	1.40	GOOD	0.00	0.50		MEAS	1	Unspecified	UNSP			0.781				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	4	1980-04-08		Yes	ROG	USGS	1.02	12.6		0.020	-0.800	FAIR	0.03	0.40		MEAS	1	Unspecified	UNSP			12.6				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	5	1980-05-07		Yes	SIM	USGS	0.86	7.20		-7.00	-4.80	GOOD	0.00	0.50		MEAS	1	Unspecified	UNSP			7.20				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	6	1980-05-29		Yes	SIM	USGS	0.81	8.50		2.00	3.20	GOOD	0.00	0.50		MEAS	1	Unspecified	UNSP			8.50				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	8	1980-06-26		Yes	ROG	USGS	3.01	1090		-999		FAIR	-0.09	0.66		MEAS	1	Unspecified	UNSP			1090				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	11	1980-06-26		Yes	ROG	USGS	-0.59	14.1		-999		FAIR	-0.05	0.40		MEAS	1	Unspecified	UNSP			14.1				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	9	1980-06-26		Yes	ROG	USGS	1.64	572.0		-999		GOOD	-0.01	0.50		MEAS	1	Unspecified	UNSP			572.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	7	1980-06-26		Yes	ROG	USGS	4.40	2090		-999		FAIR	-0.18	0.56		MEAS	1	Unspecified	UNSP			2090				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	10	1980-06-26		Yes	ROG	USGS	0.86	293.0		-999		GOOD	-0.01	0.40		MEAS	1	Unspecified	UNSP			293.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	12	1980-07-18		Yes	SIM	USGS	0.38	184.0		-999		GOOD	0.00	0.66		MEAS	1	Unspecified	UNSP			184.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	13	1980-08-13		Yes	ROG	USGS		21.0		-999		FAIR	0.00	0.40		MEAS	1	Unspecified	UNSP			21.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	14	1980-09-11		Yes	KUC	USGS		0.020		-999		UNSP				MEAS	1	Unspecified	UNSP			0.020				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	15	1980-10-16		Yes	ROG	USGS		13.3		-999		FAIR				MEAS	1	Unspecified	UNSP			13.3				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	16	1980-10-31		Yes	ROG	USGS	0.54	14.9	 2.0	0.00	4.20	GOOD	0.00	0.40		MEAS	1	Unspecified	UNSP			14.9				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	17	1980-11-14		Yes	ROG	USGS	0.58	14.4	 2.0	-0.030	-4.00	UNSP	0.00	0.33		MEAS	1	Unspecified	UNSP			14.4				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	18	1980-12-10		Yes	CLA/ROG	USGS	0.48	10.9	 2.0	0.00	-0.900	FAIR	0.00	0.40		MEAS	1	Unspecified	UNSP			10.9				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	19	1981-01-09		Yes	CLA/ROG	USGS	0.42	8.07	 2.0	0.00	-1.80	FAIR	0.00	0.40		MEAS	1	Unspecified	UNSP			8.07				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	20	1981-02-06		Yes	CLA	USGS	0.41	8.81	 2.0	0.020	1.50	FAIR	0.00	0.75		MEAS	1	Unspecified	UNSP			8.81				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	21	1981-03-11		Yes	ROG	USGS	0.38	6.08	 2.0	-0.010	0.00	FAIR	0.00	0.40		MEAS	1	Unspecified	UNSP			6.08				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	22	1981-04-09		Yes	CLA	USGS	0.36	4.82	 2.0	-0.030	0.200	FAIR	0.00	0.56		MEAS	1	Unspecified	UNSP			4.82				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	23	1981-05-13		Yes	CLA	USGS	0.34	5.01	 2.0	0.00	-1.60	FAIR	0.00	1.00		MEAS	1	Unspecified	UNSP			5.01				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	25	1981-05-28		Yes	ROG	USGS	2.56	455.0	 2.0	-0.050	-2.40	GOOD	-0.03	0.66		MEAS	1	Unspecified	UNSP			455.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	24	1981-05-28		Yes	ROG	USGS	1.81	210.0	 2.0	-0.090	2.90	GOOD	0.00	0.66		MEAS	1	Unspecified	UNSP			210.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	26	1981-05-29		Yes	ROG	USGS	-0.06	0.300	 2.0	0.00	0.00	FAIR	0.00	0.16		MEAS	1	Unspecified	UNSP			0.300				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	29	1981-05-31		Yes	ROG/CLA	USGS	0.92	70.5	 2.0	0.170	-0.100	FAIR	-0.57	0.25		MEAS	1	Unspecified	UNSP			70.5				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	27	1981-05-31		Yes	ROG/CLA	USGS	2.50	467.0	 2.0	0.00	1.10	GOOD	-0.06	0.56		MEAS	1	Unspecified	UNSP			467.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	31	1981-05-31		Yes	ROG/CLA	USGS	0.49	19.7	 2.0	0.140	-3.00	FAIR	0.00	0.33		MEAS	1	Unspecified	UNSP			19.7				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	28	1981-05-31		Yes	ROG/CLA	USGS	2.24	371.0	 2.0	0.00	0.800	GOOD	-0.12	0.40		MEAS	1	Unspecified	UNSP			371.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	30	1981-05-31		Yes	ROG/CLA	USGS	0.52	24.5	 2.0	0.150	4.70	FAIR	-0.01	0.33		MEAS	1	Unspecified	UNSP			24.5				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	32	1981-06-23		Yes	ROG	USGS	0.63	5.61	 2.0	-0.270	-1.90	FAIR	0.00	0.40		MEAS	1	Unspecified	UNSP			5.61				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	33	1981-06-29		Yes	ROG	USGS	0.36	6.79	 2.0	0.030	-1.20	GOOD	0.00	0.40		MEAS	1	Unspecified	UNSP			6.79				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	34	1981-07-23		Yes	CLA	USGS	0.30	7.08	 2.0	0.090	3.10	FAIR	0.00	1.00		MEAS	1	Unspecified	UNSP			7.08				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	35	1981-08-18		Yes	ROG	USGS	-0.08	0.800	 2.0	0.120	-3.60	FAIR	0.00	0.40		MEAS	1	Unspecified	UNSP			0.800				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	36	1981-09-17		Yes	CLA	USGS	0.12	2.45	 2.0	0.080	0.00	POOR	0.00	0.10		MEAS	1	Unspecified	UNSP			2.45				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	37	1981-10-13		Yes	ROG	USGS	0.09	2.02	 2.0	0.080	-1.50	FAIR	0.00	0.33		MEAS	1	Unspecified	UNSP			2.02				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	38	1981-11-19		Yes	CLA	USGS	0.22	4.08	 2.0	0.080	-1.00	FAIR	-1.00	0.50		MEAS	1	Unspecified	UNSP			4.08				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	39	1981-12-28		Yes	ROG	USGS	0.30	1.44	 2.0	-0.180	-3.40	UNSP	0.00	0.33		MEAS	1	Unspecified	UNSP			1.44				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	40	1982-02-10		Yes	CLA	USGS	0.26	1.14	 2.0	-0.180	0.900	FAIR	0.00	0.50		MEAS	1	Unspecified	UNSP			1.14				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	41	1982-03-26		Yes	ROG	USGS	2.06	1.03	 3.0	12.0	-2.80	GOOD	0.00	0.25		MEAS	1	Unspecified	UNSP			1.03				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	42	1982-05-11		Yes	CLA	USGS	2.24	0.860	 3.0	-8.00	-3.00	FAIR	0.00	0.50		MEAS	1	Unspecified	UNSP			0.860				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	43	1982-06-16		Yes	ROG	USGS	2.28	1.24	 3.0	-8.00	0.800	FAIR	0.00	0.33		MEAS	1	Unspecified	UNSP			1.24				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	46	1982-06-24		Yes	MCC	USGS	6.78	1620	 3.0	0.00	-0.100	GOOD	0.03	1.25		MEAS	1	Unspecified	UNSP			1620				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	44	1982-06-24		Yes	MCC	USGS	4.64	588.0	 3.0	0.00	4.10	UNSP	0.00	0.75		MEAS	1	Unspecified	UNSP			588.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	47	1982-06-24		Yes	MCC	USGS	6.24	1330	 3.0	0.00	-0.900	GOOD	0.00	1.16		MEAS	1	Unspecified	UNSP			1330				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	45	1982-06-24		Yes	MCC	USGS	5.89	1190	 3.0	0.00	2.60	UNSP	0.00	1.16		MEAS	1	Unspecified	UNSP			1190				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	48	1982-06-25		Yes	MCC	USGS	6.02	1200	 3.0	0.00	-2.40	GOOD	0.00	1.16		MEAS	1	Unspecified	UNSP			1200				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08382830	50	1982-07-12		Yes	NAG	USGS	5.32	838.0	 3.0	0.00	-3.60	FAIR	0.00	1.20		MEAS	1	Unspecified	UNSP			838.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
