#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:56:41 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 08383000 PECOS RIVER AT SANTA ROSA, NM
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	08383000	276	1968-10-08		Yes	DEW	USGS	0.88	22.2	 2.0	-0.060	-0.400	GOOD	0.00	0.33		MEAS	1	Unspecified	UNSP			22.2				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08383000	277	1968-10-28		Yes	DEW	USGS	0.83	20.0	 2.0	-0.020	-2.90	GOOD	0.00	0.33		MEAS	1	Unspecified	UNSP			20.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08383000	278	1968-11-19		Yes	DEW	USGS	0.81	22.0	 2.0	0.010	-1.30	GOOD	0.00	0.33		MEAS	1	Unspecified	UNSP			22.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08383000	279	1968-11-26		Yes	DEW	USGS	0.80	22.0	 2.0	0.020	-1.30	GOOD	0.00	0.50		MEAS	1	Unspecified	UNSP			22.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08383000	280	1968-12-11		Yes	DEW	USGS	0.80	21.1	 2.0	0.010	2.40	GOOD	0.00	0.40		MEAS	1	Unspecified	UNSP			21.1				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08383000	281	1968-12-26		Yes	DEW	USGS	0.81	20.9	 2.0	0.00	1.50	GOOD	0.00	0.40		MEAS	1	Unspecified	UNSP			20.9				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08383000	282	1969-01-02		Yes	DEW	USGS	0.82	22.8	 2.0	0.00	2.20	GOOD	0.00	0.33		MEAS	1	Unspecified	UNSP			22.8				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08383000	283	1969-01-23		Yes	DEW/TRI	USGS	0.78	17.0	 2.0	0.010	-3.40	GOOD	0.00	0.33		MEAS	1	Unspecified	UNSP			17.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08383000	284	1969-01-27		Yes	DEW	USGS	0.77	17.7	 2.0	0.020	0.600	GOOD	0.00	0.40		MEAS	1	Unspecified	UNSP			17.7				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
