#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:56:44 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 08383500 PECOS RIVER NEAR PUERTO DE LUNA, NM
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	08383500	31	1938-09-14		Yes	Bratschi	USGS	1.18	300				UNSP			UNSP	MEAS	1		UNSP	QSCMM		300	127	149	2.01	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08383500	33	1939-01-03		Yes	Irby	USGS	0.72	85.3				FAIR			UNSP	MEAS	1		UNSP	QSCMM		85.3	99.0	56.6	1.51	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08383500	34	1939-08-15		Yes	Irby	USGS	0.83	122				FAIR			UNSP	MEAS	1		UNSP	QSCMM		122	74.0	63.5	1.92	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08383500	35	1939-09-19		Yes	Irby	USGS	1.19	283				POOR			UNSP	MEAS	1		UNSP	QSCMM		283	116	126	2.25	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08383500	36	1939-09-29		Yes	Reiland	USGS	0.77	93.4				FAIR			UNSP	MEAS	1		UNSP	QSCMM		93.4	74.0	53.0	1.76	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08383500	37	1939-10-02		Yes	Irby	USGS	0.76	91.8				GOOD			UNSP	MEAS	1		UNSP	QSCMM		91.8	79.0	54.2	1.69	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08383500	38	1939-10-09		Yes	Reiland	USGS	0.71	87.6				FAIR			UNSP	MEAS	1		UNSP	QSCMM		87.6	76.0	51.0	1.72	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08383500	39	1939-10-16		Yes	Reiland	USGS	0.69	82.3				FAIR			UNSP	MEAS	1		UNSP	QSCMM		82.3	60.0	46.6	1.77	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08383500	40	1939-10-23		Yes	Reiland	USGS	0.69	80.5				GOOD			UNSP	MEAS	1		UNSP	QSCMM		80.5	64.0	52.6	1.53	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08383500	41	1939-10-30		Yes	Reiland	USGS	0.72	81.7				FAIR			UNSP	MEAS	1		UNSP	QSCMM		81.7	64.0	51.0	1.60	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08383500	42	1939-11-06		Yes	Reiland	USGS	0.70	84.7				GOOD			UNSP	MEAS	1		UNSP	QSCMM		84.7	58.0	51.1	1.66	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
