#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:56:46 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 08385500 PECOS RIVER NEAR FORT SUMNER, NM
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	08385500	74a	1908-11-05		Yes	RLC	USGS	2.25	102				UNSP			UNSP	MEAS	1		UNSP	QSCMM		102	122	77.0	1.32	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08385500	75a	1909-01-29		Yes	Stewart	USGS	2.29	91.0				UNSP			UNSP	MEAS	1		UNSP	QSCMM		91.0	92.5	58.0	1.57	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08385500	76a	1909-04-14		Yes	Stewart	USGS	2.25	70.4				UNSP			UNSP	MEAS	1		UNSP	QSCMM		70.4		38.0	1.84	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08385500	77a	1909-06-01		Yes	Stewart	USGS	2.52	126				UNSP			UNSP	MEAS	1		UNSP	QSCMM		126		59.0	2.14	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08385500	78a	1909-06-30		Yes	Stewart	USGS	2.33	66.0				UNSP			UNSP	MEAS	1		UNSP	QSCMM		66.0		55.0	1.20	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08385500	79a	1909-07-20		Yes	Sutton	USGS	2.05	89.0				UNSP			UNSP	MEAS	1		UNSP	QSCMM		89.0		60.0	1.48	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08385500	72a	1909-07-20		Yes	Sutton	USGS	2.05	85.0				GOOD			UNSP	MEAS	1		UNSP	QSCMM		85.0	83.0	57.5	1.47	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08385500	73a	1909-08-25		Yes	Sutton	USGS	1.46	389				FAIR			UNSP	MEAS	1		UNSP	QSCMM		389	220	177	2.20	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08385500	80a	1909-08-25		Yes	Sutton	USGS	2.45	389				UNSP			UNSP	MEAS	1		UNSP	QSCMM		389		177	2.20	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08385500	81a	1909-09-05		Yes	Stewart	USGS	2.70	400				UNSP			UNSP	MEAS	1		UNSP	QSCMM		400		161	2.48	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08385500	82a	1909-10-20		Yes	Freeman	USGS	2.46	95.2				UNSP			UNSP	MEAS	1		UNSP	QSCMM		95.2		63.0	1.51	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08385500	83a	1909-12-07		Yes	Russell	USGS	2.76	49.6				UNSP			UNSP	MEAS	1		UNSP	QSCMM		49.6		64.0	0.78	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08385500	84a	1910-02-04		Yes	Stewart	USGS	2.75	130				UNSP			UNSP	MEAS	1		UNSP	QSCMM		130		51.0	2.55	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08385500	85a	1910-03-16		Yes	Russell	USGS	2.60	83.3				UNSP			UNSP	MEAS	1		UNSP	QSCMM		83.3		73.7	1.13	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08385500	84A	1912-09-16		Yes	Emerson	USGS	2.71	114				UNSP				MEAS	1		UNSP	QSCMM		114	61.0	65.6	1.74	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08385500	85A	1912-09-24		Yes	Emerson	USGS	2.75	72.8				UNSP				MEAS	1		UNSP	QSCMM		72.8	53.5	44.2	1.65	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
