#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:56:50 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 08385643 PECOS RIVER BELOW SIXMILE DRAW NEAR ROSWELL, NM
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	08385643	1	2001-09-27 09:00:00	MDT	Yes	DMC	USGS	4.18	23.1	 1.0	0.00	0.00	FAIR	0.00	0.48	CLER	MEAS	1	Unspecified	WADE	QUNSP		23.1	75.0	26.8	0.860	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08385643	2	2001-10-04 10:56:00	MDT	Yes	DMC	USGS	4.19	30.9	 2.0	0.030	-0.300	FAIR	0.00	0.48	CLER	MEAS	1	Unspecified	WADE	QUNSP		30.9	78.0	31.6	0.980	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08385643	3	2001-11-15 10:30:00	MST	Yes	DMC	USGS	4.16	25.7	 2.0	0.00	2.80	FAIR	0.00	0.50	LGDB	MEAS	1	Unspecified	WADE	QUNSP		25.7	81.0	32.5	0.790	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08385643	4	2001-12-12 07:59:00	MST	Yes	DMC	USGS	4.35	46.3	 3.0	-0.140	0.700	FAIR	0.00	0.53	CLER	MEAS	1	Unspecified	WADE	QUNSP		46.3	81.0	42.2	1.10	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08385643	5	2002-01-09 14:18:00	MST	Yes	DMC	USGS	4.35	68.7	 3.0	0.00	1.00	FAIR	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		68.7	81.0	48.1	1.43	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08385643	6	2002-02-07 12:14:00	MST	Yes	DMC	USGS	4.35	38.6	 3.0	-0.190	-1.00	FAIR	0.00	0.48	CLER	MEAS	1	Unspecified	WADE	QUNSP		38.6	81.0	43.0	0.900	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08385643	7	2002-03-07 11:08:00	MST	Yes	DMC/LCM	USGS	5.72	840.0	 3.0	0.00	-1.20	GOOD	0.00	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		840.0	127	215	3.90	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08385643	8	2002-03-07 12:49:00	MST	Yes	DMC/LCM	USGS	5.67	879.0	 3.0	0.080	-0.700	GOOD	0.00	0.55	CLER	MEAS	1	Unspecified	WADE	QUNSP		879.0	154	266	3.30	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08385643	9	2002-03-11 12:30:00	MST	Yes	WTE/DEC	USGS	5.95	1140	 3.0	0.00	0.00	FAIR			CLER	MEAS	1	Unspecified	WADE	QUNSP		1140	200	325	3.52	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
