#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:56:51 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 08385648 PECOS RIVER ABOVE ACME, NM
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	08385648	1	1992-08-17 12:40:00	MDT	Yes	MCC	USGS	2.50	150.0	 1.0	-0.060	1.40	GOOD	0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		150.0	136	106	1.42	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08385648	2	1992-09-01 11:50:00	MDT	Yes	MCC	USGS	2.73	225.0	 1.0	-0.120	-0.900	GOOD	0.09	0.66	CLER	MEAS	1	Unspecified	WADE	QUNSP		225.0	151	128	1.76	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08385648	3	1992-09-28 11:30:00	MDT	Yes	MCC	USGS	3.31	885.0	 1.0	0.00	-1.90	GOOD	-0.04	0.75	CLER	MEAS	1	Unspecified	WADE	QUNSP		885.0	143	234	3.78	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08385648	4	1992-10-08 11:35:00	MDT	Yes	TOD	USGS	2.31	123.0	 1.0	0.060	0.800	GOOD	-0.01	0.42	CLER	MEAS	1	Unspecified	WADE	QUNSP		123.0	67.0	79.7	1.54	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08385648	5	1992-11-16 10:00:00	MST	Yes	M&P	USGS	1.91	32.4	 1.0	0.060	-0.900	GOOD	0.00	0.42	CLER	MEAS	1	Unspecified	WADE	QUNSP		32.4	56.5	35.5	0.910	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08385648	6	1992-12-16 11:25:00	MST	Yes	BEN	USGS	1.83	21.7	 1.0	0.040	0.500	GOOD	0.00	0.83	CLER	MEAS	1	Unspecified	WADE	QUNSP		21.7	56.5	31.6	0.687	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08385648	7	1993-01-26 08:55:00	MST	Yes	TOD	USGS	1.76	14.7	 1.0	0.030	-1.30	GOOD	0.00	0.42	CLER	MEAS	1	Unspecified	WADE	QUNSP		14.7	30.8	17.1	0.860	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08385648	8	1993-02-19 09:25:00	MST	Yes	GT	USGS	1.76	14.8	 1.0	0.030	-0.700	GOOD	0.00	0.42	CLER	MEAS	1	Unspecified	WADE	QUNSP		14.8	30.9	15.7	0.943	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08385648	9	1993-03-08 12:15:00	MST	Yes	BP	USGS	1.86	25.7	 1.0	0.040	4.50	GOOD	0.00	0.67	CLER	MEAS	1	Unspecified	WADE	QUNSP		25.7	66.4	29.2	0.880	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08385648	10	1993-04-13 09:20:00	MDT	Yes	G.T	USGS	3.26	878.0	 1.0	0.060	-4.20	GOOD	0.02	0.58	CLER	MEAS	1	Unspecified	WADE	QUNSP		878.0	113	229	3.83	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08385648	11	1993-05-11 10:30:00	MDT	Yes	BP	USGS	2.43	130.0	 1.0	-0.040	0.800	GOOD	0.00	0.62	CLER	UNSP	1	Unspecified	WADE	QUNSP		130.0	86.9	85.3	1.52	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08385648	12	1993-06-08 09:35:00	MDT	Yes	GT	USGS	2.81	225.0	 1.0	-0.200	-0.900	GOOD	0.00	0.42	CLER	MEAS	1	Unspecified	WADE	QUNSP		225.0	109	141	1.60	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08385648	13	1993-07-06 13:55:00	MDT	Yes	T&G	USGS	2.66	170.0	 1.0	-0.170	0.600	GOOD	0.00	0.66	CLER	MEAS	1	Unspecified	WADE	QUNSP		170.0	55.0	82.0	2.07	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08385648	14	1993-08-03 12:55:00	MDT	Yes	GT	USGS	2.23	112.0	 1.0	0.110	0.00	GOOD	-0.01	0.42	CLER	MEAS	1	Unspecified	WADE	QUNSP		112.0	80.0	66.6	1.68	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
