#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:56:53 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 08386000 PECOS RIVER NEAR ACME, NM
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	08386000	1A	1917-12-04		Yes	Unknown	USGS		79.0				UNSP			UNSP	MEAS	1		UNSP	QSCMM		79.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08386000	2A	1918-02-25		Yes	Yates	USGS		71.0				UNSP			UNSP	MEAS	1		UNSP	QSCMM		71.0	74.0	59.0	1.22	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08386000	3A	1918-03-14		Yes	Yates	USGS		3.63				UNSP			UNSP	MEAS	1		UNSP	QSCMM		3.63	8.30	5.60		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08386000	4A	1918-03-27		Yes	Yates	USGS		4.43				UNSP			UNSP	MEAS	1		UNSP	QSCMM		4.43	18.0	10.1		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08386000	5A	1918-04-11		Yes	Yates	USGS		4.78				UNSP			UNSP	MEAS	1		UNSP	QSCMM		4.78	19.0	11.1		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08386000	6A	1918-04-14		Yes	Yates	USGS		14.6				UNSP			UNSP	MEAS	1		UNSP	QSCMM		14.6	21.8	14.9	8.30	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08386000	7A	1918-04-16		Yes	Yates	USGS		42.5				UNSP			UNSP	MEAS	1		UNSP	QSCMM		42.5	54.0	38.4	14.99	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08386000	8A	1918-04-19		Yes	Yates	USGS		31.9				UNSP			UNSP	MEAS	1		UNSP	QSCMM		31.9	32.0	32.6	10.58	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08386000	9A	1918-04-30		Yes	Yates	USGS		13.2				UNSP			UNSP	MEAS	1		UNSP	QSCMM		13.2	26.0	20.6	5.20	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08386000	10A	1918-05-15		Yes	Yates	USGS		185				UNSP			UNSP	MEAS	1		UNSP	QSCMM		185	178	147		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08386000	11A	1918-05-19		Yes	Yates	USGS		51.0				UNSP			UNSP	MEAS	1		UNSP	QSCMM		51.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08386000	12B	1918-05-28		Yes	Yates	USGS		158				UNSP			UNSP	MEAS	1		UNSP	QSCMM		158	178	126		UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08386000	13A	1918-05-29		Yes	Yates	USGS		78.0				UNSP			UNSP	MEAS	1		UNSP	QSCMM		78.0	136	86.7	11.55	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08386000	14A	1918-06-01		Yes	Yates	USGS		126				UNSP			UNSP	MEAS	1		UNSP	QSCMM		126	178	120	14.62	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08386000	15A	1918-06-07		Yes	Yates	USGS		700				UNSP			UNSP	MEAS	1		UNSP	QSCMM		700				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08386000	16A	1918-06-21		Yes	Yates	USGS		128				UNSP			UNSP	MEAS	1		UNSP	QSCMM		128	115	117	14.49	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08386000	17A	1918-06-23		Yes	Yates	USGS		74.0				UNSP			UNSP	MEAS	1		UNSP	QSCMM		74.0	98.0	92.3	11.93	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08386000	18A	1918-06-27		Yes	Yates	USGS		4.22				UNSP			UNSP	MEAS	1		UNSP	QSCMM		4.22	9.00	9.70	1.91	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08386000	19A	1918-09-18		Yes	Yates	USGS		6.61				UNSP			UNSP	MEAS	1		UNSP	QSCMM		6.61	9.50	6.10	3.95	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08386000	20A	1918-11-21		Yes	Yates	USGS		74.5				UNSP			UNSP	MEAS	1		UNSP	QSCMM		74.5	85.0	63.2	16.20	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08386000	1a	1937-05-28		Yes	Dallas	USGS	12.70	53300				UNSP			UNSP	MEAS	1		UNSP	QSCMM		53300		15000	3.55	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
