#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:56:55 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 08394033 PECOS R S BOUNDARY (BLM WETLANDS) NR DEXTER, NM
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	08394033	1	2003-10-24 09:00:00	MDT	Yes	WTE/BH	USGS	4.55	57.6	 1.0	0.060	-0.400	GOOD	0.00	0.45	CLER	MEAS	1	Unspecified	WADE	QUNSP		57.6	49.0	47.2	1.22	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08394033	2	2003-11-20 15:00:00	MST	Yes	BH	USGS	4.38	37.8	 1.0	-0.020	0.400	FAIR	0.00	0.33	CLER	MEAS	1	Unspecified	WADE	QUNSP		37.8	41.0	35.8	1.06	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08394033	3	2003-12-03 11:50:00	MST	Yes	BH	USGS	4.56	50.0	 1.0	-0.040	0.300	FAIR	0.00	0.33	CLER	MEAS	1	Unspecified	WADE	QUNSP		50.0	44.0	41.0	1.22	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08394033	4	2004-01-07 16:20:00	MST	Yes	BH	USGS	4.75	65.8	 1.0	-0.060	0.200	FAIR	0.00	0.33	CLER	MEAS	1	Unspecified	WADE	QUNSP		65.8	50.0	56.5	1.16	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08394033	5	2004-02-03 15:55:00	MST	Yes	BH	USGS	4.73	65.5	 1.0	-0.040	-0.300	GOOD	0.00	0.50	LGDB	MEAS	1	Unspecified	WADE	QUNSP		65.5	55.0	60.9	1.08	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08394033	6	2004-03-13 09:00:00	MST	Yes	WTE/BH	USGS	5.83	342.0	 1.0	0.010	0.600	GOOD	0.00	0.42	CLER	MEAS	1	Unspecified	WADE	QUNSP		342.0	86.0	145	2.36	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08394033	7	2004-03-14 12:00:00	MST	Yes	BH	USGS	5.67	254.0	 1.0	-0.060	0.400	FAIR	-0.02	0.42	CLER	MEAS	1	Unspecified	WADE	QUNSP		254.0	84.0	130	1.95	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08394033	8	2004-04-26 12:00:00	MDT	Yes	BH	USGS	4.70	74.9	 1.0	0.070	0.500	GOOD	0.00	0.33	CLER	MEAS	1	Unspecified	WADE	QUNSP		74.9	66.0	65.1	1.15	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08394033	9	2004-05-06 12:35:00	MDT	Yes	BH	USGS	4.70	68.5	 1.0	0.020	0.400	POOR	0.00	0.42	CLER	MEAS	1	Unspecified	WADE	QUNSP		68.5	70.0	61.4	1.12	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08394033	10	2004-06-17 11:50:00	MDT	Yes	DLC/TG	USGS	4.14	20.6	 1.0	-0.120	-0.820	POOR	0.00	0.67	CLER	MEAS	1	Unspecified	WADE	QUNSP		20.6	37.0	29.4	0.701	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08394033	11	2004-07-06 11:45:00	MDT	Yes	DLC	USGS	4.45	51.4	 1.0	0.100	-0.330	FAIR	0.00	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		51.4	73.0	49.2	1.04	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08394033	12	2004-08-03 11:36:00	MDT	Yes	DLC	USGS	4.23	26.5	 1.0	-0.070	0.340	FAIR	0.00	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		26.5	57.5	36.2	0.732	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08394033	13	2004-08-30 09:17:00	MDT	Yes	DLC	USGS	4.45	44.7	 1.0	0.00	0.160	FAIR	0.00	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		44.7	76.0	40.5	1.10	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08394033	14	2004-10-18 10:01:00	MDT	Yes	DLC	USGS	5.47	188.0	 2.0	-0.130	0.00	FAIR	0.00	0.45	CLER	MEAS	1	Unspecified	WADE	QUNSP		188.0	75.0	101	1.87	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08394033	15	2004-11-05 07:53:00	MST	Yes	DLC	USGS	5.25	129.0	 2.0	-0.170	0.700	FAIR	-0.01	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		129.0	79.0	84.8	1.52	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08394033	16	2004-12-08 11:36:00	MST	Yes	DLC	USGS	5.14	101.0	 2.0	-0.220	-0.790	FAIR	0.00	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		101.0	72.0	90.5	1.11	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08394033	17	2005-01-20 11:20:00	MST	Yes	DLC	USGS	4.96	81.0	 2.0	-0.170	0.00	FAIR	0.00	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		81.0	61.0	69.2	1.17	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08394033	18	2005-02-03 09:32:00	MST	Yes	DLC	USGS	5.03	82.0	 2.0	-0.230	-0.560	FAIR	0.00	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		82.0	62.0	75.5	1.09	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08394033	19	2005-03-01 14:29:00	MST	Yes	DLC	USGS	5.11	97.7	 2.0	-0.210	-0.920	FAIR	0.00	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		97.7	60.0	81.1	1.20	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08394033	20	2005-04-07 11:25:00	MDT	Yes	BH	USGS	4.90	74.4	 2.0	-0.150	0.920	FAIR	-0.03	0.67	CLER	MEAS	1	Unspecified	WADE	QUNSP		74.4	76.0	70.4	1.06	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08394033	21	2005-05-09 12:08:00	MDT	Yes	DLC	USGS	4.87	55.1	 2.0	-0.290	-0.180	FAIR	-0.01	1.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		55.1	72.0	56.0	0.982	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08394033	22	2005-06-15 09:37:00	MDT	Yes	DLC	USGS	5.21	169.0	 2.0	0.050	0.480	FAIR	0.00	1.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		169.0	73.0	120	1.40	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08394033	23	2005-07-06 10:34:00	MDT	Yes	DLC	USGS	4.15	32.2	 2.0	0.170	0.630	FAIR	0.00	1.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		32.2	34.0	29.7	1.08	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08394033	24	2005-08-03 12:44:00	MDT	Yes	DLC	USGS	4.37	51.0	 2.0	0.170	0.200	FAIR	0.00	0.75	CLER	MEAS	1	Unspecified	WADE	QUNSP		51.0	46.0	38.7	1.32	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
