#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:56:58 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 08396500 PECOS RIVER NEAR ARTESIA, NM
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	08396500	211a	1918-01-19		Yes	JRY	USGS	4.25	206				UNSP			UNSP	MEAS	1		UNSP	QSCMM		206		158	1.30	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08396500	212a	1918-02-02		Yes	JRY	USGS	4.62	272				UNSP			UNSP	MEAS	1		UNSP	QSCMM		272				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08396500	213a	1918-02-14		Yes	JRY	USGS	4.38	225				UNSP			UNSP	MEAS	1		UNSP	QSCMM		225	87.0			UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08396500	214a	1918-02-28		Yes	JRY	USGS	3.95	159				UNSP			UNSP	MEAS	1		UNSP	QSCMM		159				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08396500	215a	1918-03-16		Yes	JRY	USGS	3.59	107				UNSP			UNSP	MEAS	1		UNSP	QSCMM		107	60.0			UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08396500	216a	1918-03-29		Yes	JRY	USGS	3.53	94.0				UNSP			UNSP	MEAS	1		UNSP	QSCMM		94.0	58.0			UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08396500	217a	1918-04-20		Yes	JRY	USGS	3.55	115				UNSP			UNSP	MEAS	1		UNSP	QSCMM		115	63.0			UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08396500	218a	1918-05-01		Yes	JRY	USGS	3.37	94.0				UNSP			UNSP	MEAS	1		UNSP	QSCMM		94.0	58.0			UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08396500	219a	1918-05-13		Yes	JRY	USGS	3.22	85.0				UNSP			UNSP	MEAS	1		UNSP	QSCMM		85.0	58.0			UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08396500	220d	1918-05-20		Yes	JRY	USGS	3.52	119				UNSP			UNSP	MEAS	1		UNSP	QSCMM		119				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08396500	221B	1918-05-27		Yes	JRY	USGS	3.78	154				UNSP			UNSP	MEAS	1		UNSP	QSCMM		154	65.0			UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08396500	222a	1918-06-03		Yes	JRY	USGS	3.97	190				UNSP			UNSP	MEAS	1		UNSP	QSCMM		190				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08396500	223b	1918-06-08		Yes	JRY	USGS	5.75	556				UNSP			UNSP	MEAS	1		UNSP	QSCMM		556	89.0			UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08396500	224a	1918-06-14		Yes	JRY	USGS	4.38	208				UNSP			UNSP	MEAS	1		UNSP	QSCMM		208	79.0			UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08396500	225a	1918-06-20		Yes	JRY	USGS	3.71	91.0				UNSP			UNSP	MEAS	1		UNSP	QSCMM		91.0	58.0			UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08396500	226a	1918-06-26		Yes	JRY	USGS	3.48	75.0				UNSP			UNSP	MEAS	1		UNSP	QSCMM		75.0	57.0			UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08396500	227a	1918-06-29		Yes	JRY	USGS	3.26	56.0				UNSP			UNSP	MEAS	1		UNSP	QSCMM		56.0	54.0			UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08396500	228a	1918-07-02		Yes	JRY	USGS	3.18	45.0				UNSP			UNSP	MEAS	1		UNSP	QSCMM		45.0	52.0			UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08396500	229a	1918-07-05		Yes	JRY	USGS	355.00	355				UNSP			UNSP	MEAS	1		UNSP	QSCMM		355	86.0			UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
