#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:56:59 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 08399500 PECOS RIVER (KAISER CHANNEL) NEAR LAKEWOOD, NM
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	08399500	613	1969-08-18		Yes	CRA	USGS	4.37	7.84	23.0	0.300	-5.40	UNSP	-0.01	0.75		MEAS	1	Unspecified	UNSP			7.84				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08399500	614	1969-08-22		Yes	ROG	USGS	4.03	765.0	23.0	0.300	2.60	GOOD	-0.04	0.50		MEAS	1	Unspecified	UNSP			765.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08399500	615	1969-08-25		Yes	ROG	USGS	1.67	126.0	23.0	0.100	-1.60	GOOD	0.00	0.40		MEAS	1	Unspecified	UNSP			126.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08399500	616	1969-09-03		Yes	CRO	USGS	7.61	1700	23.0	0.010	1.20	UNSP	-6.00	0.08		MEAS	1	Unspecified	UNSP			1700				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08399500	617	1969-09-05		Yes	ROG	USGS	2.52	323.0	23.0	0.00	3.10	GOOD	-0.01	0.66		MEAS	1	Unspecified	UNSP			323.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08399500	618	1969-09-12		Yes	ROG	USGS	8.35	1940	23.0	0.00	1.60	GOOD	0.00	1.00		MEAS	1	Unspecified	UNSP			1940				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08399500	619	1969-09-15		Yes	CRA	USGS	3.00	427.0	23.0	0.00	-2.70	GOOD	0.00	0.56		MEAS	1	Unspecified	UNSP			427.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08399500	620	1969-09-20		Yes	CRA	USGS	8.35	1850	23.0	0.00	-3.10	UNSP	-0.04	0.88		MEAS	1	Unspecified	UNSP			1850				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08399500	621	1969-09-24		Yes	ROG	USGS	3.12	495.0	23.0	-999	2.10	GOOD	-1.00	0.50		MEAS	1	Unspecified	UNSP			495.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08399500	622	1969-10-01		Yes	CRA	USGS	1.74	106.0	23.0	-0.170	-3.60	UNSP	0.00	0.33		MEAS	1	Unspecified	UNSP			106.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08399500	623	1969-11-04		Yes	ROG	USGS	2.05	160.0	23.0	-20.0	0.600	GOOD	0.00	0.33		MEAS	1	Unspecified	UNSP			160.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08399500	624	1969-11-14		Yes	ROG	USGS	1.65	101.0	23.0	-0.140	1.00	GOOD	0.00	0.40		MEAS	1	Unspecified	UNSP			101.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
