#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:57:06 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 08405200 PECOS RIVER BELOW DARK CANYON AT CARLSBAD, NM
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	08405200	33	1971-06-01		Yes	DEW	USGS	0.51	2.18	 1.0	0.00		UNSP	-0.01	0.50		MEAS	1	Unspecified	UNSP			2.18				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08405200	35	1971-07-01		Yes	CRA	USGS	0.36	0.270	 1.0	0.010	12.5	UNSP	0.00	0.16		MEAS	1	Unspecified	UNSP			0.270				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08405200	36	1971-07-21		Yes	DEW	USGS	0.51	1.96	 1.0	0.010	-2.00	UNSP	0.00	0.33		MEAS	1	Unspecified	UNSP			1.96				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08405200	37	1971-08-03		Yes	DEW	USGS	0.37	0.380	 2.0	0.010	31.0	FAIR	0.00	0.08		MEAS	1	Unspecified	UNSP			0.380				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08405200	38	1971-08-18		Yes	CRA	USGS	0.61	6.71	 2.0	-0.010	-2.50	FAIR	0.00	0.33		MEAS	1	Unspecified	UNSP			6.71				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08405200	41	1971-08-23		Yes	CRA/JAM	USGS	2.33	600.0	 2.0	-0.050	-2.30	UNSP	-0.22	0.33		MEAS	1	Unspecified	UNSP			600.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08405200	39	1971-08-23		Yes	CRA/JAM	USGS	3.29	1290	 2.0	-0.050	-3.00	FAIR	-0.12	0.40		MEAS	1	Unspecified	UNSP			1290				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08405200	42	1971-08-23		Yes	CRA/JAM	USGS	2.09	508.0	 2.0	-0.030	1.40	GOOD	-0.21	0.25		MEAS	1	Unspecified	UNSP			508.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08405200	40	1971-08-23		Yes	CRA/JAM	USGS	2.87	982.0	 2.0	-0.050	1.70	FAIR	-0.26	0.40		MEAS	1	Unspecified	UNSP			982.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08405200	43	1971-09-01		Yes	CRA	USGS	0.62	7.24	 2.0	-0.010	-0.400	UNSP	0.00	0.33		MEAS	1	Unspecified	UNSP			7.24				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08405200	44	1971-10-01		Yes	CRA	USGS	0.67	12.0	 2.0	-0.010	-2.40	UNSP	0.00	0.33		MEAS	1	Unspecified	UNSP			12.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
