#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:57:07 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 08406500 PECOS RIVER NEAR MALAGA, NM
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	08406500	1	1937-06-01		Yes	Austin	USGS	24.60	34900				FAIR				MEAS	1		UNSP	QSCMM		34900	232	5100	6.84	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08406500	2	1937-06-02		Yes	Austin	USGS	19.92	23000				FAIR				MEAS	1		UNSP	QSCMM		23000	230	4220	5.31	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08406500	3	1937-06-03		Yes	Irby	USGS	15.25	13300				FAIR				MEAS	1		UNSP	QSCMM		13300	203	3130	4.25	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08406500	4	1937-06-05		Yes	Irby	USGS	16.98	17200				FAIR				MEAS	1		UNSP	QSCMM		17200	203	3420	5.03	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08406500	5	1937-06-08		Yes	Irby	USGS	14.28	11600				FAIR				MEAS	1		UNSP	QSCMM		11600	192	2850	4.07	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08406500	6	1937-06-09		Yes	Irby	USGS	11.92	8160				FAIR				MEAS	1		UNSP	QSCMM		8160	195	2430	3.36	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08406500	7	1937-06-10		Yes	Irby	USGS	10.75	6930				GOOD				MEAS	1		UNSP	QSCMM		6930	188	2180	3.18	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08406500	8	1937-06-12		Yes	Irby	USGS	9.60	5430				GOOD				MEAS	1		UNSP	QSCMM		5430	181	1850	2.94	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08406500	9	1937-06-15		Yes	Austin	USGS	8.88	4760				GOOD				MEAS	1		UNSP	QSCMM		4760	183	1650	2.88	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08406500	10	1937-07-07		Yes	Dallas	USGS	0.85	100				FAIR				MEAS	1		UNSP	QSCMM		100	68.0	119	0.85	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08406500	11	1937-07-20		Yes	Dallas	USGS	1.05	145				GOOD	0.02			MEAS	1		UNSP	QSCMM		145	70.5	133	1.09	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08406500	11A	1937-07-29		Yes	Irby	USGS	2.83	610				UNSP				MEAS	1		UNSP	QSCMM		610	132	578	1.06	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08406500	12	1937-08-05		Yes	Dallas	USGS	0.64	74.2				FAIR				MEAS	1		UNSP	QSCMM		74.2	69.5	105	0.71	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08406500	13	1937-08-11		Yes	Dallas	USGS	0.70	82.5				UNSP				MEAS	1		UNSP	QSCMM		82.5	70.0	107	0.77	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
