#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:57:08 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 08407000 PECOS RIVER AT PIERCE CANYON CROSSING, NM
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	08407000	1a	1938-05-18		Yes	Dallas	USGS	0.52	80.2				GOOD			UNSP	MEAS	1		UNSP	QSCMM		80.2	39.0	46.2	1.74	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08407000	2a	1938-05-19		Yes	Dallas	USGS	0.62	104				GOOD			UNSP	MEAS	1		UNSP	QSCMM		104	50.2	54.4	1.91	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08407000	4a	1938-05-26		Yes	Dallas	USGS	0.82	175				GOOD			UNSP	MEAS	1		UNSP	QSCMM		175	130	181	0.97	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08407000	3a	1938-05-26		Yes	Dallas	USGS	0.69	121				GOOD			UNSP	MEAS	1		UNSP	QSCMM		121	61.0	69.2	1.75	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08407000	5a	1938-05-27		Yes	Dallas	USGS	0.61	98.7				GOOD			UNSP	MEAS	1		UNSP	QSCMM		98.7	54.0	62.8	1.57	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08407000	6a	1938-07-13		Yes	Dallas	USGS	1.08	162				GOOD			UNSP	MEAS	1		UNSP	QSCMM		162	103	176	0.92	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08407000	7a	1938-07-14		Yes	Dallas	USGS	0.74	73.4				GOOD			UNSP	MEAS	1		UNSP	QSCMM		73.4	55.0	44.8	1.64	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08407000	8a	1938-07-25		Yes	Dallas	USGS	1.00	138				GOOD			UNSP	MEAS	1		UNSP	QSCMM		138	73.0	82.4	1.67	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08407000	9a	1938-08-02		Yes	Dallas	USGS	0.88	105				GOOD			UNSP	MEAS	1		UNSP	QSCMM		105	67.6	74.3	1.41	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08407000	10a	1938-08-10		Yes	Dallas	USGS	0.65	55.6				GOOD			UNSP	MEAS	1		UNSP	QSCMM		55.6	64.0	55.7	1.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08407000	11a	1938-08-19		Yes	Dallas	USGS	0.70	67.3				GOOD			UNSP	MEAS	1		UNSP	QSCMM		67.3	65.2	59.7	1.13	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08407000	12a	1938-08-31		Yes	Dallas	USGS	0.90	113				GOOD			UNSP	MEAS	1		UNSP	QSCMM		113	67.6	76.2	1.48	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08407000	13a	1938-09-15		Yes	Dallas	USGS	1.00	144				GOOD			UNSP	MEAS	1		UNSP	QSCMM		144	84.6	97.4	1.48	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08407000	14a	1938-09-22		Yes	Dallas	USGS	0.93	123				GOOD			UNSP	MEAS	1		UNSP	QSCMM		123	80.1	92.5	1.33	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08407000	15a	1938-09-29		Yes	Dallas	USGS	0.87	104				GOOD			UNSP	MEAS	1		UNSP	QSCMM		104	84.0	82.2	1.27	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08407000	16a	1938-10-18		Yes	Dallas	USGS	0.91	115				GOOD			UNSP	MEAS	1		UNSP	QSCMM		115	88.0	92.0	1.25	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08407000	17a	1938-10-25		Yes	Dallas	USGS	0.91	116				GOOD			UNSP	MEAS	1		UNSP	QSCMM		116	87.8	93.8	1.24	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08407000	18a	1938-10-27		Yes	Dallas	USGS	1.02	152				GOOD			UNSP	MEAS	1		UNSP	QSCMM		152	88.6	110	1.38	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08407000	19a	1938-11-03		Yes	Dallas	USGS	1.04	159				UNSP			UNSP	MEAS	1		UNSP	QSCMM		159	90.8	113	1.41	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08407000	20a	1938-11-15		Yes	Dallas	USGS	1.15	204				GOOD			UNSP	MEAS	1		UNSP	QSCMM		204	89.8	135	1.51	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08407000	21a	1938-11-22		Yes	Dallas	USGS	1.18	214				GOOD			UNSP	MEAS	1		UNSP	QSCMM		214	93.0	148	1.45	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08407000	22a	1938-11-28		Yes	Dallas	USGS	1.15	201				GOOD			UNSP	MEAS	1		UNSP	QSCMM		201	92.0	139	1.45	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08407000	23a	1938-12-07		Yes	Dallas	USGS	0.98	134				GOOD			UNSP	MEAS	1		UNSP	QSCMM		134	91.6	112	1.20	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08407000	24a	1938-12-15		Yes	Dallas	USGS	0.99	140				GOOD			UNSP	MEAS	1		UNSP	QSCMM		140	92.6	121	1.16	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08407000	25a	1939-01-05		Yes	Dallas	USGS	0.94	119				GOOD			UNSP	MEAS	1		UNSP	QSCMM		119	90.5	105	1.13	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08407000	26a	1939-01-12		Yes	Dallas	USGS	1.07	169				GOOD			UNSP	MEAS	1		UNSP	QSCMM		169	94.0	127	1.34	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08407000	27a	1939-01-21		Yes	Dallas	USGS	1.82	182				GOOD			UNSP	MEAS	1		UNSP	QSCMM		182	95.5	130	1.40	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08407000	28a	1939-01-27		Yes	Dallas	USGS	1.05	156				GOOD			UNSP	MEAS	1		UNSP	QSCMM		156	95.0	124	1.26	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08407000	29a	1939-02-01		Yes	Dallas	USGS	1.25	265				GOOD			UNSP	MEAS	1		UNSP	QSCMM		265	98.5	157	1.69	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08407000	30a	1939-02-10		Yes	Dallas	USGS	0.93	120				UNSP			UNSP	MEAS	1		UNSP	QSCMM		120	93.0	112	1.07	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08407000	31a	1939-02-14		Yes	VRB	USGS	0.89	101				GOOD			UNSP	MEAS	1		UNSP	QSCMM		101	92.0	97.9	1.03	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08407000	32a	1939-02-15		Yes	VRB	USGS	1.01	134				GOOD			UNSP	MEAS	1		UNSP	QSCMM		134	95.0	117	1.15	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08407000	33a	1939-02-21		Yes	Dallas	USGS	1.18	223				GOOD			UNSP	MEAS	1		UNSP	QSCMM		223	99.0	147	1.52	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08407000	34a	1939-03-09		Yes	Dallas	USGS	0.87	103				GOOD			UNSP	MEAS	1		UNSP	QSCMM		103	91.0	97.1	1.06	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08407000	35a	1939-03-15		Yes	Dallas	USGS	1.08	160				GOOD			UNSP	MEAS	1		UNSP	QSCMM		160	96.0	121	1.32	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08407000	36a	1939-04-04		Yes	Dallas	USGS	0.91	114				GOOD			UNSP	MEAS	1		UNSP	QSCMM		114	91.5	97.4	1.17	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08407000	37a	1939-04-18		Yes	Bretschi	USGS	0.99	129				EXCL			UNSP	MEAS	1		UNSP	QSCMM		129	95.0	110	1.17	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08407000	38a	1939-04-28		Yes	Dallas	USGS	0.96	122				GOOD			UNSP	MEAS	1		UNSP	QSCMM		122	93.4	105	1.16	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	08407000	39a	1939-05-13		Yes	Dallas	USGS	1.02	147				GOOD			UNSP	MEAS	1		UNSP	QSCMM		147	96.0	113	1.30	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
