#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:57:44 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 01382170 Pequannock River at NJ Route 23 near Oak Ridge NJ
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	01382170	1	2000-12-11 10:13:00	EST	Yes	GKH	USGS	15.64	5.49		0.00		FAIR	0.00	1.25	CLER	MEAS	1	Unspecified	WADE	QUNSP		5.49	18.9	7.28	0.754	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01382170	2	2001-02-27 08:08:00	EST	Yes	GKH	USGS	15.03	36.4		0.00		FAIR	0.00	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		36.4	20.1	17.9	2.03	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01382170	3	2001-06-04 07:55:00	EDT	Yes	GKH	USGS	15.05	39.6		0.00		FAIR	0.00	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		39.6	15.5	17.9	2.21	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01382170	4	2001-08-08 07:40:00	EDT	Yes	GKH	USGS	16.00	0.660		0.00		FAIR	0.00	0.75	CLER	MEAS	1	Unspecified	WADE	QUNSP		0.660	8.10	2.97	0.222	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01382170	5	2001-11-14 08:38:00	EST	Yes	GKH	USGS	16.00	0.942		0.00		FAIR	0.00	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		0.942	6.80	1.98	0.476	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01382170	6	2002-02-26 08:01:00	EST	Yes	GKH	USGS	14.99	35.4		0.00		GOOD	0.00	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		35.4	20.5	16.4	2.16	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01382170	7	2002-05-28 09:13:00	EDT	Yes	GKH	USGS	15.41	16.2		0.00		GOOD	0.00	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		16.2	16.5	10.1	1.61	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01382170	8	2002-09-03 09:21:00	EDT	Yes	gkh	USGS	15.96	0.780		0.00		FAIR	0.00	0.20	LGDB	MEAS	1	Unspecified	WADE	QUNSP		0.780	2.10	0.693	1.13	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01382170	9	2004-11-16 09:55:00	EST	Yes	ARV/TMM	USGS	15.30	18.1		0.00		FAIR	0.00	0.90	MDDB	MEAS	1	Unspecified	WADE	QUNSP		18.1	18.0	11.3	1.60	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01382170	10	2008-06-10 15:49:00	EDT	Yes	jvc	USGS	4.11	10.1	 1.0		-1.0	FAIR	0.00	0.60	CLER	MEAS	1	Unspecified	WADE	QSCMM	VADV	10.1	26.9	21.0	0.480	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01382170	11	2008-07-24 12:10:00	EDT	Yes	pwb/jjt	USGS	4.28	24.9	 1.0		1.6	FAIR	0.01	0.60	CLER	UNSP	1		WADE	QSCMM	VADV	24.9	22.0	21.1	1.18	FIRM	BLDR	UNEV	PULS	UNEV	UNSP	UPST	20
USGS	01382170	12	2008-10-03 13:30:00	EDT	Yes	JVC/JCS	USGS	4.15	9.43	 2.0	-0.05	-2.3	FAIR	0.00	0.60	HVDB	MEAS	1		WADE	QSCMM	VADV	9.43	23.8	19.3	0.48	FIRM	BLDR	UNEV	PULS	UNEV	UNSP	DNST	100
