#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:58:04 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 04099850 PINE CREEK NEAR ELKHART, IND.
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	04099850	25	1982-03-17		Yes	JTH	USGS	5.76	254				Fair				UNSP	1	Imported Channel 1	UNSP	other		254				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04099850	24	1982-03-17		Yes	JTH	USGS	5.84	263				Fair				UNSP	1	Imported Channel 1	UNSP	other		263				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04099850	27	1982-03-18		Yes	JTH	USGS	4.48	108				Good				UNSP	1	Imported Channel 1	UNSP	other		108				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04099850	26	1982-03-18		Yes	JTH	USGS	4.74	125				Good				UNSP	1	Imported Channel 1	UNSP	other		125				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04099850	28	1982-03-19		Yes	DD	USGS	4.30	98.8				Fair				UNSP	1	Imported Channel 1	UNSP	other		98.8				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04099850	29	1982-03-22		Yes	JTH	USGS	3.98	71.4				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		71.4				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04099850	30	1982-03-24		Yes	JTH	USGS	3.75	58.6				Good				UNSP	1	Imported Channel 1	UNSP	other		58.6				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04099850	31	1982-03-26		Yes	JTH	USGS	3.60	53.5				Good				UNSP	1	Imported Channel 1	UNSP	other		53.5				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04099850	48	1984-04-17		Yes	CRK	USGS	3.43	52.3				Good				UNSP	1	Imported Channel 1	UNSP	other		52.3				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04099850	51	1984-08-29		Yes	CRK	USGS	2.32	7.04				Good	0.00	0.30	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	7.04	10.5	6.27	1.12	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04099850	52	1984-10-15		Yes	CRK	USGS	2.55	12.0				Good	0.00	0.30	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	12.0	10.0	8.30	1.45	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04099850	53	1984-11-27		Yes	CRK	USGS	2.50	12.9				Good	0.00	0.40	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	12.9	14.5	11.3	1.14	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04099850	54	1985-01-30		Yes	CRK	USGS	2.52	16.7				Good	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	16.7	12.0	12.1	1.38	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04099850	55	1985-02-26		Yes	CRK	USGS	3.78	80.8				Good	-0.01	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	80.8	24.0	40.2	2.01	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04099850	56	1985-03-05		Yes	JKB	USGS	4.18	94.9				Fair	-0.04	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	94.9	29.0	45.7	2.05	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04099850	57	1985-05-07		Yes	RLM	USGS	2.59	20.6				Good	0.00	0.40		MEAS	1	Imported Channel 1	WADE	unspe	unkno	20.6	22.0	16.5	1.25	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04099850	58	1985-06-12		Yes	CRK	USGS	2.45	17.2				Good	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	17.2	14.0	12.4	1.39	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04099850	59	1985-07-16		Yes	CRK	USGS	2.30	11.0				Good	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	11.0	11.1	8.34	1.32	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04099850	60	1985-08-28		Yes	CRK	USGS	2.23	9.32				Good	0.00	0.40	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	9.32	11.7	7.94	1.17	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04099850	61	1985-10-08		Yes	GEN	USGS		9.05				Good	0.00	0.60	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	9.05	17.0	9.60	0.94	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04099850	62	1985-12-04		Yes	CRK	USGS	2.74	29.6				Good	0.00	0.40	DebrisHeavy	MEAS	1	Imported Channel 1	WADE	unspe	unkno	29.6	22.0	2110	1.36	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04099850	63	1986-01-22		Yes	CRK	USGS	2.49	20.9				Good	0.00	0.30	DebrisHeavy	MEAS	1	Imported Channel 1	WADE	unspe	unkno	20.9	21.0	16.4	1.27	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04099850	64	1986-03-11		Yes	RET	USGS	2.81	35.7				Good	0.00	0.30	DebrisModerate	MEAS	1	Imported Channel 1	WADE	unspe	unkno	35.7	18.0	23.2	1.54	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04099850	65	1986-04-22		Yes	EJC	USGS	2.34	19.2				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	19.2	14.0	13.8	1.39	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04099850	66	1986-06-25		Yes	WAS	USGS	2.16	12.2				Good	0.00	0.60		MEAS	1	Imported Channel 1	WADE	unspe	unkno	12.2	12.5	10.7	1.14	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	04099850	67	1986-07-31		Yes	WAS	USGS	2.29	18.0				Good	0.00	0.70		MEAS	1	Imported Channel 1	WADE	unspe	unkno	18.0	16.0	11.4	1.58	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
