#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:58:09 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09197000 PINE CREEK BELOW FREMONT LAKE, WY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	09197000	1	1984-10-24		Yes	TFW/MLS	USGS	1.66	91.8				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	91.8	88.0	112	0.82	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	09197000	2	1985-03-26		Yes	TFW/GAL	USGS		32.3				Fair			IceShore	MEAS	1	Imported Channel 1	WADE	unspe	unkno	32.3	75.0	82.8	0.39	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	09197000	3	1985-04-17		Yes	GAL/TFW	USGS	1.06	31.2				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	31.2	83.0	76.3	0.41	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	09197000	4	1985-05-09		Yes	TFW	USGS	2.06	225				Fair	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	225	89.0	162	1.39	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	09197000	5	1985-05-31		Yes	TFW	USGS	2.72	479				Fair	-0.01	1.20	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	479	89.0	217	2.21	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	09197000	6	1985-07-31		Yes	PBM	USGS	1.82	124				Poor	0.01	0.90	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	124	122	165	0.75	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	09197000	7	1985-10-08		Yes	TFW	USGS	1.41	52.2				Poor	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	52.2	91.0	86.2	0.61	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	09197000	8	1986-03-05		Yes	TFW/KLS	USGS		77.1				Poor	0.00	0.50	IceShore	MEAS	1	Imported Channel 1	WADE	unspe	unkno	77.1	92.0	104	0.74	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	09197000	9	1986-03-25		Yes	TFW	USGS	1.25	50.4				Poor	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	50.4	85.0	95.2	0.53	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	09197000	10	1986-05-28		Yes	TFW	USGS	2.38	281				Fair	0.00	0.80	DebrisLight	MEAS	1	Imported Channel 1	UNSP	other		281				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	09197000	11	1986-06-25		Yes	RCB/PBM	USGS	3.71	1090				Poor	0.00	1.30	DebrisLight	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	1090	155	730	1.49	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	09197000	12	1986-07-10		Yes	KLS/GAL	USGS	3.19	668				Good	0.00	0.90	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	668	142	258	2.59	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	09197000	13	1986-08-05		Yes	KLS	USGS	2.35	288				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	288	92.0	122	2.35	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	09197000	14	1986-09-30		Yes	GAL	USGS	1.30	43.3				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	43.3	83.0	97.2	0.44	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	09197000	15	1988-03-30 13:00:00	MST	Yes	TFW/KLS	USGS	0.98	19.9				Poor	0.01	0.50	IceShore	MEAS	1	Imported Channel 1	WADE	unspe	unkno	19.9	35.0	38.4	0.49	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	09197000	16	1988-04-14 15:00:00	MDT	Yes	KLS	USGS	0.89	11.1				Fair	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	11.1	45.0	12.7	0.87	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	09197000	17	1988-05-20 10:30:00	MDT	Yes	KLS	USGS	1.95	170				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	170	89.0	102	1.67	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	09197000	18	1988-06-29 07:00:00	MDT	Yes	KLS	USGS	2.21	239				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	239	92.0	109	2.19	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	09197000	19	1988-08-16 18:00:00	MDT	Yes	KLS	USGS	1.29	33.0				Fair	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	33.0	64.0	57.1	0.58	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	09197000	20	1988-09-02 09:00:00	MDT	Yes	KLS/TS	USGS	1.30	34.8				Fair	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	34.8	60.0	51.5	0.68	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	09197000	21	1988-10-13 14:00:00	MDT	Yes	KLS	USGS	0.92	9.22				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	9.22	46.0	22.8	0.40	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	09197000	22	1989-03-27 13:00:00	MST	Yes	KLS	USGS	0.86	12.1				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	12.1	50.0	29.9	0.41	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	09197000	23	1989-04-27 15:30:00	MDT	Yes	KLS	USGS	1.09	23.6				Fair	0.00	0.50	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	23.6	62.0	49.2	0.48	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	09197000	24	1989-06-07 17:30:00	MDT	Yes	KLS	USGS	2.04	165				Fair	0.00	0.60	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	165	92.0	87.9	1.88	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	09197000	25	1989-07-21 10:00:00	MDT	Yes	KLS/DJP	USGS	2.30	248				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	248	90.0	130	1.91	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	09197000	26	1989-08-26 16:30:00	MDT	Yes	PBM	USGS	1.62	81.8				Poor	0.01	0.90	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	81.8	115	121	0.68	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	09197000	27	1989-10-13 08:00:00	MDT	Yes	PBM	USGS	1.36	42.9				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	42.9	98.0	76.8	0.56	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	09197000	28	1990-04-03 09:30:00	MDT	Yes	TFW	USGS	1.12	31.4				Poor	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	31.4	59.0	45.2	0.70	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	09197000	29	1990-05-04 07:50:00	MDT	Yes	MES	USGS	1.05	15.4				Poor	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	15.4	54.5	33.6	0.46	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	09197000	30	1990-06-21 08:30:00	MDT	Yes	MES	USGS	2.85	466				Fair	0.00	1.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	466	92.0	174	2.68	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	09197000	31	1990-07-26 15:00:00	MDT	Yes	MES	USGS	2.37	288				Fair	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	288	90.0	134	2.15	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	09197000	32	1990-08-22 15:00:00	MDT	Yes	MES	USGS	1.77	97.7				Unspecified	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	97.7	87.0	68.9	1.42	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	09197000	33	1990-08-23 17:20:00	MDT	Yes	MES	USGS	1.77	92.5				Fair	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	92.5	86.0	73.2	1.26	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
