#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:58:11 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09337000 PINE CREEK NEAR ESCALANTE, UT
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	09337000	346	1980-08-06		Yes	DCE	USGS	1.87	6.16	 7.0	-0.050	-2.80	FAIR	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		6.16	7.80	5.40	1.14	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09337000	347	1980-10-06		Yes	DCE	USGS	1.68	3.49	 7.0	0.00	-4.40	FAIR	0.00	0.50	LGDB	MEAS	1	Unspecified	WADE	QUNSP		3.49	7.70	3.98	0.880	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09337000	348	1980-12-01		Yes	DCE	USGS	1.76	4.09	 7.0	0.00		UNSP	0.00			MEAS	1	Unspecified	WADE	QUNSP		4.09	7.00	4.09	1.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09337000	349	1981-01-14		Yes	DCE	USGS	1.90	5.65	 7.0	0.00		FAIR	-0.08	0.50		MEAS	1	Unspecified	WADE	QUNSP		5.65	8.20	7.08	0.800	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09337000	350	1981-03-24		Yes	RCB	USGS	1.64	3.30	 7.0	0.00	6.40	GOOD	0.00	0.42	CLER	MEAS	1	Unspecified	WADE	QUNSP		3.30	8.00	6.17	0.530	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09337000	351	1981-04-21		Yes	DCE	USGS	1.99	9.04	 7.0	-0.050	-4.00	FAIR	0.00	0.50		MEAS	1	Unspecified	WADE	QUNSP		9.04	7.70	5.72	1.58	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09337000	352	1981-05-19		Yes	DCE	USGS	1.75	5.07	 7.0	0.00	4.50	UNSP	0.00	0.50		MEAS	1	Unspecified	WADE	QUNSP		5.07	7.70	4.23	1.20	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09337000	353	1981-06-24		Yes	DCE	USGS	1.96	9.30	 7.0	-0.020	-1.10	FAIR	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		9.30	7.60	5.54	1.68	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09337000	354	1981-07-15		Yes	RCB	USGS	1.54	6.32	 7.0	0.280	-0.300	FAIR	0.00	0.33		MEAS	1	Unspecified	WADE	QUNSP		6.32	10.0	5.14	1.19	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09337000	355	1981-09-03		Yes	DCE	USGS	1.39	2.58	 7.0	0.210	-0.800	FAIR	0.00	0.50		MEAS	1	Unspecified	WADE	QUNSP		2.58	7.30	2.96	0.870	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09337000	356	1981-10-08		Yes	DCE	USGS	1.48	4.28	 8.0	0.00	-0.900	FAIR	0.00	0.50		MEAS	1	Unspecified	WADE	QUNSP		4.28	7.90	3.84	1.11	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09337000	357	1981-11-17		Yes	DCE/RCB	USGS	1.47	3.60	 8.0	-0.020	-4.50	FAIR	0.00	0.50		MEAS	1	Unspecified	WADE	QUNSP		3.60	7.70	3.60	1.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09337000	358	1981-12-16		Yes	DCE	USGS	1.44	4.04	 8.0	0.00		FAIR	0.00	0.50		MEAS	1	Unspecified	WADE	QUNSP		4.04	7.80	4.08	0.990	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09337000	359	1982-01-14		Yes	DCE	USGS		3.85	 8.0	0.00		POOR				MEAS	1	Unspecified	WADE	QUNSP		3.85	5.00	3.40	1.13	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09337000	360	1982-02-22		Yes	DCE	USGS	1.42	3.25	 8.0	0.00	-1.50	FAIR			CLER	MEAS	1	Unspecified	WADE	QUNSP		3.25	7.20	4.26	0.760	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09337000	361	1982-03-31		Yes	DCE	USGS	1.49	4.54	 8.0	0.00	0.700	FAIR	0.02	0.50		MEAS	1	Unspecified	WADE	QUNSP		4.54	8.90	5.60	0.810	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09337000	362	1982-04-29		Yes	DCE	USGS	2.40	34.8	 8.0	0.050	4.80	FAIR	0.00	0.50		MEAS	1	Unspecified	WADE	QUNSP		34.8	18.5	15.2	2.28	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09337000	363	1982-05-20		Yes	DCE	USGS	2.30	26.5	 8.0	0.00	-1.50	FAIR	0.00	0.50		MEAS	1	Unspecified	WADE	QUNSP		26.5	18.0	13.3	1.99	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09337000	364	1982-06-23		Yes	DCE	USGS	1.68	6.81	 8.0	-0.070	0.100	FAIR	0.00	0.50		MEAS	1	Unspecified	WADE	QUNSP		6.81	9.10	7.91	0.860	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09337000	365	1982-07-22		Yes	DCE	USGS	1.66	6.87	 8.0	-0.040	-1.90	FAIR	0.00	0.50		MEAS	1	Unspecified	WADE	QUNSP		6.87	7.30	5.38	1.28	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	09337000	366	1982-08-17		Yes	DCE	USGS	1.55	5.65	 8.0	0.00		FAIR	0.00	0.50		MEAS	1	Unspecified	WADE	QUNSP		5.65	9.50	7.28	0.780	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
