#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:58:13 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 12413445 PINE CREEK BELOW AMY GULCH NEAR PINEHURST ID
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	12413445	1	1997-04-30 12:10:00	PDT	Yes	KFK	USGS		695				Good	0.00	0.90	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	695	59.0	135	5.15	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413445	2	1997-05-16 09:26:00	PDT	Yes	KFK	USGS		1560				Fair			Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1560	64.0	201	7.76	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413445	3	1997-11-05 14:11:00	PST	Yes	HRC/JOG	USGS	5.87	69.7				Good	0.01	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	69.7	42.0	36.0	1.94	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413445	4	1997-12-10 12:45:00	PST	Yes	HRC	USGS	5.70	47.6				Good	-0.01	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	47.6	43.0	28.8	1.65	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413445	5	1998-02-02 10:45:00	PST	Yes	HRC	USGS	6.37	152				Fair	-0.01	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	152	67.0	67.6	2.25	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413445	6	1998-03-09 14:50:00	PST	Yes	JOG	USGS	5.93	88.5				Fair	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	88.5	51.0	36.6	2.42	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413445	7	1998-03-18 13:15:00	PST	Yes	HRC/RLB	USGS	6.65	245				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	245	68.0	84.0	2.92	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413445	8	1998-03-25 08:30:00	PST	Yes	HRC	USGS	7.40	630				Fair	-0.02	1.00	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	630	58.0	110	5.73	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	12413445	9	1998-04-20 10:26:00	PDT	Yes	JOG	USGS	6.32	159				Fair	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	159	69.0	69.9	2.27	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
