#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:58:18 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 13290190 PINE CREEK NR OXBOW OR
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	13290190	1	1966-11-01		Yes	A J	USGS	0.55	52.0				Good	0.00	1.00		MEAS	1	Imported Channel 1	UNSP	other		52.0				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13290190	2	1966-12-14		Yes	MLJ	USGS	3.46	728				Poor	0.00	0.80		MEAS	1	Imported Channel 1	UNSP	other		728				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13290190	3	1967-01-11		Yes	A J	USGS	1.28	119				Good	0.00	0.80		MEAS	1	Imported Channel 1	UNSP	other		119				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13290190	4	1967-02-09		Yes	RAS	USGS	2.40	345				Fair	0.00	1.30		MEAS	1	Imported Channel 1	UNSP	other		345				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13290190	5	1967-03-19		Yes	HRS/T H	USGS	2.78	489				Good	0.00	0.80		MEAS	1	Imported Channel 1	UNSP	other		489				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13290190	6	1967-04-20		Yes	LCK	USGS	2.30	384				Poor	0.00	1.40		MEAS	1	Imported Channel 1	UNSP	other		384				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13290190	7	1967-05-24		Yes	RAS	USGS	4.40	1460				Fair	0.00	1.50		MEAS	1	Imported Channel 1	UNSP	other		1460				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13290190	8	1967-06-14		Yes	T H	USGS	3.85	1140				Poor	0.00	0.60		MEAS	1	Imported Channel 1	UNSP	other		1140				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13290190	9	1967-07-22		Yes	HRS/  R	USGS	0.75	69.0				Fair	0.00	0.80		MEAS	1	Imported Channel 1	UNSP	other		69.0				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
