#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:58:19 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 13349400 PINE CREEK AT PINE CITY, WA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	13349400	1A	1961-07-02 14:45:00	PDT	Yes	WRS	USGS	0.47	2.70				Good	0.00	0.60		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	2.70	8.00	3.16	0.85	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	1	1961-09-10 10:20:00	PDT	Yes	DHA	USGS	3.93	1.78				Good	0.00	0.70		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	1.78	5.80	1.69	1.05	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	2	1961-10-13 16:10:00	PST	Yes	DHA	USGS	3.96	2.02				Good	0.00	0.30		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	2.02	7.10	3.02	0.67	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	3	1961-11-17 13:00:00	PST	Yes	DHA	USGS	4.05	4.09				Good	0.00	0.40		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	4.09	19.0	5.70	0.72	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	4	1961-12-28 09:10:00	PST	Yes	DHA	USGS	4.57	28.1				Good	0.00	0.40		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	28.1	33.0	23.6	1.19	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	5	1962-02-08 15:15:00	PST	Yes	DHA	USGS	4.90	62.0				Good	0.01	0.70		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	62.0	43.5	39.7	1.56	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	6	1962-03-15 14:50:00	PST	Yes	DHA	USGS	5.15	90.4				Good	0.05	0.80		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	90.4	45.0	51.1	1.76	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	13	1962-03-27		Yes	DHA	USGS	9.08	1230				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		1230				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	7	1962-03-28 14:00:00	PST	Yes	DHA	USGS	6.43	306				Good	-0.02	1.20		MEAS	1	Imported Channel 1	CWAY	QSCMM	unkno	306	47.0	128	2.39	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	8	1962-03-29 16:05:00	PST	Yes	DHA	USGS	5.88	198				Unspecified	-0.01	0.70		MEAS	1	Imported Channel 1	CWAY	QSCMM	unkno	198	46.0	100	1.98	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	9	1962-04-03 10:35:00	PST	Yes	DHA	USGS	5.00	78.1				Good	0.00	0.70		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	78.1	45.0	43.0	1.82	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	10	1962-04-23 09:00:00	PST	Yes	DHA	USGS	4.48	21.8				Good	0.00	0.50		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	21.8	29.0	20.5	1.06	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	11	1962-06-05 09:50:00	PDT	Yes	DHA	USGS	4.33	13.9				Good	0.02	0.60		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	13.9	25.0	16.2	0.86	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	12	1962-07-24 16:40:00	PDT	Yes	DHA	USGS	3.91	2.21				Good	0.00	0.20		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	2.21	8.20	2.17	1.02	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	14	1962-08-20 12:15:00	PDT	Yes	DHA	USGS	3.91	1.80				Good	0.00	0.20		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	1.80	9.00	2.51	0.72	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	15	1962-10-06 12:30:00	PDT	Yes	DHA	USGS	3.92	1.96				Good	0.00	0.30		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	1.96	8.80	2.44	0.80	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	16	1962-11-07 13:35:00	PST	Yes	DHA	USGS	4.04	3.77				Good	0.00	0.50		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	3.77	9.00	3.36	1.12	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	17	1962-12-09 10:35:00	PST	Yes	DHA	USGS	4.41	16.5				Good	0.00	0.60		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	16.5	18.0	11.4	1.45	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	18	1963-01-24 10:10:00	PST	Yes	DHA	USGS	4.15	7.44				Unspecified	0.00	0.60		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	7.44	17.0	7.64	0.97	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	19	1963-02-03		Yes	EGN	USGS	20.90	10600				Unspecified				MEAS	1	Imported Channel 1	UNSP	other		10600				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	20	1963-02-05 12:55:00	PST	Yes	WRA	USGS	7.67	685				Good	-0.16	0.80		MEAS	1	Imported Channel 1	CWAY	QSCMM	unkno	685	49.0	201	3.41	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	21	1963-02-06 09:40:00	PST	Yes	DHA	USGS	6.24	290				Good	-0.06	1.50		MEAS	1	Imported Channel 1	CWAY	QSCMM	unkno	290	50.0	135	2.15	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	22	1963-02-08 12:30:00	PST	Yes	DHA/EGN	USGS	5.51	134				Excellent	0.00	0.60		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	134	47.0	64.9	2.06	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	23	1963-03-05 14:10:00	PST	Yes	EGN	USGS	4.79	47.1				Good	-0.01	0.80		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	47.1	44.0	34.8	1.35	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	24	1963-04-05 12:10:00	PST	Yes	JD/LH	USGS	4.76	38.2				Good	0.00	0.80		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	38.2	41.5	34.5	1.11	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	25	1963-05-10 18:05:00	PDT	Yes	LH	USGS	4.67	31.7				Good	0.00	0.50		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	31.7	33.8	34.0	0.93	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	26	1963-06-10 13:35:00	PDT	Yes	DHA	USGS	4.33	8.59				Good	0.00	0.60		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	8.59	19.5	11.3	0.76	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	27	1963-06-21 13:00:00	PDT	Yes	DHA	USGS	4.17	3.74				Good	0.00	0.60		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	3.74	13.7	6.08	0.62	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	28	1963-07-16 09:45:00	PDT	Yes	DHA	USGS	4.13	2.41				Good	0.00	0.70		MEAS	1	Imported Channel 1	WADE	QSCMM	VADV	2.41	10.0	3.86	0.62	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	29	1963-09-01 09:15:00	PDT	Yes	EGN	USGS	4.06	1.44				Good	0.00	0.60		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	1.44	17.5	5.03	0.29	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	30	1963-10-07 10:10:00	PDT	Yes	DHA	USGS	4.05	1.42				Good	0.00	0.50		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	1.42	7.00	2.60	0.55	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	31	1963-11-18 10:05:00	PST	Yes	DHA	USGS	4.19	3.52				Unspecified	0.00	0.50		MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	3.52	17.5	7.99	0.44	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	32	1963-12-16 16:30:00	PST	Yes	CFS	USGS	4.25	4.86				Good	0.00	0.30		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	4.86	17.7	8.12	0.60	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	33	1964-01-13 13:30:00	PST	Yes	DHA	USGS	4.38	11.1				Good	0.00	0.50		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	11.1	18.0	11.6	0.96	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	34	1964-02-28 16:05:00	PST	Yes	DHA/CJB	USGS	4.75	38.3				Excellent	0.00	0.50		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	38.3	36.0	31.7	1.21	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	35	1964-03-18 13:35:00	PST	Yes	CFS	USGS	6.83	429				Good	-0.06	0.80		MEAS	1	Imported Channel 1	CWAY	QSCMM	unkno	429	49.0	160	2.68	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	36	1964-04-02 11:50:00	PST	Yes	DHA	USGS	5.72	174				Excellent	-0.02	0.50		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	174	53.0	80.9	2.15	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	37	1964-05-06 18:05:00	PDT	Yes	LH	USGS	4.71	31.3				Good	0.00	0.50		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	31.3	33.0	33.9	0.92	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	38	1964-06-03 10:00:00	PDT	Yes	JD	USGS	4.31	6.89				Good	0.00	0.70		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	6.89	33.0	24.4	0.28	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	39	1964-07-15 09:40:00	PDT	Yes	JKH	USGS	4.17	2.88				Good	0.00	0.50		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	2.88	8.70	4.39	0.66	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	40	1964-08-13 14:05:00	PDT	Yes	JKH	USGS	4.13	2.09				Good	0.00	0.50		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	2.09	8.80	4.19	0.50	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	41	1964-09-11 12:55:00	PDT	Yes	JKH	USGS	4.11	2.00				Good	0.00	0.50		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	2.00	8.90	4.15	0.48	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	42	1964-10-23 12:45:00	PDT	Yes	JKH	USGS	4.20	2.80				Good	0.00	0.50		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	2.80	9.10	4.86	0.58	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	43	1964-11-27 12:05:00	PST	Yes	CJB	USGS	4.47	14.0				Good	0.02	0.50		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	14.0	29.0	22.4	0.62	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	44	1964-12-23 15:30:00	PST	Yes	LH	USGS	12.28	3010				Unspecified	-0.64	1.00		MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	3010	58.0	448	6.72	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	45	1965-01-19 15:20:00	PST	Yes	CJB/REL	USGS	5.50	145				Good	0.00	0.50		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	145	48.0	68.3	2.12	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	46	1965-02-23 13:15:00	PST	Yes	CJB	USGS	5.56	165				Good	-0.01	0.50		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	165	52.0	73.8	2.24	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	47	1965-03-15 14:05:00	PST	Yes	CJB	USGS	4.94	70.2				Good	0.00	0.50		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	70.2	35.0	46.0	1.53	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	48	1965-04-19 14:10:00	PST	Yes	CJB	USGS	4.91	56.2				Good	0.03	0.50		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	56.2	35.0	42.4	1.33	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	49	1965-05-24 14:20:00	PDT	Yes	CJB	USGS	4.52	22.0				Good	0.00	0.70		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	22.0	33.0	26.4	0.83	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	50	1965-07-12 15:00:00	PDT	Yes	CJB	USGS	4.12	3.26				Good	0.00	0.60		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	3.26	9.30	4.37	0.75	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	51	1965-08-17 13:15:00	PDT	Yes	CJB	USGS	4.08	2.52				Good	0.00	0.50		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	2.52	9.30	4.09	0.62	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	52	1965-09-21 11:15:00	PDT	Yes	CJB	USGS	4.10	2.51				Good	0.00	0.60		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	2.51	9.30	4.24	0.59	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	53	1965-10-26 10:30:00	PDT	Yes	REL	USGS	4.14	3.34				Good	0.00	0.70		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	3.34	17.0	8.73	0.38	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	54	1965-12-07 13:30:00	PST	Yes	CJB	USGS	4.22	6.23				Good	0.00	0.50		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	6.23	23.0	11.8	0.53	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	55	1966-01-10 10:05:00	PST	Yes	JKH	USGS	5.05	73.9				Good	0.00	0.70		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	73.9	46.0	49.4	1.51	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	56	1966-02-14 12:15:00	PST	Yes	JKH/JG	USGS	4.56	23.8				Good	-0.01			MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	23.8	34.8	30.7	0.78	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	58	1966-04-26 11:10:00	PDT	Yes	RAM/JKH	USGS	4.40	13.7				Good	0.00	1.10		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	13.7	24.4	17.4	0.79	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	57	1966-05-10 12:00:00	PDT	Yes	HC	USGS	6.70	419				Good	0.02	1.10		MEAS	1	Imported Channel 1	CWAY	QSCMM	unkno	419	51.0	150	2.79	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	59	1966-05-24 14:50:00	PDT	Yes	JKH	USGS	4.20	5.43				Fair	0.00	0.60		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	5.43	9.00	4.94	1.10	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	60	1966-06-22 15:15:00	PDT	Yes	JKH	USGS	4.06	2.37				Unspecified	0.00	0.50		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	2.37	8.80	3.73	0.64	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	61	1966-07-27 14:25:00	PDT	Yes	JKH	USGS	4.03	1.95				Fair	0.00	0.50		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	1.95	8.00	3.65	0.53	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	62	1966-09-01 10:05:00	PDT	Yes	JKH	USGS	3.99	1.39				Fair	0.00	0.40		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	1.39	7.00	2.96	0.47	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	63	1966-10-06 10:40:00	PDT	Yes	JKH	USGS	3.99	1.21				Fair	0.00	0.40		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	1.21	7.30	3.23	0.37	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	64	1966-11-04 09:52:00	PST	Yes	JKH	USGS	3.99	1.28				Fair	0.00	0.40		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	1.28	7.20	3.17	0.40	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	65	1966-12-16 14:50:00	PST	Yes	JKH	USGS	4.64	27.1				Good	-0.01	0.70		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	27.1	32.5	29.0	0.93	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	66	1967-01-27 12:45:00	PST	Yes	DEL/JKH	USGS	4.97	62.9				Good	0.02	0.50		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	62.9	41.5	42.9	1.47	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13349400	67	1967-03-09 12:00:00	PST	Yes	DEL	USGS	4.70	35.6				Good	0.00	0.70		MEAS	1	Imported Channel 1	WADE	QSCMM	unkno	35.6	34.0	33.7	1.06	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
