#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:59:55 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06768000 Platte River near Overton, Nebr.
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06768000	7X	1915-04-16		Yes	McNamara	USGS	1.95	2920				UNSP			UNSP	UNSP	1		UNSP	QSCMM		2920		1050	2.78	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06768000	8X	1915-04-24		Yes	McNamara	USGS	2.50	4550				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VPAA	4550		1740	2.61	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06768000	9X	1915-05-04		Yes	McNamara	USGS	2.85	8960				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VPAA	8960		2920	3.07	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06768000	10X	1915-05-13		Yes	McNamara	USGS	2.50	5140				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VPAA	5140		1440	2.65	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06768000	11X	1915-05-20		Yes	McNamara	USGS	2.55	5640				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VPAA	5640		2050	2.75	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06768000	12X	1915-05-29		Yes	McNamara	USGS	3.85	19300				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VPAA	19300		4950	3.99	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06768000	13X	1915-06-04		Yes	McNamara	USGS	2.90	9680				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VPAA	9680		2900	3.34	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06768000	14X	1915-06-11		Yes	DPWeeks	USGS	2.63	7100				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VPAA	7100		2490	2.85	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06768000	15X	1915-06-25		Yes	DPWeeks	USGS	2.05	4790				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VPAA	4790		1900	2.51	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06768000	16X	1915-07-08		Yes	DPWeeks	USGS	1.70	2520				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VPAA	2520		1190	2.12	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06768000	17X	1915-07-22		Yes	DPWeeks	USGS	1.70	2450				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VPAA	2450		1160	2.11	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06768000	18X	1915-08-07		Yes	DPWeeks	USGS	2.05	3950				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VPAA	3950		15600	2.55	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06768000	19X	1915-08-24		Yes	DPWeeks	USGS	2.38	4230				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VPAA	4230		2030	2.08	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06768000	20X	1915-09-08		Yes	Garrett	USGS	2.00	2590				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VPAA	2590		1220	2.11	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06768000	21X	1915-09-22		Yes	DPWeeks	USGS	2.20	2260				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VPAA	2260		1030	2.19	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06768000	22X	1915-10-07		Yes	DPWeeks	USGS	2.63	5040				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VPAA	5040		1920	2.62	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06768000	23X	1915-10-21		Yes	DPWeeks	USGS	2.59	3940				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VPAA	3940		1620	2.46	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06768000	1A	1931-01-05		Yes	Johnson	USGS	3.65	2670				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	2670				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06768000	2A	1931-02-09		Yes	Johnson	USGS	3.90	4330				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	4330				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06768000	3A	1931-03-25		Yes	Johnson	USGS	3.56	3480				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	3480				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06768000	4A	1931-04-17		Yes	Hall	USGS	3.40	2560				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	2560				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06768000	5A	1931-05-11		Yes	Johnson	USGS	3.52	2650				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	2650				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06768000	6A	1931-06-03		Yes	Johnson	USGS	2.05	37.0				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	37.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06768000	7A	1931-06-06		Yes	Johnson	USGS	2.45	161				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	161				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06768000	8A	1931-06-23		Yes	Johnson	USGS	2.23	60.0				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	60.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06768000	9A	1931-07-02		Yes	Johnson	USGS	1.57	0.000				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	0.000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06768000	10A	1931-07-03		Yes	Johnson	USGS	1.60	0.000				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	0.000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06768000	11A	1931-07-06		Yes	Johnson	USGS	1.83	3.00				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	3.00				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06768000	12A	1931-07-12		Yes	Johnson	USGS	1.70	0.000				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	0.000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06768000	13A	1931-07-13		Yes	Johnson	USGS	1.65	0.000				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	0.000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06768000	14A	1931-07-15		Yes	Johnson	USGS	1.48	0.000				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	0.000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06768000	15A	1931-07-31		Yes	Johnson	USGS	1.47	0.000				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	0.000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06768000	16A	1931-08-03		Yes	Johnson	USGS	1.20	0.000				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	0.000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06768000	17A	1931-08-15		Yes	Johnson	USGS	1.10	0.000				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	0.000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06768000	18A	1931-09-02		Yes	Johnson	USGS	0.90	0.000				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	0.000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06768000	19A	1931-09-13		Yes	Johnson	USGS	0.73	0.000				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	0.000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06768000	20A	1931-10-06		Yes	Johnson	USGS	0.85	0.000				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	0.000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06768000	21A	1931-10-28		Yes	Johnson	USGS	3.24	1780				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	1780				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06768000	22A	1931-11-27		Yes	Johnson	USGS	3.35	944				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	944				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06768000	23A	1932-01-05		Yes	Johnson	USGS	3.55	1450				UNSP			UNSP	UNSP	1		UNSP	QSCMM	VELC	1450				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
