#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:00:13 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06801000 Platte River near Ashland, Nebr.
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06801000	1A	1928-08-20		Yes	Follansb	USGS	0.49	2440				UNSP				UNSP	1		UNSP	QSCMM	VPAA	2440				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06801000	2A	1928-09-08		Yes	Spiegel	USGS	0.28	2070				UNSP	0.00			UNSP	1		UNSP	QSCMM	VPAA	2070				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06801000	3A	1928-09-22		Yes	LeFever	USGS	0.20	1830				UNSP	0.00			UNSP	1		UNSP	QSCMM	VPAA	1830				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06801000	4A	1928-10-27		Yes	LeFever	USGS	1.59	5000				UNSP	0.00			UNSP	1		UNSP	QSCMM	VPAA	5000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06801000	5A	1928-11-10		Yes	LeFever	USGS	2.30	7750				UNSP	0.00			UNSP	1		UNSP	QSCMM	VPAA	7750				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06801000	6A	1928-11-28		Yes	LeFever	USGS	2.09	6710				UNSP	0.00			UNSP	1		UNSP	QSCMM	VPAA	6710				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06801000	7A	1929-01-28		Yes	LeFever	USGS	3.00	2980				UNSP	0.00			UNSP	1		UNSP	QSCMM	VPAA	2980				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06801000	8A	1929-02-18		Yes	LeFever	USGS		3500				UNSP	0.00			UNSP	1		UNSP	QSCMM	VPAA	3500				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06801000	9A	1929-03-10		Yes	Hodges	USGS	5.08	13100				UNSP	0.00			UNSP	1		UNSP	QSCMM	VPAA	13100				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06801000	10A	1929-03-12		Yes	Hodges	USGS	4.42	23100				UNSP	0.00			UNSP	1		UNSP	QSCMM	VPAA	23100				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06801000	11A	1929-03-16		Yes	Hodges	USGS	3.04	19400				UNSP				UNSP	1		UNSP	QSCMM	VPAA	19400				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06801000	12A	1929-03-23		Yes	LeFerver	USGS	1.68	8980				UNSP	0.00			UNSP	1		UNSP	QSCMM	VPAA	8980				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06801000	13A	1929-04-15		Yes	Follansb	USGS	1.77	7830				UNSP	0.00			UNSP	1		UNSP	QSCMM	VPAA	7830				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06801000	14A	1929-04-28		Yes	Eisenhut	USGS	3.03	18300				UNSP	0.00			UNSP	1		UNSP	QSCMM	VPAA	18300				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06801000	15A	1929-05-27		Yes	LeFever	USGS	1.81	7160				UNSP	0.00			UNSP	1		UNSP	QSCMM	VPAA	7160				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06801000	16A	1929-06-13		Yes	LeFever	USGS	3.00	18000				UNSP				UNSP	1		UNSP	QSCMM	VPAA	18000				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06801000	17A	1929-07-01		Yes	LeFever	USGS	1.69	9290				UNSP				UNSP	1		UNSP	QSCMM	VPAA	9290				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06801000	18A	1929-07-12		Yes	Eisenhut	USGS	0.92	5810				UNSP	0.00			UNSP	1		UNSP	QSCMM	VPAA	5810				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06801000	19A	1929-08-01		Yes	Eisenhut	USGS	0.66	3790				UNSP				UNSP	1		UNSP	QSCMM	VPAA	3790				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
