#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:00:16 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06805500 Platte River at Louisville, Nebr.
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06805500	1C	1953-05-15		Yes	AND	USGS	5.54	10600		0.00		UNSP				MEAS	1	Unspecified	CRAN	QUNSP		10600	1220	4870	2.22	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06805500	2C	1953-05-18 12:50:00	CST	Yes	Burnmeis	USGS	5.24	8880				GOOD				UNSP	1		BRDS	QSCMM	VPAA	8880	1258	4040	2.20	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06805500	3C	1953-05-21 10:20:00	CST	Yes	Anderson	USGS	5.10	9430				GOOD				UNSP	1		WADE	QSCMM	VPAA	9430	1220	4010	2.35	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06805500	4C	1953-05-26 09:30:00	CST	Yes	Blessum	USGS	5.07	9050				GOOD				UNSP	1		WADE	QSCMM	VPAA	9050	1280	3560	2.54	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06805500	5C	1953-05-29 10:30:00	CST	Yes	Burnmeis	USGS	4.81	5560				GOOD				UNSP	1		WADE	QSCMM	VPAA	5560	1184	2840	1.96	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06805500	6C	1953-06-01 13:45:00	CST	Yes	Burnmeis	USGS	5.06	6940				GOOD				UNSP	1		WADE	QSCMM	VPAA	6940	1258	3270	2.12	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06805500	7C	1953-06-04 10:35:00	CST	Yes	Burnmeis	USGS	4.48	4660				GOOD				UNSP	1		WADE	QSCMM	VPAA	4660	950	2380	1.96	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06805500	8C	1953-06-08 14:00:00	CST	Yes	Anderson	USGS	4.88	6760				GOOD				UNSP	1		WADE	QSCMM	VPAA	6760	1250	2780	2.43	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06805500	9C	1953-06-12		Yes	BUR	USGS	5.69	10500		0.00		UNSP				MEAS	1	Unspecified	CRAN	QUNSP		10500			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06805500	10C	1953-06-15 12:30:00	CST	Yes	Anderson	USGS	5.01	7290				GOOD				UNSP	1		WADE	QSCMM	VPAA	7290	1270	3350	2.18	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06805500	11C	1953-06-19 09:30:00	CST	Yes	Anderson	USGS	4.21	3120				GOOD				UNSP	1		WADE	QSCMM	VPAA	3120	1080	1590	1.96	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06805500	12C	1953-06-21 18:00:00	CST	Yes	Burnmeis	USGS	4.06	2900				GOOD				UNSP	1		WADE	QSCMM	VPAA	2900	890	1610	1.80	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06805500	13C	1953-06-26 13:00:00	CST	Yes	Burnmeis	USGS	5.04	6290				GOOD				UNSP	1		WADE	QSCMM	VPAA	6290	1240	2760	2.28	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06805500	14C	1953-06-29 09:40:00	CST	Yes	Anderson	USGS	4.43	4030				GOOD				UNSP	1		WADE	QSCMM	VPAA	4030	1136	1850	2.18	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06805500	15C	1953-07-03 09:10:00	CST	Yes	Burnmeis	USGS	3.99	2350				GOOD				UNSP	1		WADE	QSCMM	VPAA	2350	914	1360	1.73	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06805500	16C	1953-07-06 11:00:00	CST	Yes	Anderson	USGS	4.17	2870				GOOD				UNSP	1		WADE	QSCMM	VPAA	2870	1018	1520	1.89	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
