#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:00:19 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06818750 Platte River near Diagonal, IA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06818750	1	1968-04-11 10:00:00	CST	Yes	CSL/VEM	USGS	4.01	2.92				GOOD			CLER	MEAS	1		UNSP	QSCMM		2.92	17.5	4.15	0.70	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06818750	2	1968-04-23 14:20:00	CST	Yes	WM	USGS	14.95	2390				GOOD			CLER	MEAS	1		UNSP	QSCMM		2390	110	836	2.86	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06818750	3	1968-04-23 15:40:00	CST	Yes	WM	USGS	15.07	2430				GOOD			CLER	MEAS	1		UNSP	QSCMM		2430	110	828	2.93	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06818750	4	1968-04-24 12:10:00	CST	Yes	CSL	USGS	6.79	298				GOOD			CLER	MEAS	1		UNSP	QSCMM		298	58.0	161	1.85	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06818750	5	1968-05-07 13:40:00	CDT	Yes	CSL	USGS	4.21	15.6				GOOD			CLER	MEAS	1		UNSP	QSCMM		15.6	31.5	14.2	1.10	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06818750	6	1968-06-05 08:25:00	CDT	Yes	VEM	USGS	4.04	9.61				GOOD			CLER	MEAS	1		UNSP	QSCMM		9.61	25.5	10.2	0.94	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06818750	7	1968-07-03 08:45:00	CDT	Yes	WM	USGS	4.07	8.35				GOOD			CLER	MEAS	1		UNSP	QSCMM		8.35	24.0	8.18	1.02	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06818750	8	1968-08-07 09:15:00	CDT	Yes	JTF	USGS	4.50	27.0				GOOD			CLER	MEAS	1		UNSP	QSCMM		27.0	27.0	26.0	1.04	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06818750	9	1968-09-05 09:50:00	CDT	Yes	TJS	USGS	4.89	63.9				GOOD			CLER	MEAS	1		UNSP	QSCMM		63.9	31.0	46.9	1.36	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
