#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:00:30 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 01595000 NORTH BRANCH POTOMAC RIVER AT STEYER, MD
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	01595000	1	1956-07-27 11:00:00	EST	Yes	ELD/BCA	USGS	2.57	47.8		0.00		GOOD	0.00	0.75	CLER	MEAS	1	Unspecified	WADE	QUNSP		47.8	81.0	61.5	0.780	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01595000	2	1956-08-06 14:50:00	EST	Yes	BCA	USGS	5.70	1960		0.00		GOOD	-0.11	1.00	CLER	MEAS	1	Unspecified	CWAY	QUNSP		1960	134	439	4.46	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01595000	3	1956-08-07 07:45:00	EST	Yes	BCA	USGS	4.48	807.0		0.00		GOOD	0.03	1.33	CLER	MEAS	1	Unspecified	CWAY	QUNSP		807.0	103	269	2.99	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01595000	4	1956-08-08 09:55:00	EST	Yes	BCA/FLD	USGS	3.71	427.0		0.00		GOOD	-0.02	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		427.0	91.0	169	2.53	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01595000	5	1956-08-09 09:30:00	EST	Yes	BCA	USGS	3.35	274.0		0.00		GOOD	0.00	0.75	CLER	MEAS	1	Unspecified	WADE	QUNSP		274.0	89.0	137	2.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01595000	6	1956-09-07 13:20:00	EST	Yes	EHM	USGS	2.65	65.0		0.00		GOOD	-0.01	0.75	CLER	MEAS	1	Unspecified	WADE	QUNSP		65.0	87.0	106	0.610	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01595000	7	1956-11-05 16:15:00	EST	Yes	BCA	USGS	2.72	83.1		0.00		GOOD	0.00	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		83.1	92.0	78.0	1.07	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01595000	8	1956-11-15 11:35:00	EST	Yes	EHM	USGS	2.53	42.2		0.00		GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		42.2	88.0	86.0	0.490	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01595000	9	1956-12-10 13:35:00	EST	Yes	BCA	USGS	3.71	430.0		0.00		GOOD	-0.01	0.75	CLER	MEAS	1	Unspecified	CRAN	QUNSP		430.0	91.0	189	2.28	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01595000	10	1957-01-09 13:30:00	EST	Yes	BCA	USGS	3.19	220.0		0.00		GOOD	-0.03	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		220.0	87.0	119	1.87	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01595000	11	1957-01-10 12:15:00	EST	Yes	BCA	USGS	5.79	1900		0.00		GOOD	-0.02	0.67	CLER	MEAS	1	Unspecified	CWAY	QUNSP		1900	143	431	4.41	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01595000	12	1957-02-18 14:10:00	EST	Yes	EHM	USGS	3.12	184.0		0.00		GOOD	0.05	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		184.0	88.0	112	1.64	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01595000	13	1957-03-06 14:40:00	EST	Yes	BCA	USGS	3.10	199.0		0.00		GOOD	0.00	0.75	CLER	MEAS	1	Unspecified	WADE	QUNSP		199.0	88.0	114	1.75	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01595000	14	1957-04-10 10:05:00	EST	Yes	BCA	USGS	3.49	321.0		0.00		GOOD	0.00	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		321.0	90.0	145	2.21	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01595000	15	1957-05-09 17:05:00	EST	Yes	EHM	USGS	2.55	43.4		0.00		GOOD	-0.01	0.75	CLER	MEAS	1	Unspecified	WADE	QUNSP		43.4	85.0	94.3	0.460	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01595000	16	1957-06-04 13:00:00	EST	Yes	BCA	USGS	2.45	30.9		0.00		GOOD	0.00	0.83	CLER	MEAS	1	Unspecified	WADE	QUNSP		30.9	83.5	49.6	0.620	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01595000	17	1957-07-15 10:30:00	EST	Yes	BCA	USGS	2.26	11.7		0.00		GOOD	0.00	0.83	CLER	MEAS	1	Unspecified	WADE	QUNSP		11.7	78.0	82.8	0.140	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01595000	18	1957-07-29 11:10:00	EST	Yes	BCA	USGS	2.29	14.2		0.00		GOOD	0.00	0.67	CLER	MEAS	1	Unspecified	WADE	QUNSP		14.2	81.0	86.0	0.170	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01595000	19	1957-08-02 11:10:00	EST	Yes	BCA	USGS	2.19	6.42		0.00		GOOD	0.00	0.83	CLER	MEAS	1	Unspecified	WADE	QUNSP		6.42	58.0	36.0	0.170	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01595000	20	1957-08-29 10:00:00	EST	Yes	BCA	USGS	2.12	3.30		0.00		GOOD	0.00	0.75	CLER	MEAS	1	Unspecified	WADE	QUNSP		3.30	50.0	28.7	0.110	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01595000	21	1957-10-03 12:45:00	EST	Yes	BCA	USGS	2.15	5.09		0.00		GOOD	0.00	0.83	CLER	MEAS	1	Unspecified	WADE	QUNSP		5.09	57.0	22.8	0.220	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01595000	22	1957-11-13 14:45:00	EST	Yes	BCA	USGS	2.54	44.8		0.00		GOOD	0.00	0.67	CLER	MEAS	1	Unspecified	WADE	QUNSP		44.8	85.0	357	0.780	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01595000	23	1957-12-10 10:20:00	EST	Yes	BCA	USGS	3.58	391.0		0.00		GOOD	-0.01	0.67	CLER	MEAS	1	Unspecified	CRAN	QUNSP		391.0	91.0	190	2.06	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01595000	24	1957-12-27 13:30:00	EST	Yes	AGT/BCA	USGS	3.98	600.0		0.00		GOOD	-0.03	0.87	CLER	MEAS	1	Unspecified	CWAY	QUNSP		600.0	95.0	228	2.63	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01595000	25	1958-03-04 12:05:00	EST	Yes	BCA	USGS	3.30	262.0		0.00		GOOD	0.00	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		262.0	89.0	134	1.96	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01595000	26	1958-04-03 13:00:00	EST	Yes	BCA	USGS	3.84	530.0		0.00		GOOD	0.01	0.67	CLER	MEAS	1	Unspecified	CWAY	QUNSP		530.0	92.0	210	2.52	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01595000	27	1958-04-24 12:05:00	EST	Yes	BCA	USGS	2.98	153.0		0.00		GOOD	0.02	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		153.0	91.0	99.6	1.54	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01595000	28	1958-05-17 11:50:00	EST	Yes	BCA	USGS	2.78	101.0		0.00		GOOD	0.00	0.75	CLER	MEAS	1	Unspecified	WADE	QUNSP		101.0	93.0	84.5	1.20	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01595000	29	1958-07-02 10:50:00	EST	Yes	BCA	USGS	2.31	15.4		0.00		GOOD	0.00	0.60	CLER	MEAS	1	Unspecified	WADE	QUNSP		15.4	70.0	47.7	0.320	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	01595000	30	1958-07-30 09:00:00	EST	Yes	AAV	USGS	3.03	173.0		0.00		GOOD	0.00	1.00	CLER	MEAS	1	Unspecified	WADE	QUNSP		173.0	87.0	106	1.63	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
