#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:00:50 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06313500 POWDER RIVER AT SUSSEX, WY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06313500	364a	1978-05-19		Yes	Druse	USGS	15.16	24000				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		24000				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06313500	366	1978-05-24		Yes	Curry	USGS	5.38	2530				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		2530				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06313500	367	1978-06-14		Yes	William	USGS	4.22	1090				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		1090				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06313500	380	1979-05-20		Yes	Logan	USGS	3.36	404				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		404				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06313500	382	1979-05-22		Yes	William	USGS	3.76	476				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		476				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06313500	402	1980-10-08		Yes	WRG/LLR	USGS	2.50	63.9				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	63.9	66.0	56.2	1.14	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06313500	403	1980-11-06		Yes	WRG	USGS	2.90	143				Fair	0.02	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	143	79.0	88.9	1.61	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06313500	404	1980-12-09		Yes	WRG/KRW	USGS	2.86	101				Fair	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	101	58.0	61.1	1.65	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06313500	405	1981-01-07		Yes	LLR/KRW	USGS	2.94	126				Fair	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	126	101	82.2	1.53	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06313500	406	1981-02-04		Yes	WRG/KRW	USGS	3.32	88.3				Fair	0.05	0.60	IceCover	MEAS	1	Imported Channel 1	ICE	QSCMM	unkno	88.3	112	77.6	1.14	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06313500	407	1981-03-03		Yes	KRW/LLR	USGS	3.01	142				Fair	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	142	100	93.7	1.52	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06313500	408	1981-04-07		Yes	KRW/WRG	USGS	3.11	160				Good	0.01	0.80		MEAS	1	Imported Channel 1	WADE	unspe	unkno	160	96.0	97.0	1.65	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06313500	409	1981-05-04		Yes	WRG/KRW	USGS	3.21	193				Fair	0.01	0.40		MEAS	1	Imported Channel 1	WADE	unspe	unkno	193	119	109	1.77	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06313500	410	1981-05-22		Yes	WRG	USGS	3.54	355				Good	0.00	0.40		MEAS	1	Imported Channel 1	WADE	unspe	unkno	355	109	150	2.37	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06313500	411	1981-05-27		Yes	WRG	USGS	3.87	606				Good	-0.01	0.40		MEAS	1	Imported Channel 1	WADE	unspe	unkno	606	99.0	206	2.94	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06313500	412	1981-06-04		Yes	WRG	USGS	3.67	408				Good	-0.01	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	408	128	154	2.65	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
