#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:00:52 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06317000 POWDER RIVER AT ARVADA, WY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06317000	85	1937-07-14		Yes	LFH	USGS	7.67	13000				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		13000				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06317000	545	1956-06-16		Yes	Custis	USGS	8.16	7080				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		7080				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06317000	702	1962-05-23		Yes	Custis	USGS	15.50	31900				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		31900				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06317000	732	1964-06-23		Yes	McCollam	USGS	11.00	13600				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		13600				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06317000	906	1978-05-19		Yes	Pederson	USGS	13.20	15500				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		15500				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06317000	938	1980-10-08		Yes	GJM	USGS	2.77	73.7				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	73.7	58.0	58.8	1.25	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06317000	939	1980-11-12		Yes	GJM/CDN	USGS	3.18	156				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	156	83.0	84.1	1.86	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06317000	940	1980-12-10		Yes	CDN/GJM	USGS	3.98	96.6				Fair	0.05	0.80	IceCover	MEAS	1	Imported Channel 1	ICE	QSCMM	unkno	96.6	141	146	0.66	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06317000	941	1981-01-06		Yes	GJM/CDN	USGS	3.79	193				Good	-0.04	0.90		MEAS	1	Imported Channel 1	WADE	unspe	unkno	193	104	196	0.99	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06317000	942	1981-02-06		Yes	CDN/GJM	USGS	3.90	71.8				Poor	0.02	1.00	IceCover	MEAS	1	Imported Channel 1	ICE	QSCMM	unkno	71.8	90.0	96.9	0.74	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06317000	943	1981-03-04		Yes	GJM/CDN	USGS	3.25	171				Good	0.00	1.30	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	171	100	90.4	1.89	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06317000	944	1981-04-09		Yes	CDN/GJM	USGS	3.39	145				Fair	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	145	89.0	87.2	1.66	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
