#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:00:54 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06324500 Powder River at Moorhead MT
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06324500	182	1952-05-25		Yes	BEK	USGS	10.67	15300				Poor				MEAS	1	Imported Channel 1	OTHR	other		15300				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06324500	299	1962-06-07		Yes	FCB/KLT	USGS	11.75	19900				Unspecified				MEAS	1	Imported Channel 1	OTHR	other		19900				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06324500	311	1963-06-07		Yes	KLT/A.S	USGS	5.35	3480				Good	-0.04	0.80	Clear	MEAS	1	Imported Channel 1	UNSP	other		3480				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06324500	312	1963-06-18		Yes	KLT/T.S	USGS	5.68	4000				Good	0.00	0.30	Clear	MEAS	1	Imported Channel 1	UNSP	other		4000				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06324500	324	1964-06-10		Yes	KLT	USGS	5.67	4420				Fair	-0.04	1.20	Clear	MEAS	1	Imported Channel 1	UNSP	other		4420				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06324500	325	1964-06-24		Yes	WHI	USGS		9130				Fair	-0.60	1.30		MEAS	1	Imported Channel 1	UNSP	other		9130				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06324500	338	1965-06-17		Yes	WJP	USGS	5.25	3380				Fair	-0.04	1.10		MEAS	1	Imported Channel 1	UNSP	other		3380				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06324500	365	1967-06-20		Yes	DEG	USGS	5.70	3970				Fair	-0.03	0.90		MEAS	1	Imported Channel 1	UNSP	other		3970				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06324500	366	1967-06-29		Yes	DEG	USGS	5.41	3570				Good	0.02	0.80		MEAS	1	Imported Channel 1	UNSP	other		3570				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
