#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:00:54 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06324710 Powder River at Broadus MT
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06324710	8	1976-05-26		Yes	TIF/WJP	USGS	5.17	2630				Unspecified	0.00	1.10		MEAS	1	Imported Channel 1	UNSP	other		2630				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06324710	20	1977-05-16		Yes	JLF	USGS	5.70	3230				Fair	0.15	1.90	Clear	MEAS	1	Imported Channel 1	UNSP	other		3230				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06324710	31	1978-03-23		Yes	MKW	USGS	5.26	2930				Fair	-0.12	1.00	Clear	MEAS	1	Imported Channel 1	UNSP	other		2930				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06324710	33	1978-05-18		Yes	JLF	USGS	7.18	6300				Fair	0.46	4.00	Clear	MEAS	1	Imported Channel 1	UNSP	other		6300				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06324710	34	1978-05-20		Yes	DEG/JC	USGS	11.95	20500				Good	-0.05	3.80	Clear	MEAS	1	Imported Channel 1	UNSP	other		20500				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06324710	35	1978-05-21		Yes	MKW/RC	USGS	12.78	29800				Fair	0.25	2.20	Clear	MEAS	1	Imported Channel 1	UNSP	other		29800				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06324710	36	1978-05-22		Yes	JLF/JDS	USGS	7.78	9520				Good	-0.17	2.10	Clear	MEAS	1	Imported Channel 1	UNSP	other		9520				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06324710	37	1978-05-23		Yes	JLF	USGS	6730.00	1.00				Unspecified	14.50		Clear	STOR	1	Imported Channel 1	UNSP	other		1.00				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06324710	38	1978-06-05		Yes	JLF/GOL	USGS	4.64	3490				Good	0.00	2.10	Clear	MEAS	1	Imported Channel 1	UNSP	other		3490				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06324710	39	1978-09-01		Yes	j	USGS		236				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		236				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06324710	40	1978-10-17		Yes	c/w	USGS		287				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		287				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06324710	127	1983-09-17		Yes	J.C	USGS	0.34	60.1				Good	-0.01	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	60.1	65.0	60.4	1.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06324710	128	1983-10-05		Yes	BMB	USGS	0.76	139				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	139	108	94.7	1.47	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06324710	129	1984-03-10		Yes	J.C	USGS	1.54	451				Fair	0.04	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	451	138	189	2.39	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	06324710	130	1984-03-21		Yes	BMB	USGS	2.53	1010				Fair	0.00	1.20	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	1010	128	398	2.54	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
