#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:00:57 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 13277000 POWDER RIVER AT BAKER CITY, OR
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	13277000	139	1984-08-16		Yes	WDE	USGS	2.74	220				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	220	35.0	72.9	2.91	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13277000	140	1984-10-15		Yes	WDE	USGS	1.15	23.2				Good	0.00	0.30	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	23.2	26.0	22.6	1.03	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13277000	141	1985-01-09		Yes	JKP	USGS	1.78	24.3				Good	0.00	0.40	IceCover	MEAS	1	Imported Channel 1	WADE	unspe	unkno	24.3	39.5	14.8	1.64	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13277000	142	1985-02-13		Yes	RES	USGS	3.77	44.9				Good	0.30	0.50	IceCover	MEAS	1	Imported Channel 1	WADE	unspe	unkno	44.9	22.0	17.1	2.63	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13277000	143	1985-03-28		Yes	JKP	USGS	1.48	54.7				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	54.7	33.0	43.2	1.27	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13277000	144	1985-05-20		Yes	JKP	USGS	2.95	282				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	282	41.0	96.0	2.94	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13277000	145	1985-07-30		Yes	JKP	USGS	3.30	363				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	363	44.0	106	3.42	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13277000	146	1985-10-03		Yes	JKP	USGS	1.00	18.3				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	18.3	30.0	28.4	0.64	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13277000	147	1985-12-27		Yes	KS	USGS	2.15	13.9				Good	0.02	0.50	IceCover	MEAS	1	Imported Channel 1	WADE	unspe	unkno	13.9	28.5	17.5	0.79	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13277000	148	1986-01-06		Yes	JKP	USGS	2.54	21.6				Fair	0.01	0.30	IceCover	MEAS	1	Imported Channel 1	WADE	unspe	unkno	21.6	24.0	24.2	0.89	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13277000	149	1986-03-05		Yes	JKP	USGS	1.89	101				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	101	36.0	53.7	1.88	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13277000	150	1986-04-30		Yes	JKP	USGS	2.66	234				Good	-0.06	0.50	Clear	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	234	44.0	84.1	2.78	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13277000	151	1986-06-25		Yes	JKP	USGS	2.39	172				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	172	40.0	75.3	2.28	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13277000	152	1986-08-18		Yes	JKP	USGS	2.60	210				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	210	40.0	81.0	2.59	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13277000	153	1986-10-20		Yes	JKP	USGS	1.03	19.4				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	19.4	31.0	25.3	0.77	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13277000	154	1986-12-10		Yes	JKP	USGS	1.60	29.5				Poor	-0.04	0.70	IceCover	MEAS	1	Imported Channel 1	WADE	unspe	unkno	29.5	34.0	36.4	0.81	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13277000	155	1987-01-13		Yes	KS	USGS	1.64	14.6				Good	-0.01	0.50	IceCover	MEAS	1	Imported Channel 1	WADE	unspe	unkno	14.6	38.1	12.9	1.13	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13277000	156	1987-02-04		Yes	JKP	USGS	1.94	35.0				Poor	0.02	0.30	IceCover	MEAS	1	Imported Channel 1	WADE	unspe	unkno	35.0	38.0	20.4	0.63	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13277000	157	1987-02-11		Yes	KS	USGS	1.11	24.3				Unspecified	0.00	0.30	IceShore	MEAS	1	Imported Channel 1	WADE	unspe	unkno	24.3	36.0	17.9	1.36	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13277000	158	1987-04-01		Yes	JKP	USGS	1.06	22.5				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	22.5	33.0	25.4	0.89	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13277000	159	1987-05-27		Yes	JKP	USGS	2.13	124				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	124	35.0	59.0	2.10	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13277000	160	1987-07-23		Yes	JKP	USGS	1.79	80.0				Good	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	80.0	34.5	52.0	1.54	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13277000	161	1987-09-08		Yes	JKP	USGS	1.45	48.8				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	48.8	33.0	41.1	1.19	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13277000	162	1987-11-12		Yes	JKP	USGS	0.76	7.64				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	7.64	28.0	19.6	0.39	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13277000	163	1987-12-01		Yes	R/S	USGS	0.76	8.43				Good	0.00	0.40		MEAS	1	Imported Channel 1	WADE	unspe	unkno	8.43	25.5	16.3	0.52	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13277000	164	1988-01-11		Yes	JKP	USGS	1.40	13.8				Fair	0.02	0.70	IceCover	MEAS	1	Imported Channel 1	WADE	unspe	unkno	13.8	25.0	16.1	0.86	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13277000	165	1988-02-11 09:45:00	PST	Yes	S	USGS	2.01	42.2				Good	0.00	0.50	IceCover	MEAS	1	Imported Channel 1	WADE	unspe	unkno	42.2	41.1	24.2	1.74	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13277000	166	1988-03-08		Yes	JKP	USGS	1.26	32.0				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	32.0	31.5	34.0	0.94	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13277000	167	1988-05-10		Yes	JKP	USGS	2.23	130				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	130	40.0	69.3	1.88	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13277000	168	1988-06-27 14:15:00	PDT	Yes	JKP	USGS	1.95	97.5				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	97.5	33.5	56.7	1.72	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13277000	169	1988-08-23 14:10:00	PDT	Yes	JKP	USGS	1.60	59.1				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	59.1	33.0	44.5	1.33	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13277000	170	1988-10-18 13:55:00	PDT	Yes	JKP	USGS	0.80	8.93				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	8.93	29.0	20.4	0.44	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13277000	171	1988-11-29 15:30:00	PST	Yes	R	USGS	0.82	9.13				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	9.13	22.4	12.9	0.71	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13277000	172	1988-12-13 13:35:00	PST	Yes	JKP	USGS	0.83	9.91				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	9.91	28.0	20.8	0.48	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13277000	173	1989-01-17 11:02:00	PST	Yes	KS	USGS	1.56	9.19				Good	0.01	0.50	IceCover	MEAS	1	Imported Channel 1	WADE	unspe	unkno	9.19	33.5	10.7	0.86	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13277000	174	1989-04-05 08:30:00	PDT	Yes	JKP	USGS	1.52	51.7				Excellent	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	51.7	33.0	41.6	1.24	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13277000	175	1989-06-08 11:17:00	PDT	Yes	JKP	USGS	2.44	167				Excellent			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	167	37.0	73.4	2.28	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13277000	176	1989-08-02 14:20:00	PDT	Yes	JKP	USGS	2.79	224				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	224	37.5	85.4	2.62	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13277000	177	1989-10-03 13:20:00	PDT	Yes	JKP	USGS	0.56	2.91				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	2.91	17.6	8.37	0.35	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13277000	178	1989-11-21 13:10:00	PST	Yes	JKP	USGS	0.93	12.8				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	12.8	21.0	16.6	0.77	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13277000	179	1989-12-18 10:45:00	PST	Yes	KR	USGS	0.99	9.79				Good	0.01	0.50	IceCover	MEAS	1	Imported Channel 1	WADE	unspe	unkno	9.79	31.6	20.9	0.47	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13277000	180	1990-01-16 13:00:00	PST	Yes	JKP	USGS	0.98	15.4				Poor	0.00	0.30	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	15.4	21.0	17.5	0.88	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13277000	181	1990-02-14 13:50:00	PST	Yes	KR	USGS	1.48	34.7				Good	-0.12	0.30	IceCover	MEAS	1	Imported Channel 1	WADE	unspe	unkno	34.7	40.0	17.3	2.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13277000	182	1990-02-27 13:10:00	PST	Yes	JKP	USGS	1.32	33.6				Fair	0.07	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	33.6	33.5	39.1	0.86	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13277000	183	1990-04-23 14:37:00	PDT	Yes	JKP	USGS	2.24	128				Excellent	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	128	40.5	51.2	2.50	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
