#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:00:58 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 13285500 POWDER R BL T VLY RES NR NORTH POWDER,OREG.
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	13285500	48	1984-09-27		Yes	JKP	USGS	6.04	174				Excellent	0.00	0.40	Clear	UNSP	1	Imported Channel 1	WADE	unspe	unkno	174	56.0	74.6	2.33	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13285500	49	1984-11-16		Yes	JKP	USGS	6.11	195				Excellent	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	195	57.0	77.1	2.53	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13285500	50	1985-01-11		Yes	JKP/RES	USGS	5.85	142				Excellent	0.00	0.30	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	142	57.0	67.8	2.09	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13285500	51	1985-03-06		Yes	JKP	USGS	6.17	207				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	207	57.0	82.2	2.52	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13285500	52	1985-05-08		Yes	JKP	USGS	6.50	300				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	300	80.0	120	2.50	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13285500	53	1985-07-11		Yes	JKP	USGS	5.84	137				Good	0.00	0.30	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	137	57.0	64.5	2.12	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13285500	54	1985-09-19		Yes	JKP	USGS	5.69	114				Good	0.00	0.50	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	114	56.0	57.0	2.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13285500	55	1985-11-14		Yes	JKP	USGS	4.55	2.80				Good	0.00	0.50	IceCover	MEAS	1	Imported Channel 1	WADE	unspe	unkno	2.80	14.0	7.24	0.39	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13285500	56	1986-01-15		Yes	JKP	USGS	5.62	107				Good			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	107	53.0	54.1	1.98	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13285500	57	1986-03-06		Yes	JKP	USGS	7.18	580				Excellent	0.00	0.50	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	580	92.0	300	1.93	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13285500	58	1986-05-01		Yes	JKP	USGS	6.43	290				Excellent	0.00	0.50	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	290	78.0	120	3.04	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13285500	59	1986-06-26		Yes	JKP	USGS	5.52	81.5				Excellent	0.00	0.50	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	81.5	54.0	49.6	1.64	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13285500	60	1986-08-19		Yes	JKP	USGS	5.74	118				Excellent	0.00	0.50	DebrisLight	MEAS	1	Imported Channel 1	WADE	unspe	unkno	118	57.0	59.9	1.97	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
