#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:01:42 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 01124151 QUINEBAUG RIVER AT WEST THOMPSON, CT
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	01124151	111	1985-09-18		Yes	BSD	USGS	1.22	131				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	131	61.0	90.8	1.44	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01124151	112	1986-01-06		Yes	RJC/DAB	USGS	2.00	332				Good	0.01	1.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	332	70.0	149	2.23	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01124151	113	1986-03-06		Yes	DAB	USGS	1.97	317				Good	0.00	2.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	317	69.0	147	2.16	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01124151	114	1986-04-17		Yes	BSD/DAB	USGS	1.59	222				Good	0.00	1.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	222	69.0	119	1.87	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01124151	115	1986-07-25		Yes	RJC	USGS	0.57	47.2				Good	0.00	1.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	47.2	61.0	53.4	0.88	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01124151	116	1986-09-30		Yes	JMC	USGS	0.37	23.9				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	23.9	43.0	24.1	0.99	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01124151	117	1987-02-20		Yes	JRM/BSD	USGS	1.11	121				Good	0.01	1.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	121	63.0	77.4	1.56	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01124151	118	1987-05-22		Yes	JRM	USGS	1.38	170				Good	0.03	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	170	64.0	107	1.59	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01124151	119	1987-06-30 13:32:00	EDT	Yes	JRM/MEM	USGS	0.78	64.5				Good	0.00	1.00	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	64.5	63.0	71.0	0.91	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01124151	120	1987-07-31 11:07:00	EDT	Yes	JRM	USGS	0.28	16.4				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	16.4	24.0	24.0	0.68	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01124151	121	1987-10-06 11:46:00	EDT	Yes	JRM	USGS	1.88	304				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	304	69.0	143	2.13	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01124151	122	1988-02-11 11:12:00	EST	Yes	SFB	USGS	1.58	209				Good	0.00	0.90	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	209	68.0	124	1.69	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01124151	123	1988-03-23 12:22:00	EST	Yes	SAB	USGS	1.54	201				Good	0.01	1.10	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	201	66.0	122	1.65	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01124151	124	1988-04-07 11:35:00	EDT	Yes	GPR/TMC	USGS	2.38	468				Good	0.00	0.50	Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	468	65.0	162	2.89	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01124151	125	1988-04-07 12:27:00	EDT	Yes	GPR/TMC	USGS	2.66	563				Good	-0.02	0.50	Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	563	65.0	178	3.16	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01124151	126	1988-06-06 12:47:00	EDT	Yes	SFB/JNF	USGS	1.45	182				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	182	67.0	117	1.55	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01124151	127	1988-09-30 13:52:00	EDT	Yes	SFB	USGS	0.71	56.8				Good	0.03	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	56.8	63.0	68.3	0.83	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01124151	128	1988-10-13 10:22:00	EDT	Yes	SFB	USGS	0.20	11.8				Good	0.01	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	11.8	46.0	19.4	0.61	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	01124151	129	1988-10-13 13:26:00	EDT	Yes	SFB/JM	USGS	0.27	15.8				Good	0.02	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	15.8	46.0	21.0	0.75	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
