#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:03:14 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 07337000 Red River at Index, AR
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	07337000	271	1970-10-15		Yes	Jacobs	USGS	12.39	24800				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	24800	521	8450	2.93	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07337000	272	1970-11-18		Yes	Meeker	USGS	8.69	10300				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	10300	503	5690	1.81	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07337000	273	1970-12-29		Yes	Jacobs	USGS	7.05	6310				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	6310	396	4500	1.40	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07337000	274	1971-01-26		Yes	Jacobs	USGS	6.00	4460				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	4460	390	3760	1.19	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07337000	275	1971-03-03		Yes	Meeker	USGS	6.90	6470				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	6470	396	4110	1.72	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07337000	276	1971-04-07		Yes	Jacobs	USGS	4.08	1880				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1880	380	1140	1.65	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07337000	277	1971-05-12		Yes	Meeker	USGS	9.74	13100				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	13100	499	5520	2.37	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07337000	278	1971-06-15		Yes	Meeker	USGS	4.84	2710				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2710	420	2640	1.03	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07337000	279	1971-07-21		Yes	Meeker	USGS	4.86	2640				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	2640	394	3030	0.87	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07337000	280	1971-08-25		Yes	Meeker	USGS	5.90	4910				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	4910	400	3690	1.36	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07337000	281	1971-09-28		Yes	Meeker	USGS	3.03	1030				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1030	215	900	1.14	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07337000	282	1971-11-03		Yes	Jacobs	USGS	7.08	4650				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	4650	396	4460	1.04	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07337000	283	1971-12-11		Yes	OJJ	USGS	21.26	103000				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	103000	551	14100	7.30	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07337000	284	1971-12-13		Yes	Jacobs	USGS	24.97	130000				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	130000	671	18200	7.14	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07337000	285	1972-01-25		Yes	Jacobs	USGS	7.50	6850				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	6850	404	8020	0.85	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07337000	286	1972-02-25		Yes	Jacobs	USGS	6.28	5050				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	5050	402	7480	0.68	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07337000	287	1972-03-22		Yes	Jacobs	USGS	6.27	5090				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	5090	402	7620	0.67	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07337000	288	1972-04-25		Yes	Jacobs	USGS	11.54	17800				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	17800	538	10500	1.70	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07337000	289	1972-05-31		Yes	Meeker	USGS	6.13	5340				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	5340	404	7250	0.74	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07337000	290	1972-07-11		Yes	Meeker	USGS	3.59	1330				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1330	212	949	1.40	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07337000	291	1972-08-11		Yes	Meeker	USGS	3.36	1200				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1200	2230	875	1.37	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07337000	292	1972-09-18		Yes	Meeker	USGS	3.64	1550				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	1550	218	820	1.89	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07337000	293	1972-10-26		Yes	Meeker	USGS	5.96	5040				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	5040	402	7020	0.73	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07337000	294	1972-11-02		Yes	Meeker	USGS	17.57	56400				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	56400	566	13900	4.06	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07337000	295	1972-11-29		Yes	Meeker	USGS	6.75	6220				Unspecified				MEAS	1	Imported Channel 1	UNSP	QSCMM	unkno	6220	400	6590	0.94	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
