#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:03:15 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 07344370 Red River at Spring Bank, AR
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	07344370	4	1996-07-11 10:45:00	CDT	Yes	bbg/bdm	USGS	15.59	4410				Unspecified	0.00	2.40	Unspecifed	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	4410	464	2910	1.52	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	5	1996-07-25 11:00:00	CDT	Yes	bbg/dw	USGS	19.53	14600				Unspecified	-0.05	1.60		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	14600	513	5170	2.82	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	6	1996-09-30 11:30:00	CDT	Yes	bbg/rcs	USGS	26.71	60300				Unspecified	0.02	1.60		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	60300	551	11400	5.29	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	7	1997-09-19 13:45:00	CDT	Yes	bdm/dcs	USGS	13.52	4930				Fair	-0.01	2.10	Unspecifed	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	4930	444	2290	2.15	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	8	1998-01-19 15:45:00	CST	Yes	CKL/JJG	USGS	31.30	92600				Good			Unspecifed	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	92600	587		0.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	9	1998-06-11 11:50:00	CDT	Yes	DCS/BBG	USGS	16.02	7360				Good	0.00	2.90	Unspecifed	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	7360	494	6010	1.22	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	10	1999-09-03 11:00:00	CDT	Yes	DCS/RCS	USGS	14.98	5630				Good	0.01	2.00	Unspecifed	MEAS	1	Imported Channel 1	CRAN	unspe	unkno	5630	450	3850	1.46	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	11	1999-11-04 11:33:00	CST	Yes	WHK/BBG	USGS	12.82	2340				Good	0.03	2.60		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	2340	318	2780	0.84	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	12	2000-03-30 09:56:00	CST	Yes	WHK/BBG	USGS	16.71	8960				Good	0.04	2.00		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	8960	499	4080	1.11	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	13	2000-08-01 10:10:00	CDT	Yes	BBG/DCS	USGS	15.11	6880				Good	0.07	1.80		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	6880	483	6260	1.10	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	14	2000-10-11 11:00:00	CDT	Yes	WHK/ANW	USGS	13.06	3130				Good	-0.01	3.60		MEAS	1	Imported Channel 1	CRAN	unspe	unkno	3130	289	1900	1.65	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	15	2001-02-23 15:11:00	CST	Yes	WHK/BBG	USGS	30.23	78000				Poor	-0.04	0.40		MEAS	1	Imported Channel 1	BOAT	unspe	unkno	78000	1000	17700	4.40	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	16	2001-03-02 16:55:00	CST	Yes	BBG/WHK	USGS	32.75	127000				Fair	0.06	1.50		MEAS	1	Imported Channel 1	BOAT	unspe	unkno	127000	733	23700	5.36	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	17	2001-05-02 13:27:00	CDT	Yes	WHK/BBG	USGS	20.58	25600				Fair	-0.13	0.50		MEAS	1	Imported Channel 1	BOAT	unspe	unkno	25600	559	14100	1.82	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	18	2001-08-30 13:14:00	CDT	Yes	BBG/ANW	USGS	13.82	4830				Good	0.00	1.00		MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	4830	424	3640	1.33	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	19	2001-10-31 12:57:00	CST	Yes	ANW/WHK	USGS	16.47	11500				Good	0.00	0.50		MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	11500	598	5100	2.25	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	20	2002-02-13 14:32:00	CST	Yes	ANW/BBG	USGS	24.94	50200				Good	-0.05	0.50		MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	50200	717	13000	3.86	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	21	2002-03-25 14:33:00	CST	Yes	ANW/DCS	USGS	28.79	84500				Good	-0.04	0.50		MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	84500	778	13900	5.97	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	22	2002-05-30 12:55:00	CDT	Yes	ANW/BBG	USGS	16.66	12300				Good	0.08	1.00		MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	12300	498	5500	2.24	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	23	2002-08-19 12:24:00	CDT	Yes	ANW/BBG	USGS	13.63	5540				Good	0.00	1.00		MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	5540	401	3930	1.41	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	24	2002-12-19 13:26:00	CST	Yes	ANW/JCW	USGS	17.22	15300				Good	-0.05	3.00		MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	15300	686	6880	2.23	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	25	2003-02-13 11:37:00	CST	Yes	ANW/JCW	USGS	14.99	8190				Good	0.01	0.20	Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	8190	454	4720	1.73	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	26	2003-04-03 14:48:00	CST	Yes	BBG/RWT	USGS	15.56	11000				Fair	-0.05	0.60	Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	11000	501	5130	2.14	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	27	2003-06-11 11:56:00	CDT	Yes	JCW/ANW	USGS	13.80	5800				Good	-0.01	0.40	Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	5800	387	3950	1.47	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	28	2003-07-16 11:33:00	CDT	Yes	JCW/ANW	USGS	13.90	5920				Good	-0.01	0.40	Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	5920	374	3840	1.54	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	29	2003-10-01 14:56:00	CDT	Yes	BBG/RCS	USGS	12.66	3700				Good	0.01	0.50	Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	3700	257	1800	2.06	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	30	2003-10-28 14:12:00	CST	Yes	JCW/ANW	USGS	11.50	1910				Good	-0.01	0.40	Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	1910	429	2750	0.69	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	31	2003-12-08 12:32:00	CST	Yes	JCW/ANW	USGS	13.20	4270				Good	0.00	0.30	Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	4270	348	3400	1.26	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	32	2004-04-07 13:35:00	CDT	Yes	JCW/ANW	USGS	13.68	4700				Good	-0.01	0.20		MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	4700	196	1910	2.47	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	33	2004-06-14 13:40:00	CDT	Yes	JCW/ANW	USGS	14.08	5490				Good	-0.01	0.30	Clear	MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	5490	371	3430	1.60	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	34	2004-07-07 14:03:00	CDT	Yes	JCW/ANW	USGS	22.17	28500				Good	0.01	0.20		MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	28500	459	7130	4.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	35	2004-07-07 14:32:00	CDT	Yes	JCW/ANW	USGS	22.18	28600				Good	0.01	0.30		MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	28600	519	8190	3.49	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	36	2004-07-20 12:42:00	CDT	Yes	JCW/DCS	USGS	17.00	11700				Good	0.00	0.20		MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	11700	426	5050	2.32	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	37	2004-08-09 12:31:00	CDT	Yes	DCS/ANW	USGS	15.06	7920				Good	0.03	0.40		MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	7920	411	4480	1.77	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	38	2004-10-12 13:29:00	CDT	Yes	JCW/ANW	USGS	13.86	4970				Good	0.00	0.30		MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	4970	359	3890	1.28	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	39	2004-12-06 14:06:00	CST	Yes	JCW/ANW	USGS	26.37	57300				Good	-0.02	0.20		MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	57300	509	10900	5.26	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	40	2005-01-08 10:29:00	CST	Yes	ANW/DCS	USGS	29.46	93100				Good	-0.03	0.20		MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	93100	679	12900	7.22	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	41	2005-04-05 12:42:00	CDT	Yes	JCW/ANW	USGS	20.13	20300				Good	-0.03	1.70		MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	20300	485	6260	3.24	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	42	2005-05-06 13:54:00	CDT	Yes	JCW/ANW	USGS	14.03	5140				Good	0.00	0.20		MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	5140	398	4140	1.24	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	43	2005-06-09 11:58:00	CDT	Yes	JCW/ANW	USGS	12.97	3520				Good	0.00	0.20		MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	3520	351	3880	0.91	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	44	2005-08-04 12:25:00	CDT	Yes	ANW/RPJ	USGS	12.92	3270				Good	0.01	0.20		MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	3270	370	3800	0.86	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	45	2005-10-04 11:39:00	CDT	Yes	JCW/ANW	USGS	12.80	3110				Good	0.00	0.20		MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	3110	346	2350	1.33	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	46	2005-12-06 13:51:00	CST	Yes	JCW/ANW	USGS	11.39	1180				Good	-0.01	0.30		MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	1180	314	1890	0.62	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	47	2006-04-13 12:19:00	CDT	Yes	JCW/ANW	USGS	13.92	4710				Good	-0.02	0.30		MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	4710	429	3510	1.34	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	48	2006-07-12 11:53:00	CDT	Yes	JCW/ANW	USGS	11.91	1970				Good	0.02	0.30		MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	1970	379	2360	0.83	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	49	2006-09-01 13:19:00	CDT	Yes	JCW/DCS	USGS	12.01	2090				Good	0.00	0.20		MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	2090	293	2030	1.03	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	50	2006-10-23 12:04:00	CDT	Yes	DCS/ANW	USGS	13.83	5240				Good	0.02	0.40		MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	5240	407	2030	2.58	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	51	2006-12-07 12:36:00	CST	Yes	DCS/JCW	USGS	19.97	20500				Poor	-0.01	0.20		MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	20500	535	5110	4.01	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	52	2007-03-14 13:03:00	CDT	Yes	DCS/ANW	USGS	14.70	6950				Good	0.00	0.20		MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	6950	463	5850	1.19	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	53	2007-05-16 12:40:00	CDT	Yes	DCS/JCW	USGS	26.30	48300				Good	-0.01	0.20		MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	48300	558	10600	4.56	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	54	2007-07-02 14:53:00	CDT	Yes	DCS/JCW	USGS	30.56	81400				Fair	0.03	0.40		MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	81400	798	15200	5.36	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	07344370	55	2007-07-03 14:45:00	CDT	Yes	ANW/JCW	USGS	30.42	77500				Good	0.00	0.20		MEAS	1	Imported Channel 1	UNSP	QADCP	VADCP	77500	783	15100	5.13	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
