#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:03:34 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06824500 Republican River at Benkelman, Nebr.
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06824500	1	1946-12-17		Yes	Whitaker	USGS	3.73	103				UNSP	0.63		UNSP	UNSP	1		UNSP			103				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06824500	2	1946-12-24		Yes	Meininge	USGS	3.81	156				UNSP	0.44		UNSP	UNSP	1		UNSP			156				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06824500	3	1946-12-31		Yes	Meininge	USGS	3.88	45.5				UNSP	0.44		CICE	UNSP	1		ICE			45.5				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06824500	4	1947-01-07		Yes	Whitaker	USGS	4.43	96.0				UNSP	0.29		UNSP	UNSP	1		ICE			96.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06824500	5	1947-01-14		Yes	Meininge	USGS	4.50	122				UNSP	0.34		UNSP	UNSP	1		ICE			122				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06824500	6	1947-01-21		Yes	Meininge	USGS	4.35	98.0				UNSP	0.32		UNSP	UNSP	1		ICE			98.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06824500	7	1947-01-28		Yes	Meininge	USGS	4.08	106				UNSP	0.47		UNSP	UNSP	1		ICE			106				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06824500	8	1947-02-05		Yes	Meininge	USGS	4.26	125				UNSP	0.45		CICE	UNSP	1		ICE			125				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06824500	9	1947-02-11		Yes	Meininge	USGS	4.28	89.4				UNSP	0.44		UNSP	UNSP	1		ICE			89.4				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06824500	10	1947-02-17		Yes	Meininge	USGS	4.03	238				UNSP	0.31		UNSP	UNSP	1		UNSP			238				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06824500	11	1947-02-17 00:01:00	MST	Yes	GLW	USGS	4.03	252				UNSP			UNSP	UNSP	1		UNSP			252				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06824500	12	1947-02-24		Yes	Meininge	USGS	3.49	91.0				UNSP	0.46		UNSP	UNSP	1		UNSP			91.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06824500	13	1947-03-03		Yes	Meininge	USGS	3.84	103				UNSP	0.70		UNSP	UNSP	1		UNSP			103				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06824500	14	1947-03-10		Yes	Hulme	USGS	3.96	198				UNSP	0.42		UNSP	UNSP	1		UNSP			198				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06824500	15	1947-03-17		Yes	Hulme	USGS	3.90	132				UNSP	0.64		UNSP	UNSP	1		UNSP			132				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06824500	16	1947-03-20		Yes	Whitaker	USGS	4.34	551				UNSP	0.19		UNSP	UNSP	1		UNSP			551				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06824500	17	1947-03-24		Yes	Meininge	USGS	3.54	160				UNSP	0.15		UNSP	UNSP	1		UNSP			160				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06824500	18	1947-03-31		Yes	Meininge	USGS	3.72	132				UNSP	0.46		UNSP	UNSP	1		UNSP			132				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06824500	19	1947-04-08		Yes	Meininge	USGS	3.73	168				UNSP	0.31		UNSP	UNSP	1		UNSP			168				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06824500	20	1947-04-15		Yes	Meininge	USGS	3.68	134				UNSP	0.42		UNSP	UNSP	1		UNSP			134				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
