#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:03:44 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06849500 Republican River below Harlan County Dam, Nebr.
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06849500	1	1952-11-06		Yes	Zabel	USGS	5.38	98.4				UNSP	0.05		UNSP	UNSP	1		UNSP			98.4				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06849500	2	1952-11-10		Yes	Whitaker	USGS	5.35	81.0				UNSP	0.06		UNSP	UNSP	1		UNSP			81.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06849500	3	1952-11-18		Yes	Tomlin	USGS		55.9				UNSP	0.05		UNSP	UNSP	1		UNSP			55.9				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06849500	4	1952-12-02		Yes	Walker	USGS		62.6				UNSP	0.05		UNSP	UNSP	1		UNSP			62.6				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06849500	5	1952-12-12		Yes	Zabel	USGS	2.64	79.7				UNSP	0.19		UNSP	UNSP	1		UNSP			79.7				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06849500	6	1952-12-16		Yes	Tomlin	USGS	2.52	69.0				UNSP	0.13		UNSP	UNSP	1		UNSP			69.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06849500	7	1952-12-23		Yes	Henry	USGS	3.15	77.4				UNSP	0.13		CICE	UNSP	1		CWAY			77.4				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06849500	8	1952-12-30		Yes	Thompson	USGS	3.10	73.3				UNSP	0.13		CICE	UNSP	1		ICE			73.3				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06849500	9	1953-01-06		Yes	Henry	USGS	3.16	75.9				UNSP	0.13		CICE	UNSP	1		ICE			75.9				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06849500	10	1953-01-13		Yes	Tomlin	USGS	2.62	87.6				UNSP	0.13		CICE	UNSP	1		ICE			87.6				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06849500	11	1953-01-21		Yes	Zabel	USGS	3.08	268				UNSP	0.06		SICE	UNSP	1		UNSP			268				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06849500	12	1953-01-29		Yes	Zabel	USGS	3.87	798				UNSP	0.14		SICE	UNSP	1		UNSP			798				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06849500	13	1953-02-04		Yes	Zabel	USGS	3.80	868				UNSP	0.02		UNSP	UNSP	1		UNSP			868				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06849500	14	1953-02-09		Yes	Thompson	USGS	3.38	480				UNSP	0.02		SICE	UNSP	1		UNSP			480				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06849500	15	1953-02-18		Yes	Zabel	USGS	3.32	461				UNSP	0.04		UNSP	UNSP	1		UNSP			461				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06849500	16	1953-02-26		Yes	Tomlin	USGS	2.23	36.8				UNSP	0.04		UNSP	UNSP	1		UNSP			36.8				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06849500	17	1953-03-04		Yes	Thompson	USGS	2.27	45.3				UNSP	0.02		UNSP	UNSP	1		UNSP			45.3				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06849500	18	1953-03-10		Yes	Henry	USGS	2.19	34.4				UNSP	0.02		UNSP	UNSP	1		UNSP			34.4				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06849500	19	1953-03-17		Yes	Zabel	USGS	2.21	36.5				UNSP	0.02		UNSP	UNSP	1		UNSP			36.5				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06849500	20	1953-03-25		Yes	Walker	USGS	2.20	37.8				UNSP	0.05		UNSP	UNSP	1		UNSP			37.8				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06849500	21	1953-04-01		Yes	Zabel	USGS	2.15	28.1				UNSP	0.03		UNSP	UNSP	1		UNSP			28.1				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06849500	22	1953-04-06		Yes	Thompson	USGS	2.13	25.6				UNSP	0.03		UNSP	UNSP	1		UNSP			25.6				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06849500	23	1953-04-13		Yes	Walker	USGS	2.11	24.5				UNSP	0.02		UNSP	UNSP	1		UNSP			24.5				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06849500	24	1953-04-21		Yes	Walker	USGS	2.13	26.0				UNSP	0.02		UNSP	UNSP	1		UNSP			26.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06849500	25	1953-04-27		Yes	Thompson	USGS	2.16	30.1				UNSP	0.02		UNSP	UNSP	1		UNSP			30.1				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06849500	26	1953-05-04		Yes	Thompson	USGS	2.16	31.9				UNSP	0.01		UNSP	UNSP	1		UNSP			31.9				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06849500	27	1953-05-18		Yes	Thompson	USGS	2.19	29.9				UNSP	0.05		UNSP	UNSP	1		UNSP			29.9				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06849500	28	1953-06-01		Yes	Henry	USGS	2.15	30.9				UNSP	0.02		UNSP	UNSP	1		UNSP			30.9				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06849500	29	1953-06-16		Yes	Thompson	USGS	2.18	29.1				UNSP	0.05		UNSP	UNSP	1		UNSP			29.1				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06849500	30	1953-06-22		Yes	Walker	USGS	2.60	124				UNSP	0.05		UNSP	UNSP	1		UNSP			124				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06849500	31	1953-07-01		Yes	Thompson	USGS	2.46	71.0				UNSP	0.05		UNSP	UNSP	1		UNSP			71.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06849500	32	1953-07-07		Yes	Thompson	USGS	2.90	222				UNSP	0.07		UNSP	UNSP	1		UNSP			222				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06849500	33	1953-07-13		Yes	Megill	USGS	2.82	207				UNSP	0.11		UNSP	UNSP	1		UNSP			207				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06849500	34	1953-07-27		Yes	Thompson	USGS	2.88	203				UNSP	0.04		UNSP	UNSP	1		UNSP			203				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06849500	35	1953-08-04		Yes	Thompson	USGS	3.08	255				UNSP	0.03		UNSP	UNSP	1		UNSP			255				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06849500	36	1953-08-10		Yes	Walker	USGS	2.75	147				UNSP	0.01		UNSP	UNSP	1		UNSP			147				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06849500	37	1953-08-18		Yes	Thompson	USGS	2.85	175				UNSP	0.01		UNSP	UNSP	1		UNSP			175				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06849500	38	1953-08-25		Yes	Walker	USGS	2.71	13.0				UNSP	0.03		UNSP	UNSP	1		UNSP			13.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06849500	39	1953-09-01		Yes	Thompson	USGS	2.76	151				UNSP	0.01		UNSP	UNSP	1		UNSP			151				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06849500	40	1953-09-08		Yes	Walker	USGS	2.53	81.7				UNSP	0.07		UNSP	UNSP	1		UNSP			81.7				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06849500	41	1953-09-16		Yes	Liggett	USGS	2.67	117				UNSP	0.05		UNSP	UNSP	1		UNSP			117				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06849500	42	1953-09-23		Yes	Liggett	USGS	2.60	105				UNSP	0.03		UNSP	UNSP	1		UNSP			105				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
