#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:03:45 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06850500 REPUBLICAN RIVER NEAR BLOOMINGTON, NEBR.
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06850500	1A	1929-04-13		Yes	F-E	USGS	1.98	496.0		0.00		UNSP	0.00	1.17		MEAS	1	Unspecified	UNSP			496.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	2A	1929-04-24		Yes	HPE	USGS	2.73	882.0		0.00		UNSP	0.07	2.00		UNSP	1	Unspecified	UNSP			882.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	3A	1929-06-14		Yes	FFL	USGS	4.73	2790		0.00		UNSP	-0.02	2.00		UNSP	1	Unspecified	UNSP			2790				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	4A	1929-06-18		Yes	FFL	USGS	2.51	895.0		0.00		UNSP	0.00	1.33		UNSP	1	Unspecified	UNSP			895.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	5A	1929-07-10		Yes	HPE	USGS	2.14	630.0		0.00		UNSP	-0.04	1.50		UNSP	1	Unspecified	UNSP			630.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	6A	1929-07-29		Yes	HPE	USGS	2.97	1210		0.00		UNSP	-0.14	2.00		UNSP	1	Unspecified	UNSP			1210				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	12A	1930-03-19		Yes	FFL	USGS	1.91	498.0		0.00		UNSP	0.02	1.00		UNSP	1	Unspecified	UNSP			498.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	13A	1930-04-17		Yes	FFL	USGS	3.31	1380		0.00		UNSP	0.02	1.67		UNSP	1	Unspecified	UNSP			1380				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	14A	1930-05-02		Yes	FFL	USGS	3.95	1970		0.00		UNSP	-0.10	1.50		UNSP	1	Unspecified	UNSP			1970				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	15A	1930-05-20		Yes	FFL	USGS	4.01	1970		0.00		UNSP	-0.08	1.50		UNSP	1	Unspecified	UNSP			1970				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	19A	1930-10-13		Yes	REC	USGS	8.16	9600		0.00		UNSP	0.00	3.50		UNSP	1	Unspecified	UNSP			9600				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	21A	1930-10-14		Yes	REC	USGS	7.10	6510		0.00		UNSP	-0.24	2.00		UNSP	1	Unspecified	UNSP			6510				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	20A	1930-10-14		Yes	REC	USGS	8.00	9220		0.00		UNSP	-0.72	2.50		UNSP	1	Unspecified	UNSP			9220				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	22A	1930-11-06		Yes	DSJ	USGS	2.04	603.0		0.00		UNSP	-0.01	1.50		UNSP	1	Unspecified	UNSP			603.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	23A	1931-01-08		Yes	HPE	USGS	2.19	611.0		0.00		UNSP	-0.02	2.33		UNSP	1	Unspecified	UNSP			611.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	24A	1931-02-05		Yes	LFH	USGS	2.35	736.0		0.00		UNSP	0.02	1.00		UNSP	1	Unspecified	UNSP			736.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	25A	1931-03-07		Yes	HPE	USGS	2.35	752.0		0.00		UNSP	0.02	1.83		UNSP	1	Unspecified	UNSP			752.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	26A	1931-04-08		Yes	REC	USGS	2.90	1100		0.00		UNSP	-0.01	2.00		UNSP	1	Unspecified	UNSP			1100				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	27A	1931-05-06		Yes	HPE	USGS	2.88	1020		0.00		UNSP	0.00	1.67		UNSP	1	Unspecified	UNSP			1020				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	29A	1931-05-29		Yes	HPE	USGS	2.54	797.0		0.00		UNSP	0.10	1.00		UNSP	1	Unspecified	UNSP			797.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	28A	1931-05-29		Yes	HPE	USGS	2.14	545.0		0.00		UNSP	0.13	1.17		UNSP	1	Unspecified	UNSP			545.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	30A	1931-05-30		Yes	HPE	USGS	2.36	672.0		0.00		UNSP	-0.03	1.00		UNSP	1	Unspecified	UNSP			672.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	38A	1932-02-26		Yes	MCB	USGS	3.99	2100		0.00		UNSP				UNSP	1	Unspecified	UNSP			2100				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	39A	1932-03-25		Yes	M/H	USGS	2.01	685.0		0.00		UNSP	-0.02	1.67		UNSP	1	Unspecified	UNSP			685.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	41A	1932-05-31		Yes	LFH	USGS	3.43	1550		0.00		UNSP	-0.02	1.00		UNSP	1	Unspecified	UNSP			1550				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	42A	1932-06-16		Yes	LFH	USGS	2.48	923.0		0.00		UNSP	0.00	0.83		UNSP	1	Unspecified	UNSP			923.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	48A	1933-03-04		Yes	LFH	USGS	2.34	648.0		0.00		UNSP	-0.02	0.75		UNSP	1	Unspecified	UNSP			648.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	52A	1933-07-20		Yes	SCM	USGS	2.03	569.0		0.00		UNSP	-0.08	1.00		UNSP	1	Unspecified	UNSP			569.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	53A	1933-08-24		Yes	JHB	USGS	3.16	1380		0.00		UNSP	-0.12	1.50		UNSP	1	Unspecified	UNSP			1380				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	54A	1933-09-08		Yes	E/F	USGS	2.64	1140		0.00		UNSP	0.00	0.83		UNSP	1	Unspecified	UNSP			1140				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	56A	1933-12-04		Yes	HPE	USGS	2.34	723.0		0.00		UNSP	0.00	1.00		UNSP	1	Unspecified	UNSP			723.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	57A	1934-01-31		Yes	SCM	USGS	1.94	499.0		0.00		UNSP	-0.02	2.00		UNSP	1	Unspecified	UNSP			499.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	62A	1934-06-23		Yes	HPE	USGS	2.19	805.0		0.00	0.00	UNSP	-0.03	1.00		UNSP	1	Unspecified	UNSP			805.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	74A	1935-05-13		Yes	AWH	USGS	4.14	1350		0.00	0.100	UNSP	-0.08			UNSP	1	Unspecified	UNSP			1350				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	75A	1935-06-11		Yes	O/B	USGS	4.74	1740		0.00	-0.020	UNSP	0.11	2.50		UNSP	1	Unspecified	UNSP			1740				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	76A	1935-07-05		Yes	AWH	USGS	4.08	1240		0.00	0.400	UNSP	-0.01			UNSP	1	Unspecified	UNSP			1240				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	77A	1935-07-16		Yes	MCB	USGS	3.16	568.0		0.00	-0.050	UNSP	-0.03	1.00		UNSP	1	Unspecified	UNSP			568.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	80A	1935-09-11		Yes	AWH	USGS	5.06	2120		0.00	0.110	UNSP	0.04			UNSP	1	Unspecified	UNSP			2120				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	81A	1935-09-17		Yes	O/B	USGS	3.28	611.0		0.00	-0.100	UNSP	0.00	0.67		UNSP	1	Unspecified	UNSP			611.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	88A	1936-03-05		Yes	LRS	USGS	4.91	1410		0.00	-0.310	UNSP	-0.03	3.00		UNSP	1	Unspecified	UNSP			1410				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	89A	1936-04-07		Yes	HPE	USGS	4.06	632.0		0.00	-0.500	UNSP	0.03	1.00		UNSP	1	Unspecified	UNSP			632.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	90A	1936-05-08		Yes	HHO	USGS	8.23	10500		0.00	0.00	UNSP	0.00	2.00		UNSP	1	Unspecified	UNSP			10500				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	107A	1937-05-17		Yes	CBH	USGS	3.60	500.0		0.00	-0.250	UNSP	0.00	1.50		UNSP	1	Unspecified	UNSP			500.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	108A	1937-05-27		Yes	CBH	USGS	4.71	1460		0.00	-0.060	UNSP	-0.06	1.50		UNSP	1	Unspecified	UNSP			1460				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	110A	1937-07-22		Yes	HPE	USGS	4.00	1130		0.00	0.00	UNSP	0.16	1.50		UNSP	1	Unspecified	UNSP			1130				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	118A	1938-03-01		Yes	FDR	USGS	3.32	509.0		-0.200		UNSP	-0.01	1.25		UNSP	1	Unspecified	UNSP			509.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	120A	1938-05-02		Yes	LRS	USGS	3.80	822.0		-0.190		UNSP	0.00	1.33		UNSP	1	Unspecified	UNSP			822.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	121A	1938-05-25		Yes	CBH	USGS	3.69	880.0		0.010		UNSP	-0.02	1.75		UNSP	1	Unspecified	UNSP			880.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	122A	1938-06-25		Yes	FDR	USGS	3.29	631.0		0.030		UNSP	-0.04	1.50		UNSP	1	Unspecified	UNSP			631.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06850500	123A	1938-07-20		Yes	CJO	USGS	3.66	943.0		0.00		UNSP	-0.04	1.33		UNSP	1	Unspecified	UNSP			943.0				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
