#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:03:47 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06853020 Republican River at Guide Rock, Nebr.
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	06853020	1	1984-12-04		Yes	RBS	USGS	3.79	109.0	 2.0	-0.070		GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		109.0	85.0	83.9	1.30	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06853020	2	1985-01-16		Yes	RBS	USGS	4.29	127.0	 2.0			POOR	0.00	0.83	SICE	MEAS	1	Unspecified	ICE	QSCMM		127.0	73.0	98.2	1.29	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06853020	3	1985-02-11		Yes	RBS	USGS	4.76	156.0	 2.0			POOR	0.03	0.75	CICE	MEAS	1	Unspecified	ICE	QSCMM		156.0	80.0	132	1.18	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06853020	4	1985-03-13		Yes	RBS	USGS	4.12	152.0	 2.0	-0.090		GOOD	0.00	0.67	CLER	MEAS	1	Unspecified	WADE	QUNSP		152.0	103	98.4	1.54	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06853020	5	1985-04-02		Yes	RBS	USGS	4.00	148.0	 2.0	0.00		EXCL	0.00	0.83	CLER	MEAS	1	Unspecified	WADE	QUNSP		148.0	126	102	1.45	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06853020	6	1985-05-07		Yes	SHH/JAM	USGS	3.90	132.0	 2.0	-0.010		GOOD	0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		132.0	80.0	87.8	1.50	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06853020	7	1985-05-14		Yes	JAM/SHH	USGS	10.26	3310	 2.0	0.00	0.01	GOOD	0.04	0.50	MDDB	MEAS	1	Unspecified	CRAN	QUNSP		3310	226	1120	2.97	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06853020	8	1985-05-23		Yes	JAM	USGS	3.93	131.0	 2.0	-0.050		GOOD	0.00	0.75	CLER	MEAS	1	Unspecified	WADE	QUNSP		131.0	63.0	61.2	2.14	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06853020	9	1985-06-18		Yes	DMS	USGS	2.92	30.1	 2.0	0.00		GOOD	0.00	0.58	CLER	MEAS	1	Unspecified	WADE	QUNSP		30.1	46.0	27.2	1.11	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06853020	10	1985-07-17		Yes	GVS	USGS	2.93	33.2	 2.0	0.030		GOOD	0.00	0.42	CLER	MEAS	1	Unspecified	WADE	QUNSP		33.2	30.0	30.8	1.08	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06853020	11	1985-08-13		Yes	DMS	USGS	3.59	123.0	 2.0	0.240		GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		123.0	51.0	75.1	1.64	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06853020	12	1985-09-04		Yes	JAM	USGS	3.63	176.0	 2.0	0.540		EXCL	0.03	0.75	CLER	MEAS	1	Unspecified	WADE	QUNSP		176.0	59.0	95.1	1.85	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06853020	13	1985-10-08		Yes	DMS/M K	USGS	3.49	135.0	 3.0	0.170		GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		135.0	58.0	83.4	1.62	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06853020	14	1985-11-08		Yes	SHH	USGS	3.61	154.0	 3.0	0.160		EXCL	0.00	0.67	CLER	MEAS	1	Unspecified	WADE	QUNSP		154.0	93.0	95.1	1.62	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06853020	15	1985-12-04		Yes	SHH/JAM	USGS	4.00	128.0	 3.0			GOOD	0.02	0.67	SICE	MEAS	1	Unspecified	WADE	QUNSP		128.0	69.0	95.0	1.35	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06853020	16	1985-12-26		Yes	SHH/JAM	USGS	4.16	147.0	 3.0			EXCL	0.00	0.75	SICE	MEAS	1	Unspecified	WADE	QUNSP		147.0	70.0	110	1.34	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06853020	17	1986-01-29		Yes	SHH/JAM	USGS	3.90	170.0	 3.0	0.00	-4.00	EXCL	0.00	0.67	CLER	MEAS	1	Unspecified	WADE	QUNSP		170.0	76.0	106	1.60	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06853020	18	1986-02-25		Yes	DMS/GVS	USGS	3.73	148.0	 3.0	0.00		GOOD	0.02	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		148.0	56.0	87.8	1.68	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06853020	19	1986-03-26		Yes	GVS/DMS	USGS	3.58	122.0	 3.0	0.00		GOOD	0.00	0.58	LGDB	MEAS	1	Unspecified	WADE	QUNSP		122.0	56.0	74.8	1.63	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06853020	20	1986-04-24		Yes	DMS	USGS	3.65	120.0	 3.0	-0.080		GOOD	0.00	0.67	LGDB	MEAS	1	Unspecified	WADE	QUNSP		120.0	59.0	71.9	1.67	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	06853020	21	1986-05-21		Yes	GVS	USGS	3.52	108.0	 3.0	-0.030		GOOD	0.00	0.50	LGDB	MEAS	1	Unspecified	WADE	QUNSP		108.0	59.0	73.8	1.46	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
