#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:04:39 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02055000 ROANOKE RIVER AT ROANOKE, VA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02055000	1	1896-06-26		Yes	ech	USGS	1.21	244				UNSP				MEAS	1		UNSP	QSCMM		244		190	1.28	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02055000	2	1896-07-10		Yes	ech	USGS	3.28	2060				UNSP				MEAS	1		UNSP	QSCMM		2060		474	4.34	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02055000	3	1897-04-02		Yes	fhb	USGS	1.30	320				UNSP				MEAS	1		UNSP	QSCMM		320		220	1.45	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02055000	4	1898-02-21		Yes	ech	USGS	0.94	132				UNSP				MEAS	1		UNSP	QSCMM		132		157	0.84	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02055000	5	1898-05-07		Yes	ech	USGS	3.75	2720				UNSP				MEAS	1		UNSP	QSCMM		2720		552	4.92	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02055000	6	1898-07-20		Yes	ech	USGS	0.95	113				UNSP				MEAS	1		UNSP	QSCMM		113		141	0.80	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02055000	7	1899-03-29		Yes	ech	USGS	2.51	1120				UNSP				MEAS	1		UNSP	QSCMM		1120		348	3.23	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02055000	8	1899-06-27		Yes	ech	USGS	1.32	290				UNSP				MEAS	1		UNSP	QSCMM		290		206	1.41	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02055000	9	1899-08-07		Yes	ech	USGS	0.88	135				UNSP				MEAS	1		UNSP	QSCMM		135		156	0.87	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02055000	10	1900-03-19		Yes	ech	USGS	2.07	879				UNSP				MEAS	1		UNSP	QSCMM		879		303	2.90	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02055000	11	1900-05-05		Yes	ech	USGS	1.30	298				UNSP				MEAS	1		UNSP	QSCMM		298		199	1.50	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02055000	12	1900-06-26		Yes	ech	USGS	2.16	837				UNSP				MEAS	1		UNSP	QSCMM		837		318	2.63	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02055000	13	1900-07-30		Yes	ech	USGS	0.91	149				UNSP				MEAS	1		UNSP	QSCMM		149		157	0.95	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02055000	14	1900-08-21		Yes	ech	USGS	0.65	92.0				UNSP				MEAS	1		UNSP	QSCMM		92.0		177	0.52	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02055000	15	1900-12-19		Yes	ech	USGS	1.28	307				UNSP				MEAS	1		UNSP	QSCMM		307		200	1.53	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02055000	16	1901-03-28		Yes	ech	USGS	2.20	878				UNSP				MEAS	1		UNSP	QSCMM		878		331	2.65	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02055000	17	1901-07-15		Yes	ech	USGS	3.75	2620				UNSP				MEAS	1		UNSP	QSCMM		2620		576	4.54	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02055000	17a	1901-07-18		Yes	ech	USGS	6.06	5690				UNSP				MEAS	1		UNSP	QSCMM		5690		887	6.40	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02055000	18	1902-07-10		Yes	ech	USGS	1.09	199				UNSP				MEAS	1		UNSP	QSCMM		199		204	0.98	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02055000	19	1902-08-21		Yes	ech	USGS	0.63	78.0				UNSP				MEAS	1		UNSP	QSCMM		78.0		158	0.49	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02055000	20	1903-01-23		Yes	ech	USGS	6.92	6850				UNSP				MEAS	1		UNSP	QSCMM		6850		1080	6.36	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02055000	21	1903-05-01		Yes	ech	USGS	2.01	701				UNSP				MEAS	1		UNSP	QSCMM		701		362	1.94	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02055000	22	1903-07-13		Yes	bcm	USGS	1.40	349				UNSP				MEAS	1		UNSP	QSCMM		349		250	1.39	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02055000	23	1903-07-13		Yes	bcm	USGS	1.40	350				UNSP				MEAS	1		UNSP	QSCMM		350		250	1.40	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02055000	24	1903-07-21		Yes	bsd	USGS	1.03	146				UNSP				MEAS	1		UNSP	QSCMM		146		245	0.59	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02055000	25	1903-07-22		Yes	bs	USGS	1.35	346				UNSP				MEAS	1		UNSP	QSCMM		346		329	0.96	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02055000	26	1903-07-26		Yes	bs	USGS	0.90	120				UNSP				MEAS	1		UNSP	QSCMM		120		265	0.45	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02055000	27	1904-06-02		Yes	fhb	USGS	1.32	294				UNSP				MEAS	1		UNSP	QSCMM		294		269	1.09	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02055000	28	1904-08-08		Yes	jcs	USGS	1.67	473				UNSP				MEAS	1		UNSP	QSCMM		473		345	1.37	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02055000	29	1904-09-16		Yes	rhb	USGS	0.80	129				UNSP				MEAS	1		UNSP	QSCMM		129		214	0.59	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02055000	30	1904-09-29		Yes	rhb	USGS	0.68	93.0				UNSP				MEAS	1		UNSP	QSCMM		93.0		186	0.49	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02055000	31	1904-10-18		Yes	rhb	USGS	0.63	76.0				UNSP				MEAS	1		UNSP	QSCMM		76.0		170	0.44	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02055000	32	1905-03-18		Yes	h	USGS	1.44	395				UNSP				MEAS	1		UNSP	QSCMM		395		284	1.32	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
