#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:04:41 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02056000 ROANOKE RIVER AT NIAGARA, VA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02056000	4	1926-07-11		Yes	fcc/odm	USGS	1.28	96.0				UNSP				MEAS	1		UNSP	QSCMM		96.0	38.0	97.0	0.99	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	5	1926-07-11		Yes	fcc/odm	USGS	1.68	169				UNSP				MEAS	1		UNSP	QSCMM		169	38.0	109	1.55	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	6	1926-07-11		Yes	fcc/odm	USGS	2.17	274				UNSP				MEAS	1		UNSP	QSCMM		274	62.0	469	0.58	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	1	1926-07-11		Yes	fcc/odm	USGS	0.53	17.0				UNSP				MEAS	1		UNSP	QSCMM		17.0	33.0	74.0	0.23	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	2	1926-07-11		Yes	fcc/odm	USGS	1.47	124				UNSP				MEAS	1		UNSP	QSCMM		124	38.0	102	1.22	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	3	1926-07-11		Yes	fcc/odm	USGS	1.47	134				UNSP				MEAS	1		UNSP	QSCMM		134	61.0	418	0.32	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	7	1926-07-27		Yes	jjd	USGS	2.60	398				UNSP				MEAS	1		UNSP	QSCMM		398	65.0	503	0.79	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	8	1926-12-28		Yes	jjd	USGS	5.54	1870				UNSP				MEAS	1		UNSP	QSCMM		1870	77.0	699	2.68	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	9	1926-12-29		Yes	jjd	USGS	6.72	2460				UNSP				MEAS	1		UNSP	QSCMM		2460	84.0	772	3.19	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	10	1926-12-31		Yes	fcc	USGS	4.59	1210				UNSP				MEAS	1		UNSP	QSCMM		1210	72.0	632	1.92	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	11	1927-02-20		Yes	FCC	USGS	8.40	4590		0.00		UNSP	-0.20	1.00		MEAS	1	Unspecified	CWAY	QUNSP		4590	124	1010	4.54	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	12	1927-03-02		Yes	fcc	USGS	3.53	788				UNSP				MEAS	1		UNSP	QSCMM		788	66.0	558	1.41	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	13	1927-08-15		Yes	odm	USGS	2.13	296				UNSP				MEAS	1		UNSP	QSCMM		296	63.0	484	0.61	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	14	1928-04-20		Yes	mtt	USGS	2.65	387				UNSP				MEAS	1		UNSP	QSCMM		387	64.0	503	0.77	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	15	1929-01-24		Yes	mtt/arg	USGS	2.60	377				UNSP				MEAS	1		UNSP	QSCMM		377	65.0	383	0.98	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	16	1929-06-05		Yes	rws/ffs	USGS	3.96	890				UNSP				MEAS	1		UNSP	QSCMM		890	74.0	485	1.83	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	17	1930-12-02		Yes	hce	USGS	1.45	115				UNSP				MEAS	1		UNSP	QSCMM		115	67.0	73.0	1.58	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	18	1931-03-25		Yes	jjd/arg	USGS	2.79	426				UNSP				MEAS	1		UNSP	QSCMM		426	64.0	388	1.10	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	19	1931-07-28		Yes	ffs	USGS	1.43	101				UNSP				MEAS	1		UNSP	QSCMM		101	62.0	62.0	1.63	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	20	1932-07-10		Yes	odm/eag	USGS	2.75	429				UNSP				MEAS	1		UNSP	QSCMM		429	65.0	353	1.22	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	21	1932-09-23		Yes	arg/eag	USGS	1.20	80.0				UNSP				MEAS	1		UNSP	QSCMM		80.0	55.0	46.0	1.76	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	22	1933-03-02		Yes	ada	USGS	2.90	493				UNSP				MEAS	1		UNSP	QSCMM		493	65.0	440	1.12	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	23	1933-09-13		Yes	tfh/eag	USGS	1.39	108				UNSP				MEAS	1		UNSP	QSCMM		108	46.0	52.0	2.08	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	24	1934-03-15		Yes	ada	USGS	2.36	329				UNSP				MEAS	1		UNSP	QSCMM		329	64.0	321	1.02	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	25	1934-08-24		Yes	arg	USGS	1.42	110				UNSP				MEAS	1		UNSP	QSCMM		110	59.0	92.0	1.20	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	26	1934-11-22		Yes	ffs	USGS	2.24	148				UNSP				MEAS	1		UNSP	QSCMM		148	64.0	91.0	1.63	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	27	1935-06-05		Yes	eag/tfh	USGS	2.56	422				UNSP				MEAS	1		UNSP	QSCMM		422	61.0	414	1.02	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	28	1935-07-18		Yes	arg/cas	USGS	1.75	165				UNSP				MEAS	1		UNSP	QSCMM		165	53.0	119	1.39	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	29	1935-09-12		Yes	ada/cas	USGS	2.09	242				UNSP				MEAS	1		UNSP	QSCMM		242	62.0	386	0.63	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	30	1935-10-18		Yes	ada/cas	USGS	1.56	134				UNSP				MEAS	1		UNSP	QSCMM		134	41.0	79.0	1.69	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	31	1936-08-04		Yes	arg	USGS	1.64	140				UNSP				MEAS	1		UNSP	QSCMM		140	54.0	74.0	1.89	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	32	1937-03-25		Yes	tfh	USGS	2.72	448				UNSP				MEAS	1		UNSP	QSCMM		448	64.0	422	1.06	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	33	1937-07-06		Yes	arg	USGS	1.89	199				UNSP				MEAS	1		UNSP	QSCMM		199	56.0	110	1.81	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	34	1937-09-28		Yes	arg/twe	USGS	2.94	557				UNSP				MEAS	1		UNSP	QSCMM		557	64.0	456	1.22	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	35	1937-12-07		Yes	arg	USGS	3.06	533				UNSP				MEAS	1		UNSP	QSCMM		533	64.0	454	1.17	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	36	1938-05-27		Yes	tfh	USGS	3.32	715				UNSP				MEAS	1		UNSP	QSCMM		715	72.0	494	1.45	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	37	1938-08-11		Yes	twe/bmd	USGS	3.49	714				UNSP				MEAS	1		UNSP	QSCMM		714	72.0	490	1.50	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	38	1938-11-09		Yes	tfh	USGS	2.20	260				UNSP				MEAS	1		UNSP	QSCMM		260	71.0	88.0	2.96	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	39	1939-03-17		Yes	twe/bmd	USGS	3.62	773				UNSP				MEAS	1		UNSP	QSCMM		773	68.0	421	1.84	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	40	1939-08-04		Yes	arg	USGS	2.33	318				UNSP				MEAS	1		UNSP	QSCMM		318	68.0	141	2.26	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	41	1939-10-12		Yes	pns/odm	USGS	1.65	152				UNSP				MEAS	1		UNSP	QSCMM		152	49.0	63.8	2.38	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	42	1940-03-07		Yes	ffs	USGS	2.85	516				UNSP				MEAS	1		UNSP	QSCMM		516	64.0	441	1.17	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	43	1940-05-08		Yes	twe	USGS	2.20	250				UNSP				MEAS	1		UNSP	QSCMM		250	62.0	388	0.64	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	44	1940-07-24		Yes	cas/pns	USGS	1.74	165				UNSP				MEAS	1		UNSP	QSCMM		165	51.0	72.9	2.27	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	45	1940-10-25		Yes	arg	USGS	2.12	239				UNSP				MEAS	1		UNSP	QSCMM		239	68.0	120	1.99	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	46	1940-11-12		Yes	cas	USGS	1.48	195				UNSP				MEAS	1		UNSP	QSCMM		195	45.0	86.7	2.25	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	47	1941-01-07		Yes	tfh	USGS	2.68	413				UNSP				MEAS	1		UNSP	QSCMM		413	65.0	477	0.87	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	48	1941-03-07		Yes	tfh	USGS	2.16	216				UNSP				MEAS	1		UNSP	QSCMM		216	61.0	439	0.49	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	49	1941-05-08		Yes	pns	USGS	2.16	241				UNSP				MEAS	1		UNSP	QSCMM		241	64.0	455	0.53	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	50	1941-07-14		Yes	c	USGS	3.46	676				FAIR				MEAS	1		UNSP	QSCMM		676	70.0	538	1.26	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	51	1941-09-22		Yes	c/pns	USGS	1.41	100				FAIR				MEAS	1		UNSP	QSCMM		100	69.0	75.8	1.32	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	52	1941-12-01		Yes	s	USGS	1.50	115				FAIR				MEAS	1		UNSP	QSCMM		115	57.0	63.0	1.82	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	53	1942-01-06		Yes	m	USGS	1.70	151				GOOD				MEAS	1		UNSP	QSCMM		151	61.0	115	1.31	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	54	1942-02-02		Yes	m	USGS	1.58	122				GOOD				MEAS	1		UNSP	QSCMM		122	71.0	132	0.92	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	55	1942-03-12		Yes	cas	USGS	2.77	399				UNSP				MEAS	1		UNSP	QSCMM		399	64.0	167	2.39	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	56	1942-04-07		Yes	cas	USGS	1.95	182				EXCL				MEAS	1		UNSP	QSCMM		182	60.0	130	1.40	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	57	1942-05-04		Yes	cas	USGS	1.47	106				GOOD				MEAS	1		UNSP	QSCMM		106	59.0	110	0.96	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	58	1942-06-02		Yes	c/cas	USGS	2.66	421				GOOD				MEAS	1		UNSP	QSCMM		421	68.0	398	1.06	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	59	1942-08-06		Yes	pns	USGS	2.26	297				FAIR				MEAS	1		UNSP	QSCMM		297	65.0	409	0.73	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	60	1942-09-08		Yes	pns	USGS	2.56	404				FAIR				MEAS	1		UNSP	QSCMM		404	65.0	436	0.93	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02056000	61	1942-10-08		Yes	pns/h	USGS	2.27	272				UNSP				MEAS	1		UNSP	QSCMM		272	65.0	407	0.67	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
