#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:04:46 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02080500 ROANOKE RIVER AT ROANOKE RAPIDS, NC
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	02080500	1	1930-02-18 11:45:00	EST	Yes	HWP	USGS	5.25	7660		0.00		GOOD	0.00			MEAS	1	Unspecified	CRAN	QUNSP		7660	738	3720	2.06	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02080500	2	1930-03-25 09:05:00	EST	Yes	HWP	USGS	4.54	5400		0.00		GOOD	0.02	2.75		MEAS	1	Unspecified	CRAN	QUNSP		5400	730	3120	1.73	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02080500	3	1930-11-05 10:35:00	EST	Yes	AGH	USGS	2.90	2100		0.00		UNSP	-0.05	1.75		MEAS	1	Unspecified	CRAN	QUNSP		2100	94.0	781	2.69	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02080500	4	1931-01-11 10:40:00	EST	Yes	AGH	USGS	4.67	5940		0.00		UNSP	0.03	2.17		MEAS	1	Unspecified	CWAY	QUNSP		5940	653	4000	1.48	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02080500	5	1931-03-04 15:30:00	EST	Yes	EDB	USGS	4.50	5550		0.00		GOOD	0.00	3.00		MEAS	1	Unspecified	CWAY	QUNSP		5550	660	4090	1.36	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02080500	6	1931-04-04 08:30:00	EST	Yes	HAT	USGS	8.50	204000		0.00		GOOD	-0.09	2.58		MEAS	1	Unspecified	CWAY	QUNSP		204000	680	6760	3.02	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02080500	7	1931-04-05 09:05:00	EST	Yes	HAT	USGS	7.26	14600		0.00		UNSP	0.00	2.00		MEAS	1	Unspecified	CWAY	QUNSP		14600	665	5940	2.46	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02080500	8	1931-04-05 15:30:00	EST	Yes	HAT	USGS	7.61	15700		0.00		UNSP	0.18	2.66		MEAS	1	Unspecified	CWAY	QUNSP		15700	670	6130	2.56	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	02080500	9	1931-04-06 09:10:00	EST	Yes	HAT	USGS	9.56	26200		0.00		UNSP	0.55	2.00		MEAS	1	Unspecified	CWAY	QUNSP		26200	713	7620	3.44	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
