#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:05:28 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 05424082 ROCK RIVER AT HUSTISFORD, WI
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	05424082	69	1983-10-05		Yes	JG	USGS	2.96	59.4	 8.0	0.00	0.700	GOOD	0.03	0.50	LGDB	MEAS	1	Unspecified	WADE	QUNSP		59.4	91.0	85.8	0.690	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05424082	70	1983-11-22		Yes	MDD/KK	USGS	3.28	0.000	 8.0	0.00	0.00	GOOD	0.00	0.50	CLER	UNSP	1	Unspecified	WADE	QUNSP		0.000	114	107	1.17	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05424082	71	1984-01-23		Yes	MDD/TW	USGS	3.10	89.2	 8.0	0.00		GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		89.2	115	92.0	0.970	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05424082	72	1984-03-15		Yes	MDD	USGS	3.59	213.0	 8.0	0.00		GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		213.0	116	135	1.58	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05424082	73	1984-05-03		Yes	MDD	USGS	4.60	1018	 9.0	0.00	-2.40	GOOD	0.00	1.00	CLER	MEAS	1	Unspecified	CRAN	QUNSP		1018	107	747	1.37	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05424082	74	1984-06-29		Yes	MDD	USGS	4.66	1270	 9.0	0.130	-0.300	GOOD	0.00	1.30	CLER	MEAS	1	Unspecified	CRAN	QUNSP		1270	104	732	1.73	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05424082	75	1984-08-17		Yes	MDD	USGS	1.92	11.6	 9.0	0.00	-2.50	GOOD	0.00	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		11.6	8.40	4.86	2.37	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05424082	76	1984-10-04		Yes	MDD	USGS	2.60	63.5	 9.0	0.00	0.00	GOOD	0.01	0.50	CLER	MEAS	1	Unspecified	WADE	QUNSP		63.5	90.0	59.0	1.08	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	05424082	77	1984-11-16		Yes	MDD/RLG	USGS	4.64	1045	 9.0	0.00	-4.00	GOOD	0.00	1.50		MEAS	1	Unspecified	UNSP			1045				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
