#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:05:57 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 01379699 Rockaway River at NJ Rt 15 at Berkshire Valley NJ
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	01379699	1	2010-08-12 12:12:00	EDT	Yes	EML/MN	USGS	4.01	3.28	 1.0		-1.2	FAIR	0.00	0.67	CLER	UNSP	1		WADE	QSCMM	VADV	3.28	25.9	21.1	0.15	FIRM	SAND	UNEV	PULS	UNEV	UNSP	DNST	40
USGS	01379699	2	2010-09-23 12:47:30	EDT	Yes	MN	USGS	4.21	3.41	 1.0	-0.19	0.0	FAIR	0.00	0.48	CLER	UNSP	1		WADE	QSCMM	VADV	3.41	20.5	10.8	0.32	FIRM	GRVL	UNEV	PULS	UNEV	STND	ATGA	0.00
USGS	01379699	3	2010-09-30 10:15:30	EDT	Yes	MN/JCS	USGS	4.72	8.45	 1.0	-0.31	-2.4	FAIR		0.48	CLER	UNSP	1		WADE	QSCMM	VADV	8.45	30.0	20.1	0.42	FIRM	GRVL	UNEV	PULS	UNEV	UNSP	UNSP	
USGS	01379699	4	2010-10-01 13:27:00	EDT	Yes	JCS/MN	USGS	7.22	196	 1.0	-0.07	1.6	FAIR	0.00	0.20	CLER	UNSP	1		BRDS	QADCP	VADCP	196	45.7	121	1.62	FIRM	GRVL	EVEN	STDY	EVEN	STND	ATGA	0.00
USGS	01379699	5	2010-10-01 13:39:30	EDT	Yes	JCS/MN	USGS	7.23	200	 1.0	-0.07	2.6	FAIR	0.00	0.10	CLER	UNSP	1	Channel 1	BRDS	QADCP	VADCP	200	47.7	130	1.54	FIRM	GRVL	EVEN	STDY	EVEN	STND	ATGA	0.00
USGS	01379699	6	2010-11-09 12:41:30	EST	Yes	MN/EML	USGS	5.47	24.7	 1.0	-0.43	-1.6	FAIR	0.00	0.72	CLER	UNSP	1		WADE	QSCMM	VADV	24.7	43.5	48.3	0.51	FIRM	GRVL	UNEV	STDY	UNEV	STND	UPST	5.00
USGS	01379699	7	2010-12-02 11:55:00	EST	Yes	MN/SMH	USGS	8.05	325	 1.0		-4.4	GOOD	0.00	0.13	CLER	UNSP	1		CWAY	QADCP	VADCP	325	46.3	166	1.96	FIRM	GRVL	EVEN	STDY	UNEV	STND	ATGA	0.00
USGS	01379699	8	2011-01-05 10:03:00	EST	Yes	pwb	USGS	5.50	43.5	 1.0	0.00	-3.3	GOOD	0.00	0.57	CLER	MEAS	1		WADE	QSCMM	VADV	43.5	42.7	50.3	0.86	FIRM	BLDR	UNEV	STDY	EVEN	UNSP	DNST	5.00
USGS	01379699	9	2011-01-10 12:26:00	EST	Yes	JCS/MN	USGS	5.53	49.0	 1.0	0.01	4.0	FAIR	0.00	0.17	CICE	UNSP	1		CWAY	QADCP	VADCP	49.0	35.2	66.4	0.74	FIRM	GRVL	EVEN	PULS	UNEV	UNSP	UNSP	
USGS	01379699	10	2011-02-22 10:16:00	EST	Yes	JCS/PWB	USGS	5.71	64.0	 1.0	0.10	1.6	GOOD	-0.01	0.10	CLER	UNSP	1		UNSP	QADCP	VADCP	64.0	36.0	74.9	0.85	FIRM	GRVL	EVEN	STDY	EVEN	UNSP	UNSP	
USGS	01379699	11	2011-03-08 09:35:30	EST	Yes	MN/JCS	USGS	8.83	516	 1.0	0.03	1.8	GOOD	-0.02	0.08	CLER	UNSP	1		BRDS	QADCP	VADCP	516	53.3	207	2.50	FIRM	GRVL	UNEV	PULS	UNEV	STND	DNST	0.00
USGS	01379699	12	2011-03-11 14:08:30	EST	Yes	JCS/SMH	USGS	11.70	1280	 1.0	0.00	0.8	GOOD		0.15	CLER	UNSP	1		UNSP	QADCP	VADCP	1280	49.7	349	3.67	FIRM	BLDR	EVEN	STDY	EVEN	UNSP	UNSP	
USGS	01379699	13	2011-04-05 10:43:00	EDT	Yes	MN/PWB	USGS	5.78	67.0	 1.0	0.10	-0.9	FAIR	0.00	0.23	CLER	UNSP	1		CWAY	QADCP	VADCP	67.0	34.7	72.0	0.93	FIRM	GRVL	UNEV	STDY	UNEV	STND	DNST	40.00
USGS	01379699	14	2011-06-02 10:46:00	EDT	Yes	rwa/pwb	USGS	5.48	57.9	 1.0	0.25	0.0	FAIR	-0.01	0.23	CLER	UNSP	1		CWAY	QADCP	VADCP	57.9	38.2	68.5	0.85	FIRM	BLDR	UNEV	UNSP	UNEV	UNSP	DNST	15.00
USGS	01379699	15	2011-07-13 14:39:00	EDT	Yes	pwb	USGS	4.74	23.4	 1.0	0.25	0.4	FAIR	-0.01	0.47	CLER	MEAS	1		WADE	QSCMM	VADV	23.4	37.0	26.6	0.88	FIRM	BLDR	EVEN	STDY	UNEV	UNSP	DNST	8.00
USGS	01379699	16	2011-08-29 08:46:30	EDT	Yes	JCS/HAH	USGS	11.92	1290	 1.0	0.00	-3.7	GOOD				UNSP	1		UNSP	QADCP	VADCP	1290	50.2	377	3.42	FIRM	BLDR	EVEN	STDY	EVEN	UNSP	ATGA	0.00
USGS	01379699	17	2011-09-21 13:21:00	EDT	Yes	JCS/HAH	USGS	5.79	67.2	 1.0	0.09	-0.6	GOOD		0.17	CLER	UNSP	1		UNSP	QADCP	VADCP	67.2	34.7	82.6	0.81	FIRM	BLDR	UNEV	PULS	UNEV	UNSP	UNSP	
USGS	01379699	18	2011-10-21 13:27:00	EDT	Yes	MN/JCS	USGS	6.29	97.7	 1.0		-1.4	GOOD		0.23	CLER	MEAS	1		CWAY	QADCP	VADCP	97.7	43.9	88.1	1.11	FIRM	CBLS	UNEV	STDY	UNEV	UNSP	UNSP	
USGS	01379699	19	2011-12-16 09:52:30	EST	Yes	PWB/BSP	USGS	6.19	95.3	 1.0	0.05	0.5	GOOD	0.00	0.30		MEAS	1	main	CWAY	QADCP	VADCP	95.3	38.1	92.1	1.03	FIRM	GRVL	EVEN	STDY	EVEN	STND	DNST	10.00
USGS	01379699	20	2012-01-23 10:25:30	EST	Yes	pwb	USGS	5.43	46.8	 1.0	0.07	4.0	FAIR	0.01	0.62	CLER	MEAS	1		WADE	QSCMM	VADV	46.8	44.0	48.2	0.970	FIRM	BLDR	UNEV	STDY	UNEV	UNSP	DNST	8.00
USGS	01379699	21	2012-01-23 11:15:30	EST	Yes	pwb	USGS	5.43	43.2	 1.0	0.07	-4.0	FAIR	0.00	0.35	CLER	MEAS	1		WADE	QSCMM	VADV	43.2	43.0	50.9	0.850	FIRM	BLDR	UNEV	STDY	UNEV	UNSP	DNST	10.00
USGS	01379699	22	2012-03-20 09:50:00	EDT	Yes	VFB/PWB	USGS	5.48	26.1	 1.0	-0.40	-1.5	FAIR	0.00	0.70	CLER	UNSP	1		CWAY	QADCP	VADCP	26.1	36.1	70.1	0.37	FIRM	CBLS	UNEV	STDY	UNEV	STND	DNST	10.00
USGS	01379699	23	2012-05-07 09:58:00	EDT	Yes	pwb	USGS	5.82	46.2	 1.0	-0.36	7.7	FAIR	0.00		CLER	MEAS	1	Channel 1	CWAY	QADCP	VADCP	46.2	35.0	81.0	0.57	FIRM	BLDR	UNEV	STDY	UNEV	UNSP	DNST	15.00
USGS	01379699	24	2012-06-27 11:33:00	EDT	Yes	arv/cs	USGS	4.82	18.4	 1.0		1.7	FAIR			MDDB	MEAS	1	Rockaway	WADE	QSCMM	VADV	18.4	37.0	27.7	0.67	FIRM	GRVL	EVEN	STDY	UNEV	UNSP	ATGA	0.00
USGS	01379699	25	2012-08-08 08:22:30	EDT	Yes	pwb	USGS	4.96	12.5	 1.0	-0.37	2.5	FAIR			CLER	MEAS	1	main	CWAY	QADCP	VADCP	12.5	35.1	54.1	0.23	FIRM	BLDR	UNEV	STDY	UNEV	UNSP	DNST	20.00
