#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:06:18 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 14337600 ROGUE RIVER NEAR MCLEOD, OR
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	14337600	53	1970-10-09 12:00:00	PDT	Yes	ABH	USGS	1.61	1030				Good	-0.01	1.30	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	1030	140	510	2.02	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14337600	54	1970-11-23 10:30:00	PST	Yes	ABH	USGS	2.35	1720				Good	0.04	1.30	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	1720	149	619	2.78	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14337600	55	1970-12-18 12:35:00	PST	Yes	DCH/LMC	USGS	2.83	2250				Unspecified				MEAS	1	Imported Channel 1	CWAY	unspe	unkno	2250	153	709	3.17	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14337600	56	1971-01-17 10:30:00	PST	Yes	RME	USGS	9.27	17800				Fair	-0.02	1.20	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	17800	171	1860	9.55	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14337600	57	1971-01-19 12:35:00	PST	Yes	DCH	USGS	8.04	14000				Unspecified	-0.06	1.50	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	14000	170	1660	8.44	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14337600	58	1971-01-21 14:10:00	PST	Yes	RME	USGS	5.96	7920				Good	-0.02	1.30		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	7920	169	1320	6.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14337600	59	1971-02-23 11:15:00	PST	Yes	CMS/LMC	USGS	2.83	2670				Unspecified	0.04	1.20	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	2670	154	842	3.17	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14337600	60	1971-03-30 14:10:00	PST	Yes	CMS/LMC	USGS	4.18	4560				Unspecified	0.00	1.10	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	4560	159	1010	4.52	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14337600	61	1971-05-11 11:35:00	PDT	Yes	ABH	USGS	4.41	4930				Good	-0.01	1.40	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	4930	161	1040	4.74	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
