#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:06:22 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 14372300 ROGUE RIVER NEAR AGNESS, OR
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	14372300	15	1961-12-21		Yes	WDE	USGS	12.48	34300				Unspecified	0.06	1.10	Clear	MEAS	1	Imported Channel 1	UNSP	other		34300				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14372300	25	1962-12-03		Yes	EAO	USGS	23.42	102000				Unspecified	-1.45	1.00		MEAS	1	Imported Channel 1	UNSP	other		102000				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14372300	42S	1964-12-23		Yes	MFO	USGS	68.03	290000				Fair				UNSP	1	Imported Channel 1	UNSP	other		290000				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14372300	86	1970-01-28		Yes	JM	USGS	16.67	52400				Good	-0.24	1.00		MEAS	1	Imported Channel 1	UNSP	other		52400				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14372300	93	1970-11-25		Yes	WDE	USGS	15.85	48600				Fair	-0.10	1.00		UNSP	1	Imported Channel 1	UNSP	other		48600				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14372300	104	1972-01-23 15:25:00	PST	Yes	HDK	USGS	26.00	114000				Good	-0.65	1.10	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	114000	372	9620	11.8	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14372300	105	1972-01-24		Yes	HDK	USGS	16.37	48200				Good	-0.46	1.70		UNSP	1	Imported Channel 1	UNSP	other		48200				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14372300	107	1972-03-01		Yes	HDK	USGS	13.01	35400				Good	-0.08	1.10		UNSP	1	Imported Channel 1	UNSP	other		35400				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14372300	123S	1974-01-16		Yes	MFO	USGS	48.54	215000				Poor				UNSP	1	Imported Channel 1	UNSP	other		215000				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14372300	133	1975-03-26		Yes	HDK	USGS	13.18	36100				Fair	-0.20	1.20		UNSP	1	Imported Channel 1	UNSP	other		36100				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14372300	155	1977-12-14 10:40:00	PST	Yes	HDK	USGS	12.19	30300				Fair	0.27	1.20	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	30300	330	4530	6.69	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14372300	184	1982-04-13		Yes	HDK	USGS	12.30	33900				Fair	0.27	1.20		UNSP	1	Imported Channel 1	UNSP	other		33900				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14372300	199	1984-08-07		Yes	HDK	USGS	3.84	3450				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		3450				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14372300	200	1984-10-11		Yes	HDK	USGS	3.00	3000				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		3000				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14372300	201	1984-11-14		Yes	HDK	USGS	10.48	23000				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		23000				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14372300	202	1984-12-20		Yes	RLK/HDK	USGS	5.62	7070				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		7070				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14372300	203	1985-02-07		Yes	RLK	USGS	3.99	3380				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		3380				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14372300	204	1985-04-10		Yes	RLK	USGS	6.16	8000				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		8000				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14372300	205	1985-06-06		Yes	RLK	USGS	4.13	3960				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		3960				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14372300	206	1985-08-08		Yes	RLK	USGS	3.03	2420				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		2420				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14372300	207	1985-10-09		Yes	RLK	USGS	2.76	1860				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		1860				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	14372300	208	1985-12-11		Yes	RLK	USGS	4.54	4780				Unspecified				UNSP	1	Imported Channel 1	UNSP	other		4780				UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
