#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:07:38 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 11461000 RUSSIAN R NR UKIAH CA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	11461000	1A	1911-08-18		Yes	EOC	USGS	3.12	0.500		0.00		UNSP				UNSP	1	Unspecified	WADE	QUNSP		0.500			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11461000	2A	1911-11-02		Yes	EOC	USGS	3.10	0.200		0.00		UNSP				UNSP	1	Unspecified	UNSP			0.200				UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11461000	3B	1911-11-20		Yes	WHI/STA	USGS	3.25	0.500		0.00		UNSP				UNSP	1	Unspecified	WADE	QUNSP		0.500	4.00	0.700	0.720	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11461000	3A	1912-01-27		Yes	RCR	USGS	6.05	652.0		0.00		UNSP	-0.10			MEAS	1	Unspecified	CWAY	QUNSP		652.0	69.0	187	3.49	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11461000	1	1952-12-02		Yes	MUS	USGS	4.56	180.0		0.00		GOOD	0.00	1.10		MEAS	1	Unspecified	WADE	QUNSP		180.0	70.4	83.0	2.16	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11461000	2	1952-12-07		Yes	MUS	USGS	8.25	2260		0.00		GOOD	-0.63	1.30		MEAS	1	Unspecified	CWAY	QUNSP		2260	78.5	501	4.51	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11461000	3	1952-12-08		Yes	MUS	USGS	5.37	708.0		0.00		GOOD	-0.04	1.00		MEAS	1	Unspecified	CWAY	QUNSP		708.0	72.0	204	3.47	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11461000	4	1953-01-06		Yes	MUS	USGS	7.85	2230		0.00		GOOD	-0.19	0.60		MEAS	1	Unspecified	CWAY	QUNSP		2230	79.0	354	6.78	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11461000	5	1953-01-06		Yes	MUS	USGS	6.36	1240		0.00		GOOD	-0.16	1.00		MEAS	1	Unspecified	CWAY	QUNSP		1240	75.0	254	4.88	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
