#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-09 00:07:42 EDT     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 11462500 RUSSIAN R NR HOPLAND CA
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	11462500	529	1937-12-21		Yes	KLM/CAS	USGS	11.08	4670	17.0	0.00	-1.00	GOOD	-0.49	0.80		MEAS	1	Unspecified	CWAY	QUNSP		4670	154	957	4.88	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11462500	1	1939-11-30		Yes	COL/DAH	USGS	3.72	141.0		0.00		GOOD	0.00	0.50		MEAS	1	Unspecified	WADE	QUNSP		141.0			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11462500	2	1939-12-08		Yes	DAH	USGS	3.50	91.0		0.00		GOOD	-0.02	1.25		MEAS	1	Unspecified	WADE	QUNSP		91.0			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11462500	3	1939-12-11		Yes	DAH	USGS	4.23	332.0		0.00		GOOD	-0.03	1.25		MEAS	1	Unspecified	WADE	QUNSP		332.0			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11462500	4	1939-12-14		Yes	COL/DAH	USGS	3.65	141.0		0.00		GOOD	0.00	0.75		MEAS	1	Unspecified	WADE	QUNSP		141.0			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11462500	5	1939-12-22		Yes	DAH	USGS	3.80	195.0		0.00		GOOD	0.00	1.10		MEAS	1	Unspecified	WADE	QUNSP		195.0			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11462500	6	1939-12-29		Yes	DAH	USGS	4.14	290.0		0.00		GOOD	0.06	0.90		MEAS	1	Unspecified	WADE	QUNSP		290.0			0.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11462500	7	1940-01-01		Yes	COL	USGS	6.53	1210		0.00		GOOD	-0.11	1.25		MEAS	1	Unspecified	CWAY	QUNSP		1210	135	424	2.85	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11462500	8	1940-01-01		Yes	COL	USGS	8.96	2730		0.00		GOOD	0.33	1.00		MEAS	1	Unspecified	CWAY	QUNSP		2730	147	758	3.60	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11462500	9	1940-01-02		Yes	COL	USGS	8.11	2210		0.00		GOOD	0.23	1.20		MEAS	1	Unspecified	CWAY	QUNSP		2210	145	637	3.47	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11462500	10	1940-01-03		Yes	COL	USGS	6.23	1130		0.00		GOOD	-0.05	1.10		MEAS	1	Unspecified	CWAY	QUNSP		1130	135	377	3.00	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11462500	11	1940-01-04		Yes	COL	USGS	8.66	2610		0.00		GOOD	-0.13	1.10		MEAS	1	Unspecified	CWAY	QUNSP		2610	150	706	3.60	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
USGS	11462500	12	1940-01-07		Yes	COL	USGS	5.47	757.0		0.00		GOOD	0.04	1.00		MEAS	1	Unspecified	CWAY	QUNSP		757.0	103	276	2.74	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	UNSP	
